decision,label,feature,period,state,n,success,success_rate
TOUCH_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,DEV,False,301,136,0.45182724252491696
TOUCH_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,DEV,True,484,239,0.493801652892562
TOUCH_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,REF,False,186,94,0.5053763440860215
TOUCH_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,REF,True,277,147,0.5306859205776173
TOUCH_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,DEV,False,301,109,0.36212624584717606
TOUCH_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,DEV,True,484,175,0.3615702479338843
TOUCH_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,REF,False,186,77,0.41397849462365593
TOUCH_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,REF,True,277,116,0.4187725631768953
TOUCH_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,DEV,False,301,85,0.2823920265780731
TOUCH_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,DEV,True,484,152,0.3140495867768595
TOUCH_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,REF,False,186,64,0.34408602150537637
TOUCH_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,REF,True,277,106,0.38267148014440433
TOUCH_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,DEV,False,301,62,0.2059800664451827
TOUCH_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,DEV,True,484,108,0.2231404958677686
TOUCH_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,REF,False,186,52,0.27956989247311825
TOUCH_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,REF,True,277,83,0.2996389891696751
TOUCH_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,641,323,0.5039001560062403
TOUCH_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,144,52,0.3611111111111111
TOUCH_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,385,199,0.5168831168831168
TOUCH_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,78,42,0.5384615384615384
TOUCH_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,641,243,0.3790951638065523
TOUCH_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,144,41,0.2847222222222222
TOUCH_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,385,157,0.4077922077922078
TOUCH_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,78,36,0.46153846153846156
TOUCH_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,641,208,0.3244929797191888
TOUCH_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,144,29,0.2013888888888889
TOUCH_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,385,137,0.35584415584415585
TOUCH_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,78,33,0.4230769230769231
TOUCH_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,641,147,0.22932917316692666
