decision,feature,feature_type,year,state,n,ge1r,ge1r_rate
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q1,36,20,0.5555555555555556
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q2,40,23,0.575
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q3,34,22,0.6470588235294118
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q4,32,18,0.5625
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q1,33,9,0.2727272727272727
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q2,28,17,0.6071428571428571
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q3,31,16,0.5161290322580645
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q4,36,20,0.5555555555555556
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q1,35,11,0.3142857142857143
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q2,36,16,0.4444444444444444
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q3,39,15,0.38461538461538464
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q4,36,14,0.3888888888888889
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q1,51,25,0.49019607843137253
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q2,39,19,0.48717948717948717
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q3,39,28,0.717948717948718
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q4,38,18,0.47368421052631576
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q1,30,13,0.43333333333333335
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q2,20,9,0.45
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q3,20,10,0.5
TOUCH_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q4,20,12,0.6
TOUCH_CLOSE,zone_age_hours,NUMERIC,2022,Q1,64,30,0.46875
TOUCH_CLOSE,zone_age_hours,NUMERIC,2022,Q2,74,37,0.5
TOUCH_CLOSE,zone_age_hours,NUMERIC,2022,Q3,57,31,0.543859649122807
TOUCH_CLOSE,zone_age_hours,NUMERIC,2022,Q4,80,42,0.525
TOUCH_CLOSE,zone_age_hours,NUMERIC,2023,Q1,68,32,0.47058823529411764
TOUCH_CLOSE,zone_age_hours,NUMERIC,2023,Q2,58,24,0.41379310344827586
TOUCH_CLOSE,zone_age_hours,NUMERIC,2023,Q3,62,31,0.5
TOUCH_CLOSE,zone_age_hours,NUMERIC,2023,Q4,52,28,0.5384615384615384
TOUCH_CLOSE,zone_age_hours,NUMERIC,2024,Q1,65,29,0.4461538461538462
TOUCH_CLOSE,zone_age_hours,NUMERIC,2024,Q2,66,25,0.3787878787878788
TOUCH_CLOSE,zone_age_hours,NUMERIC,2024,Q3,75,32,0.4266666666666667
TOUCH_CLOSE,zone_age_hours,NUMERIC,2024,Q4,64,34,0.53125
TOUCH_CLOSE,zone_age_hours,NUMERIC,2025,Q1,66,36,0.5454545454545454
TOUCH_CLOSE,zone_age_hours,NUMERIC,2025,Q2,69,31,0.4492753623188406
TOUCH_CLOSE,zone_age_hours,NUMERIC,2025,Q3,81,47,0.5802469135802469
TOUCH_CLOSE,zone_age_hours,NUMERIC,2025,Q4,83,51,0.6144578313253012
TOUCH_CLOSE,zone_age_hours,NUMERIC,2026,Q1,31,15,0.4838709677419355
TOUCH_CLOSE,zone_age_hours,NUMERIC,2026,Q2,42,19,0.4523809523809524
TOUCH_CLOSE,zone_age_hours,NUMERIC,2026,Q3,39,18,0.46153846153846156
TOUCH_CLOSE,zone_age_hours,NUMERIC,2026,Q4,52,24,0.46153846153846156
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2022,Q1,70,29,0.4142857142857143
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2022,Q2,71,27,0.38028169014084506
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2022,Q3,63,36,0.5714285714285714
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2022,Q4,71,48,0.676056338028169
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2023,Q1,59,31,0.5254237288135594
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2023,Q2,60,24,0.4
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2023,Q3,51,33,0.6470588235294118
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2023,Q4,70,27,0.38571428571428573
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2024,Q1,68,24,0.35294117647058826
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2024,Q2,65,29,0.4461538461538462
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2024,Q3,82,41,0.5
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2024,Q4,55,26,0.4727272727272727
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2025,Q1,72,43,0.5972222222222222
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2025,Q2,78,37,0.47435897435897434
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2025,Q3,76,44,0.5789473684210527
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2025,Q4,73,41,0.5616438356164384
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2026,Q1,55,22,0.4
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2026,Q2,35,21,0.6
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2026,Q3,34,15,0.4411764705882353
TOUCH_CLOSE,pullback_close_slope_zw_per_bar,NUMERIC,2026,Q4,40,18,0.45
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2022,Q1,86,44,0.5116279069767442
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2022,Q2,65,31,0.47692307692307695
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2022,Q3,69,37,0.5362318840579711
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2022,Q4,55,28,0.509090909090909
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2023,Q1,51,25,0.49019607843137253
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2023,Q2,60,28,0.4666666666666667
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2023,Q3,54,27,0.5
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2023,Q4,75,35,0.4666666666666667
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2024,Q1,60,20,0.3333333333333333
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2024,Q2,71,35,0.49295774647887325
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2024,Q3,73,36,0.4931506849315068
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2024,Q4,66,29,0.4393939393939394
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2025,Q1,90,44,0.4888888888888889
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2025,Q2,74,46,0.6216216216216216
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2025,Q3,78,40,0.5128205128205128
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2025,Q4,57,35,0.6140350877192983
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2026,Q1,34,10,0.29411764705882354
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2026,Q2,46,23,0.5
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2026,Q3,40,18,0.45
TOUCH_CLOSE,touch_close_vs_demand_high_zw,NUMERIC,2026,Q4,44,25,0.5681818181818182
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2022,Q1,86,44,0.5116279069767442
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2022,Q2,65,31,0.47692307692307695
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2022,Q3,69,37,0.5362318840579711
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2022,Q4,55,28,0.509090909090909
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2023,Q1,51,25,0.49019607843137253
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2023,Q2,60,28,0.4666666666666667
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2023,Q3,54,27,0.5
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2023,Q4,75,35,0.4666666666666667
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2024,Q1,60,20,0.3333333333333333
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2024,Q2,71,35,0.49295774647887325
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2024,Q3,73,36,0.4931506849315068
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2024,Q4,66,29,0.4393939393939394
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2025,Q1,90,44,0.4888888888888889
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2025,Q2,74,46,0.6216216216216216
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2025,Q3,78,40,0.5128205128205128
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2025,Q4,57,35,0.6140350877192983
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2026,Q1,34,10,0.29411764705882354
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2026,Q2,46,23,0.5
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2026,Q3,40,18,0.45
TOUCH_CLOSE,touch_close_vs_demand_low_zw,NUMERIC,2026,Q4,44,25,0.5681818181818182
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2022,False,117,60,0.5128205128205128
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2022,True,158,80,0.5063291139240507
