decision,label,feature,period,band,n,success,success_rate
TOUCH_CLOSE,GE1R,zone_age_hours,DEV,Q1,197,91,0.4619289340101523
TOUCH_CLOSE,GE1R,zone_age_hours,DEV,Q2,198,86,0.43434343434343436
TOUCH_CLOSE,GE1R,zone_age_hours,DEV,Q3,194,94,0.4845360824742268
TOUCH_CLOSE,GE1R,zone_age_hours,DEV,Q4,196,104,0.5306122448979592
TOUCH_CLOSE,GE1R,zone_age_hours,REF,Q1,97,51,0.5257731958762887
TOUCH_CLOSE,GE1R,zone_age_hours,REF,Q2,111,50,0.45045045045045046
TOUCH_CLOSE,GE1R,zone_age_hours,REF,Q3,120,65,0.5416666666666666
TOUCH_CLOSE,GE1R,zone_age_hours,REF,Q4,135,75,0.5555555555555556
TOUCH_CLOSE,GE1_5R,zone_age_hours,DEV,Q1,197,69,0.350253807106599
TOUCH_CLOSE,GE1_5R,zone_age_hours,DEV,Q2,198,65,0.3282828282828283
TOUCH_CLOSE,GE1_5R,zone_age_hours,DEV,Q3,194,71,0.36597938144329895
TOUCH_CLOSE,GE1_5R,zone_age_hours,DEV,Q4,196,79,0.4030612244897959
TOUCH_CLOSE,GE1_5R,zone_age_hours,REF,Q1,97,39,0.4020618556701031
TOUCH_CLOSE,GE1_5R,zone_age_hours,REF,Q2,111,40,0.36036036036036034
TOUCH_CLOSE,GE1_5R,zone_age_hours,REF,Q3,120,51,0.425
TOUCH_CLOSE,GE1_5R,zone_age_hours,REF,Q4,135,63,0.4666666666666667
TOUCH_CLOSE,CLEAN1R,zone_age_hours,DEV,Q1,197,55,0.27918781725888325
TOUCH_CLOSE,CLEAN1R,zone_age_hours,DEV,Q2,198,52,0.26262626262626265
TOUCH_CLOSE,CLEAN1R,zone_age_hours,DEV,Q3,194,59,0.30412371134020616
TOUCH_CLOSE,CLEAN1R,zone_age_hours,DEV,Q4,196,71,0.3622448979591837
TOUCH_CLOSE,CLEAN1R,zone_age_hours,REF,Q1,97,33,0.3402061855670103
TOUCH_CLOSE,CLEAN1R,zone_age_hours,REF,Q2,111,39,0.35135135135135137
TOUCH_CLOSE,CLEAN1R,zone_age_hours,REF,Q3,120,44,0.36666666666666664
TOUCH_CLOSE,CLEAN1R,zone_age_hours,REF,Q4,135,54,0.4
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,DEV,Q1,197,40,0.20304568527918782
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,DEV,Q2,198,36,0.18181818181818182
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,DEV,Q3,194,41,0.211340206185567
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,DEV,Q4,196,53,0.27040816326530615
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,REF,Q1,97,24,0.24742268041237114
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,REF,Q2,111,33,0.2972972972972973
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,REF,Q3,120,36,0.3
TOUCH_CLOSE,CLEAN1_5R,zone_age_hours,REF,Q4,135,42,0.3111111111111111
TOUCH_CLOSE,GE1R,bos_body_zw,DEV,Q1,197,101,0.5126903553299492
TOUCH_CLOSE,GE1R,bos_body_zw,DEV,Q2,196,91,0.4642857142857143
TOUCH_CLOSE,GE1R,bos_body_zw,DEV,Q3,196,95,0.4846938775510204
TOUCH_CLOSE,GE1R,bos_body_zw,DEV,Q4,196,88,0.4489795918367347
TOUCH_CLOSE,GE1R,bos_body_zw,REF,Q1,157,78,0.4968152866242038
TOUCH_CLOSE,GE1R,bos_body_zw,REF,Q2,116,65,0.5603448275862069
TOUCH_CLOSE,GE1R,bos_body_zw,REF,Q3,88,46,0.5227272727272727
TOUCH_CLOSE,GE1R,bos_body_zw,REF,Q4,102,52,0.5098039215686274
TOUCH_CLOSE,GE1_5R,bos_body_zw,DEV,Q1,197,73,0.37055837563451777
TOUCH_CLOSE,GE1_5R,bos_body_zw,DEV,Q2,196,69,0.3520408163265306
TOUCH_CLOSE,GE1_5R,bos_body_zw,DEV,Q3,196,71,0.3622448979591837
TOUCH_CLOSE,GE1_5R,bos_body_zw,DEV,Q4,196,71,0.3622448979591837
TOUCH_CLOSE,GE1_5R,bos_body_zw,REF,Q1,157,65,0.4140127388535032
TOUCH_CLOSE,GE1_5R,bos_body_zw,REF,Q2,116,54,0.46551724137931033
TOUCH_CLOSE,GE1_5R,bos_body_zw,REF,Q3,88,35,0.3977272727272727
TOUCH_CLOSE,GE1_5R,bos_body_zw,REF,Q4,102,39,0.38235294117647056
