fold,parent_n,selected_n,selected_coverage,median_similarity,median_structure_rate,median_path_rate,median_regime_memory_n,median_abs_pred,mean_directional_hit,median_rho
2022,2189,10,0.0045682960255824575,0.35498430210136145,0.6484375,0.6875,10846.5,0.0012942266641156705,0.36000000000000004,-0.16363636363636364
2023,2190,15,0.00684931506849315,0.36180252514970723,0.75,0.625,14187.0,0.0012554135450259527,0.52,-0.12142857142857141
2024,2195,30,0.01366742596810934,0.36055371652547785,0.7734375,0.671875,18480.0,0.0015085552733716126,0.5133333333333334,0.14616240266963293
2025,2190,41,0.01872146118721461,0.3621732523774574,0.78125,0.71875,22804.0,0.0011714468790680387,0.4975609756097561,0.0372822299651568
2026,1421,34,0.023926812104152005,0.3672639903866749,0.78125,0.7578125,21184.0,0.0010043917438255347,0.45294117647058824,-0.17494270435446904
