scope,horizon_min,n,directional_hit,spearman_rho
2022,15,10,0.3,-0.17575757575757575
2022,30,10,0.5,-0.16363636363636364
2022,60,10,0.4,-0.12727272727272726
2022,120,10,0.3,-0.5515151515151515
2022,360,10,0.3,-0.13939393939393938
2023,15,15,0.4,-0.12142857142857141
2023,30,15,0.4666666666666667,0.010714285714285713
2023,60,15,0.6,-0.2785714285714285
2023,120,15,0.6666666666666666,0.2678571428571428
2023,360,15,0.4666666666666667,-0.1357142857142857
2024,15,30,0.6,0.20311457174638486
2024,30,30,0.5,0.14616240266963293
2024,60,30,0.4666666666666667,0.07541713014460512
2024,120,30,0.6,0.1946607341490545
2024,360,30,0.4,-0.18887652947719688
2025,15,41,0.43902439024390244,-0.16864111498257842
2025,30,41,0.43902439024390244,0.10871080139372824
2025,60,41,0.6097560975609756,0.1653310104529617
2025,120,41,0.5609756097560976,0.0372822299651568
2025,360,41,0.43902439024390244,-0.12717770034843207
2026,15,34,0.4117647058823529,-0.17494270435446904
2026,30,34,0.47058823529411764,-0.26264323911382736
2026,60,34,0.5588235294117647,-0.09427043544690604
2026,120,34,0.5294117647058824,-0.07288006111535524
2026,360,34,0.29411764705882354,-0.1981665393430099
POOLED,15,130,0.45384615384615384,-0.053304018899616265
POOLED,30,130,0.46923076923076923,-0.012702617815346378
POOLED,60,130,0.5461538461538461,-0.007447869013642135
POOLED,120,130,0.5538461538461539,0.028335768616258587
POOLED,360,130,0.38461538461538464,-0.20191727321143263
