fold,fold_start,fold_end,memory_n,query_n,evaluable_query_n,median_analog_n,median_adjusted_distance,median_similarity,median_same_structure_rate,median_same_path_rate,chronology_ok,median_rho,mean_sign_agreement
2022,2022-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,66247,2189,2189,64.0,1.8155249558756652,0.3551735601129924,0.59375,0.65625,True,-0.0015950873767583487,0.5033348560986752
2023,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,101283,2190,2190,64.0,1.7846751157439318,0.3591090407053426,0.578125,0.671875,True,-0.00926538815964094,0.4956164383561644
2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,136322,2195,2195,64.0,1.7108342566616896,0.36889013151391514,0.640625,0.703125,True,0.03946543167459397,0.5135307517084282
2025,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,171453,2190,2190,64.0,1.6807634307657653,0.3730280700246834,0.6875,0.734375,True,0.0351947783179393,0.5201826484018265
2026,2026-01-01 00:00:00+00:00,2026-08-26 00:00:00+00:00,206491,1421,1421,64.0,1.6382795549308637,0.379034890203639,0.671875,0.734375,True,0.010004765085458589,0.5027445460942997
