scope,horizon_min,n,spearman_rho,sign_agreement
2022,15,2189,-0.0015950873767583487,0.49611694837825493
2022,30,2189,0.02549361532243906,0.5134764732754683
2022,60,2189,0.006737521717893569,0.49840109639104613
2022,120,2189,-0.023102988016871176,0.4979442667884879
2022,360,2189,-0.00961589646663107,0.5107354956601188
2023,15,2190,-0.012697181841046356,0.4867579908675799
2023,30,2190,0.03593172426312696,0.5136986301369864
2023,60,2190,-0.014523781107992753,0.49360730593607305
2023,120,2190,-0.00926538815964094,0.5018264840182648
2023,360,2190,-0.005105197581738983,0.4821917808219178
2024,15,2195,0.055347484860337394,0.5261958997722096
2024,30,2195,0.05336515272850844,0.5189066059225512
2024,60,2195,0.03946543167459397,0.5006833712984055
2024,120,2195,0.007945230601985985,0.5079726651480638
2024,360,2195,0.016531818238913792,0.5138952164009112
2025,15,2190,0.022826118122038327,0.5118721461187214
2025,30,2190,0.019122934253100247,0.4995433789954338
2025,60,2190,0.06318555393809723,0.534703196347032
2025,120,2190,0.06729393291997551,0.5296803652968036
2025,360,2190,0.0351947783179393,0.5251141552511416
2026,15,1421,0.04785730729914739,0.517945109078114
2026,30,1421,0.0371256120322945,0.517945109078114
2026,60,1421,0.010004765085458589,0.4975369458128079
2026,120,1421,0.003631479003424206,0.48909218859957776
2026,360,1421,-0.0009446276722343035,0.4912033779028853
POOLED,15,10185,0.02093068822575923,0.5070201276386843
POOLED,30,10185,0.034985173714170946,0.5123220422189494
POOLED,60,10185,0.020017321597022124,0.5055473735886107
POOLED,120,10185,0.006562456804515346,0.5065292096219931
POOLED,360,10185,0.007287554732359836,0.5056455571919489
