period,loss_category,candidate,n,to_win,skipped,still_loss,other
DEV,ZONE_NOT_1ZW_VALID,C1_NO_CHASE_AFTER_1ZW,176,0,0,176,0
DEV,ZONE_NOT_1ZW_VALID,C2_CLOSE_BASED_INVALIDATION,176,5,0,171,0
DEV,ZONE_NOT_1ZW_VALID,C3_DELAYED_SWEEP_USE_TP1,176,0,0,176,0
DEV,ZONE_NOT_1ZW_VALID,C4_CAP_TARGET_AT_1ZW,176,29,0,147,0
DEV,ZONE_NOT_1ZW_VALID,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,176,35,0,141,0
DEV,ENTRY_LATE_AFTER_1ZW_MOVE,C1_NO_CHASE_AFTER_1ZW,39,0,39,0,0
DEV,ENTRY_LATE_AFTER_1ZW_MOVE,C2_CLOSE_BASED_INVALIDATION,39,7,0,32,0
DEV,ENTRY_LATE_AFTER_1ZW_MOVE,C3_DELAYED_SWEEP_USE_TP1,39,1,0,38,0
DEV,ENTRY_LATE_AFTER_1ZW_MOVE,C4_CAP_TARGET_AT_1ZW,39,0,0,39,0
DEV,ENTRY_LATE_AFTER_1ZW_MOVE,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,39,7,0,32,0
DEV,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C1_NO_CHASE_AFTER_1ZW,42,0,0,42,0
DEV,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C2_CLOSE_BASED_INVALIDATION,42,29,0,13,0
DEV,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C3_DELAYED_SWEEP_USE_TP1,42,0,0,42,0
DEV,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C4_CAP_TARGET_AT_1ZW,42,9,0,28,5
DEV,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,42,42,0,0,0
DEV,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C1_NO_CHASE_AFTER_1ZW,67,0,0,67,0
DEV,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C2_CLOSE_BASED_INVALIDATION,67,11,0,56,0
DEV,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C3_DELAYED_SWEEP_USE_TP1,67,4,0,63,0
DEV,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C4_CAP_TARGET_AT_1ZW,67,67,0,0,0
DEV,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,67,67,0,0,0
REF,ZONE_NOT_1ZW_VALID,C1_NO_CHASE_AFTER_1ZW,107,0,0,107,0
REF,ZONE_NOT_1ZW_VALID,C2_CLOSE_BASED_INVALIDATION,107,1,0,106,0
REF,ZONE_NOT_1ZW_VALID,C3_DELAYED_SWEEP_USE_TP1,107,0,0,107,0
REF,ZONE_NOT_1ZW_VALID,C4_CAP_TARGET_AT_1ZW,107,20,0,86,1
REF,ZONE_NOT_1ZW_VALID,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,107,23,0,84,0
REF,ENTRY_LATE_AFTER_1ZW_MOVE,C1_NO_CHASE_AFTER_1ZW,20,0,20,0,0
REF,ENTRY_LATE_AFTER_1ZW_MOVE,C2_CLOSE_BASED_INVALIDATION,20,3,0,17,0
REF,ENTRY_LATE_AFTER_1ZW_MOVE,C3_DELAYED_SWEEP_USE_TP1,20,1,0,19,0
REF,ENTRY_LATE_AFTER_1ZW_MOVE,C4_CAP_TARGET_AT_1ZW,20,0,0,20,0
REF,ENTRY_LATE_AFTER_1ZW_MOVE,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,20,3,0,17,0
REF,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C1_NO_CHASE_AFTER_1ZW,20,0,0,20,0
REF,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C2_CLOSE_BASED_INVALIDATION,20,15,0,5,0
REF,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C3_DELAYED_SWEEP_USE_TP1,20,0,0,20,0
REF,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C4_CAP_TARGET_AT_1ZW,20,7,0,13,0
REF,SL_FALSE_STOP_BEFORE_VALID_REBOUND,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,20,20,0,0,0
REF,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C1_NO_CHASE_AFTER_1ZW,40,0,0,40,0
REF,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C2_CLOSE_BASED_INVALIDATION,40,9,0,31,0
REF,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C3_DELAYED_SWEEP_USE_TP1,40,0,0,40,0
REF,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C4_CAP_TARGET_AT_1ZW,40,40,0,0,0
REF,TP_OBJECTIVE_NOT_REACHED_AFTER_VALID_REBOUND,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,40,40,0,0,0
