period,candidate,baseline_wins,baseline_losses,baseline_win_retained,baseline_win_retention,baseline_win_skipped,baseline_win_lost_nonwin,baseline_loss_to_win,baseline_loss_skipped,trade_count_reduction,resolved,wins,losses,wr,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r
DEV,BASELINE,353,324,353,1.0,0,0,0,0,0,677,353,324,0.5214180206794683,0.10381328155847264,70.28159161508597,1.2169184926391543,8,19.319608745542148
DEV,C1_NO_CHASE_AFTER_1ZW,353,324,265,0.7507082152974505,88,0,0,39,128,550,265,285,0.4818181818181818,0.09297543725167799,51.13649048842289,1.179426282415519,8,17.785320873524277
DEV,C2_CLOSE_BASED_INVALIDATION,353,324,353,1.0,0,0,52,0,0,680,408,272,0.6,0.18092052587734997,123.02595759659798,1.3128409092168596,8,22.44321224397089
DEV,C3_DELAYED_SWEEP_USE_TP1,353,324,353,1.0,0,0,5,0,0,677,358,319,0.5288035450516987,0.1063558665605731,72.00292166150798,1.2257144879671098,8,19.380120988716932
DEV,C4_CAP_TARGET_AT_1ZW,353,324,353,1.0,0,0,105,0,0,672,458,214,0.6815476190476191,0.021271899485066505,14.294716453964691,1.0667977404390871,5,21.027600323748793
DEV,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,353,324,353,1.0,0,0,151,0,0,680,507,173,0.7455882352941177,0.03691453237353931,25.101882014006733,1.1027797797226666,4,30.069128742126935
REF,BASELINE,212,187,212,1.0,0,0,0,0,0,399,212,187,0.531328320802005,0.06202363214963543,24.747429227704536,1.1323391937310405,9,12.530145136521249
REF,C1_NO_CHASE_AFTER_1ZW,212,187,159,0.75,53,0,0,20,73,326,159,167,0.48773006134969327,0.04206171757511514,13.712119929487535,1.0821085025717816,7,11.90806088081289
REF,C2_CLOSE_BASED_INVALIDATION,212,187,212,1.0,0,0,28,0,0,399,240,159,0.6015037593984962,0.06163573158191629,24.5926569011846,1.1076093826069564,9,17.252978280062173
REF,C3_DELAYED_SWEEP_USE_TP1,212,187,212,1.0,0,0,1,0,0,399,213,186,0.5338345864661654,0.0524629432307666,20.932714349075873,1.1125414749950315,9,13.375996145849248
REF,C4_CAP_TARGET_AT_1ZW,212,187,212,1.0,0,0,67,0,0,398,279,119,0.7010050251256281,0.04733540968097797,18.839493053029233,1.1583150676725145,6,11.095264783962488
REF,C5_CLOSE_INVALIDATION_PLUS_1ZW_CAP,212,187,212,1.0,0,0,86,0,0,399,298,101,0.7468671679197995,0.01045855238401138,4.17296240122054,1.0286232472982797,6,20.089162619342464
