period,candidate,false_stops,median_stop_to_later_target_min,median_overshoot_r
DEV,PROTECTED_LOW_TOUCH,14,690.0,0.1634063700022503
DEV,PROTECTED_LOW_CLOSE5,7,565.0,0.3333333333333333
DEV,PROTECTED_LOW_CLOSE15,0,,
DEV,REACTION_LOW_TOUCH,96,337.5,1.7524515966808853
DEV,REACTION_LOW_CLOSE5,84,382.5,2.0163850486431283
DEV,REACTION_LOW_CLOSE15,74,415.0,2.267945287632085
REF,PROTECTED_LOW_TOUCH,12,275.0,0.24034017466624324
REF,PROTECTED_LOW_CLOSE5,7,290.0,0.21896955503512736
REF,PROTECTED_LOW_CLOSE15,0,,
REF,REACTION_LOW_TOUCH,57,370.0,1.9491525423727376
REF,REACTION_LOW_CLOSE5,53,360.0,2.0
REF,REACTION_LOW_CLOSE15,42,365.0,2.9465852130329258
