t,period,gt,v1,broad,bull,fund,fund_delta,fund_mean3,fund_z30,fund_pos6,fund_pct90
1701489600000,DEV,TRANSITION,1,0,0,0.0001,0,0.0001,4.0657579815167555e-8,1,0.7777777777777778
1701493200000,DEV,TRANSITION,1,1,0,0.0001,0,0.0001,4.0657579815167555e-8,1,0.7777777777777778
1701496800000,DEV,SIDEWAYS,0,1,0,0.0001,0,0.0001,4.0657579815167555e-8,1,0.7777777777777778
1701561600000,DEV,BEAR,1,1,0,0.0001,0,0.00016724666666666666,-0.18569533304924896,1,0.7666666666666667
1701565200000,DEV,BEAR,0,1,0,0.0001,0,0.00016724666666666666,-0.18569533304924896,1,0.7666666666666667
1701568800000,DEV,BEAR,0,1,0,0.0001,0,0.00016724666666666666,-0.18569533304924896,1,0.7666666666666667
1701662400000,DEV,BEAR,0,1,0,0.0001,-0.00008264,0.00016214999999999998,-0.3070393235756309,1,0.7444444444444445
1701716400000,DEV,SIDEWAYS,1,0,0,0.0001,-0.00043852999999999996,0.00024617666666666666,-0.3162213154835385,1,0.7333333333333333
1701723600000,DEV,TRANSITION,1,0,0,0.0001,-0.00043852999999999996,0.00024617666666666666,-0.3162213154835385,1,0.7333333333333333
1701730800000,DEV,TRANSITION,1,0,0,0.0001,0,0.00024617666666666666,-0.3162213154835388,1,0.7333333333333333
1701795600000,DEV,BULL,0,1,0,0.0001,0,0.0001,-0.3162213154835388,1,0.7333333333333333
1701820800000,DEV,TRANSITION,0,1,0,0.00025226,0.00015225999999999998,0.00015075333333333335,1.3323493970664186,1,0.8666666666666667
1701824400000,DEV,TRANSITION,0,1,0,0.00025226,0.00015225999999999998,0.00015075333333333335,1.3323493970664186,1,0.8666666666666667
1701828000000,DEV,SIDEWAYS,0,1,0,0.00025226,0.00015225999999999998,0.00015075333333333335,1.3323493970664186,1,0.8666666666666667
1701831600000,DEV,TRANSITION,1,1,0,0.00025226,0.00015225999999999998,0.00015075333333333335,1.3323493970664186,1,0.8666666666666667
1701853200000,DEV,BEAR,0,1,0,0.00045867,0.00020641000000000002,0.00027031,2.9382219467024058,1,0.9555555555555556
1701889200000,DEV,BEAR,1,1,0,0.00011861,-0.00034006,0.00027651333333333336,-0.24931172387311298,1,0.7444444444444445
1701918000000,DEV,BULL,1,0,0,0.0001,-0.00001861,0.00022576,-0.42374494789231115,1,0.7111111111111111
1701925200000,DEV,BULL,0,1,0,0.0001,-0.00001861,0.00022576,-0.42374494789231115,1,0.7111111111111111
1701950400000,DEV,BULL,0,1,0,0.0001,0,0.00010620333333333333,-0.4237449478923109,1,0.7111111111111111
1701957600000,DEV,BULL,0,1,0,0.0001,0,0.00010620333333333333,-0.4237449478923109,1,0.7111111111111111
1701961200000,DEV,BULL,0,1,0,0.00036868,0.00026868,0.00018956,1.8887956660265566,1,0.9444444444444444
1701964800000,DEV,TRANSITION,0,1,0,0.00036868,0.00026868,0.00018956,1.8887956660265566,1,0.9444444444444444
1701968400000,DEV,BULL,0,1,0,0.00036868,0.00026868,0.00018956,1.8887956660265566,1,0.9444444444444444
1701972000000,DEV,BULL,0,1,0,0.00036868,0.00026868,0.00018956,1.8887956660265566,1,0.9444444444444444
1701986400000,DEV,BULL,0,1,0,0.00036868,0.00026868,0.00018956,1.8887956660265566,1,0.9444444444444444
1701990000000,DEV,BULL,0,1,0,0.00061268,0.00024400000000000002,0.0003604533333333333,3.1597595397810205,1,1
1701993600000,DEV,BULL,0,1,0,0.00061268,0.00024400000000000002,0.0003604533333333333,3.1597595397810205,1,1
1702004400000,DEV,TRANSITION,0,1,0,0.00061268,0.00024400000000000002,0.0003604533333333333,3.1597595397810205,1,1
1702008000000,DEV,TRANSITION,0,1,0,0.00061268,0.00024400000000000002,0.0003604533333333333,3.1597595397810205,1,1
1702011600000,DEV,TRANSITION,0,1,0,0.00061268,0.00024400000000000002,0.0003604533333333333,3.1597595397810205,1,1
1702036800000,DEV,SIDEWAYS,0,1,0,0.00024053,-0.00037215,0.00040729666666666667,0.46272197583180763,1,0.8222222222222222
1702076400000,DEV,TRANSITION,0,1,0,0.00032215,0.00011884999999999999,0.00025532666666666664,0.9639108110342807,1,0.9111111111111111
1702101600000,DEV,TRANSITION,1,1,0,0.00032215,0.00011884999999999999,0.00025532666666666664,0.9639108110342807,1,0.9111111111111111
1702105200000,DEV,TRANSITION,0,1,0,0.000394,0.00007184999999999998,0.00030648333333333335,1.3686468725836844,1,0.9333333333333333
1702108800000,DEV,BEAR,0,1,0,0.000394,0.00007184999999999998,0.00030648333333333335,1.3686468725836844,1,0.9333333333333333
1702166400000,DEV,TRANSITION,1,0,0,0.00025874,0.00015874,0.00025091333333333334,0.3962251875338107,1,0.8222222222222222
1702209600000,DEV,TRANSITION,1,0,0,0.00037686,0.00011812000000000004,0.0002452,1.1388175396325027,1,0.9222222222222223
1702216800000,DEV,TRANSITION,1,1,0,0.00037686,0.00011812000000000004,0.0002452,1.1388175396325027,1,0.9222222222222223
1702220400000,DEV,TRANSITION,0,1,0,0.00020175,-0.00017511000000000002,0.0002791166666666667,-0.08846968074844512,1,0.7555555555555555
1702310400000,DEV,TRANSITION,0,1,0,0.0001,0,0.00015740333333333332,-0.8417275885767213,1,0.6666666666666666
1702314000000,DEV,TRANSITION,0,1,0,0.0001,0,0.00015740333333333332,-0.8417275885767213,1,0.6666666666666666
1702317600000,DEV,SIDEWAYS,0,1,0,0.0001,0,0.00015740333333333332,-0.8417275885767213,1,0.6666666666666666
1702335600000,DEV,TRANSITION,0,1,0,0.00023316,0.00013316,0.00014438666666666668,0.060117899838509695,1,0.7888888888888889
1702339200000,DEV,TRANSITION,0,1,0,0.00023316,0.00013316,0.00014438666666666668,0.060117899838509695,1,0.7888888888888889
1702342800000,DEV,TRANSITION,0,1,0,0.00023316,0.00013316,0.00014438666666666668,0.060117899838509695,1,0.7888888888888889
1702422000000,DEV,BEAR,0,1,0,0.0001,-0.000019719999999999994,0.00011182,-0.8439866986333522,1,0.6777777777777778
1702454400000,DEV,TRANSITION,1,0,0,0.0001,0,0.00010657333333333333,-0.8103072333581328,1,0.6888888888888889
1702461600000,DEV,BULL,0,1,0,0.0001,0,0.00010657333333333333,-0.8103072333581328,1,0.6888888888888889
1702472400000,DEV,BULL,0,1,0,0.0001,0,0.00010657333333333333,-0.8103072333581328,1,0.6888888888888889
1702476000000,DEV,BULL,0,1,0,0.0001,0,0.00010657333333333333,-0.8103072333581328,1,0.6888888888888889
1702479600000,DEV,BULL,0,1,0,0.0001,0,0.00010657333333333333,-0.8103072333581328,1,0.6888888888888889
1702494000000,DEV,TRANSITION,1,1,0,0.0001,0,0.0001,-0.7833211638463167,1,0.6888888888888889
1702497600000,DEV,TRANSITION,1,1,0,0.0001,0,0.0001,-0.7833211638463167,1,0.6888888888888889
1702501200000,DEV,TRANSITION,0,1,0,0.0001,0,0.0001,-0.7833211638463167,1,0.6888888888888889
1702504800000,DEV,TRANSITION,0,1,0,0.0001,0,0.0001,-0.7833211638463167,1,0.6888888888888889
1702544400000,DEV,TRANSITION,1,1,0,0.0001,0,0.0001,-0.7439876979071338,1,0.7
1702551600000,DEV,TRANSITION,1,1,0,0.0001,0,0.0001,-0.7439876979071338,1,0.7
1702555200000,DEV,TRANSITION,0,1,0,0.0001,0,0.0001,-0.7439876979071338,1,0.7
1702576800000,DEV,BULL,0,1,0,0.0001,0,0.0001,-0.743987697907134,1,0.7111111111111111
