t,period,gt,v1,broad,bull,ret4,acc,distLow8,rv24,atr,distHigh8,prem,prem_m4,prem_m8,prem_m24,prem_max8,prem_max24,prem_z24,prem_z168,prem_delta4,prem_delta8,prem_pos8,prem_pct720,prem_range
1701489600000,DEV,TRANSITION,1,0,0,1.9029732918945053,1.3379453169282276,2.898283182573369,0.5481706657384632,0.9968592584308402,-0.08799374266719173,0.00080185,0.000682145,0.00041699125,0.0002766529166666667,0.00080185,0.00081406,1.873649641550099,2.1048016804638183,0.00026878000000000004,0.00078167,0.75,0.8541666666666666,0.0014317199999999998
1701493200000,DEV,TRANSITION,1,1,0,1.8528610354223485,1.3358609530974932,3.5074764629868804,0.5456795692555274,0.9784846863498539,-0.06966947504860599,0.00107395,0.000791415,0.0005253975,0.00028748166666666666,0.00107395,0.00107395,2.5802088878389653,2.9062351530271178,0.00043707999999999996,0.00086725,0.75,0.9402777777777778,0.00144766
1701496800000,DEV,SIDEWAYS,0,1,0,1.8135309743219752,0.8984680120331564,4.203937100374233,0.546644651671115,0.9396195507127663,-0.09332260659694613,0.00152627,0.0010099199999999999,0.0007234974999999999,0.00033910375,0.00152627,0.00152627,3.023368167760541,4.1157498862371735,0.0008740199999999999,0.0015848,0.875,0.9916666666666667,0.00142596
1701561600000,DEV,BEAR,1,1,0,3.310126582278472,1.6969298407860212,6.338762214983729,0.6551153030165143,1.209839752846552,-0.3282091990169045,0.00103177,0.00047838,0.00059140125,0.0006630529166666666,0.00103177,0.00152627,1.2103973796567533,2.340048106957531,0.00027333999999999995,0.00019766,0.875,0.9305555555555556,0.00285676
1701565200000,DEV,BEAR,0,1,0,3.1864063538271648,1.5690950133557962,5.453781104984867,0.6579835268962319,1.272615762036185,-0.6125994331169449,0.00071159,0.0005706,0.0005591237500000001,0.00066616625,0.00103177,0.00152627,0.1490656469946801,1.423539882902216,0.00036888000000000003,-0.00025822,0.875,0.8027777777777778,0.0017989600000000003
1701568800000,DEV,BEAR,0,1,0,3.0334345538084895,1.386631004355802,4.434775602288288,0.678458368128592,1.2939519320002904,-1.2419615372893156,0.00059041,0.0005834424999999999,0.00057956,0.0006635895833333334,0.00103177,0.00152627,-0.23986138864294207,1.0695890026685497,0.00005137000000000002,0.00016348999999999997,0.875,0.7222222222222222,0.00123896
1701662400000,DEV,BEAR,0,1,0,1.9691901823149838,0.8852870710625311,3.866086567068683,0.6965377833702439,1.2053812053812045,-0.5284926470588203,0.00095864,0.0010773275,0.0008172387499999999,0.0007507433333333335,0.00127085,0.00127085,0.878989837413401,1.63911548839601,0.00033223,0.0004768,1,0.8958333333333334,0.00148183
1701716400000,DEV,SIDEWAYS,1,0,0,0.8072370701751597,2.222651920532148,1.9397702991452936,0.8900355246590601,1.922977948917097,-1.9618546108399637,0.00096923,0.000626175,0.00046344124999999996,0.0006590241666666667,0.00096923,0.00127085,0.8151506297828373,1.5049813153423695,0.00023253999999999994,0.00045345,0.875,0.8958333333333334,0.0015514300000000001
1701723600000,DEV,TRANSITION,1,0,0,1.3327855382087028,2.1655786102136774,2.933026175213671,0.9165793482101179,1.8293572922917236,-0.27333009865760927,0.00072207,0.0005774949999999999,0.00052419,0.0006362,0.00096923,0.00127085,0.21027762813041107,0.9164016306030767,0.00034862,0.00035029,0.875,0.7875,0.00169541
1701730800000,DEV,TRANSITION,1,0,0,0.9907313398617834,1.2332609451072913,2.1770465728913058,0.9167654551715032,1.8748103415126813,-0.7068104975044287,0.00065326,0.0002660025,0.00044608874999999996,0.0006165233333333333,0.00096923,0.00127085,0.08357751421083479,0.7461626617525938,-0.00031596999999999994,-0.00008343,0.75,0.7375,0.00134148
