policy,entry_delay_min,n_dev,participation_dev,n_2022,n_2023,n_2024,hit_dev,hit_2022,hit_2023,hit_2024,worst_dev_hit,wilson_dev,median_primary_dev,hit_anchor120_dev,hit_entry60_dev,max_dev_share,pval_one_sided,qval_bh,fdr_sig,dev_gate
E0_EVENT_CLOSE,0,293,1.0,97,82,114,0.6109215017064846,0.6082474226804123,0.5853658536585366,0.631578947368421,0.5853658536585366,0.5540052761551176,0.0013653468313963302,0.5802047781569966,0.6109215017064846,0.3890784982935154,8.737749567591492e-05,0.0002912583189197164,True,True
E15_ANY,15,293,1.0,97,82,114,0.6177474402730375,0.6082474226804123,0.6341463414634146,0.6140350877192983,0.6082474226804123,0.5609228563504318,0.0009272581934451907,0.5563139931740614,0.5836177474402731,0.3890784982935154,3.308721776435791e-05,0.00016543608882178953,True,False
E15_UP,15,160,0.5460750853242321,54,44,62,0.61875,0.6481481481481481,0.6136363636363636,0.5967741935483871,0.5967741935483871,0.541543504383356,0.0008012674268975672,0.49375,0.575,0.3875,0.00165786634312258,0.002763110571870967,True,False
E15_PULLBACK,15,133,0.4539249146757679,43,38,52,0.6165413533834586,0.5581395348837209,0.6578947368421053,0.6346153846153846,0.5581395348837209,0.5317374963621947,0.0009716374404293848,0.631578947368421,0.5939849624060151,0.39097744360902253,0.004515245343609975,0.006450350490871393,True,False
E15_HOLD,15,268,0.9146757679180887,89,78,101,0.6305970149253731,0.6179775280898876,0.6410256410256411,0.6336633663366337,0.6179775280898876,0.5713476747693526,0.0009560908576534688,0.5447761194029851,0.5895522388059702,0.376865671641791,1.1308068348834495e-05,0.00011308068348834495,True,False
E15_UP_HOLD,15,160,0.5460750853242321,54,44,62,0.61875,0.6481481481481481,0.6136363636363636,0.5967741935483871,0.5967741935483871,0.541543504383356,0.0008012674268975672,0.49375,0.575,0.3875,0.00165786634312258,0.002763110571870967,True,False
E15_PULLBACK_HOLD,15,108,0.36860068259385664,35,34,39,0.6481481481481481,0.5714285714285714,0.6764705882352942,0.6923076923076923,0.5714285714285714,0.5544093191687146,0.0011348547045115787,0.6203703703703703,0.6111111111111112,0.3611111111111111,0.0013423490206399581,0.002763110571870967,True,False
E30_TWO_UP,30,85,0.2901023890784983,29,18,38,0.43529411764705883,0.3448275862068966,0.3333333333333333,0.5526315789473685,0.3333333333333333,0.33495777427196094,-0.0001017501017501754,0.4,0.4235294117647059,0.4470588235294118,0.9036197823292206,0.9036197823292206,False,False
E30_PULLBACK_RECOVER,30,77,0.2627986348122867,26,21,30,0.4805194805194805,0.5,0.47619047619047616,0.4666666666666667,0.4666666666666667,0.3725303790298501,-9.243852837859112e-05,0.5844155844155844,0.5714285714285714,0.38961038961038963,0.6756044188446775,0.7506715764940861,False,False
E30_HOLD,30,257,0.8771331058020477,84,74,99,0.5408560311284046,0.5119047619047619,0.527027027027027,0.5757575757575758,0.5119047619047619,0.4797764574476676,0.0001689967736979714,0.5252918287937743,0.5408560311284046,0.3852140077821012,0.10605410418393392,0.1325676302299174,False,False
