period,policy,plans,resolved,wins,losses,be,wr_ex_be,win_rate_all,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,ambiguous,partial_open,baseline_wins,baseline_win_still_profitable,baseline_win_to_loss,baseline_win_to_be,baseline_losses,baseline_loss_to_win,cluster_trades,cluster_resolved,cluster_total_r,cluster_expectancy_r
DEV,P0_BASELINE_TP1,440,440,325,115,0,0.7386363636363636,0.7386363636363636,0.22391857506361168,0.0347999323641206,15.311970240213064,1.1331475673062004,5,15.587691457252985,0,0,325,325,0,0,115,0,177,177,12.453875137231153,0.07036087648153194
DEV,P1_CLUSTER_FULL_TP2,440,439,319,120,0,0.7266514806378133,0.7266514806378133,0.241970021413282,0.03390630195559715,14.884866558507149,1.1240405546542263,5,16.711522451331017,1,0,325,319,5,0,115,0,177,176,12.026771455525244,0.06833392872457525
DEV,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,440,438,314,124,0,0.7168949771689498,0.7168949771689498,0.22824947589099448,0.02542414106804013,11.135773787801577,1.094113823266467,5,16.750568492753533,2,0,325,314,9,0,115,0,177,175,8.277678684819675,0.047301021056112426
DEV,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,440,422,307,115,0,0.7274881516587678,0.7274881516587678,0.2285115303983304,0.028214151470930128,11.906371920732514,1.103533668875935,5,16.532870574520494,18,0,325,307,0,0,115,0,177,159,9.048276817750605,0.056907401369500656
REF,P0_BASELINE_TP1,272,272,201,71,0,0.7389705882352942,0.7389705882352942,0.1827079934747154,-0.0019093964179548303,-0.5193558256837139,0.9926851292157223,4,10.562542390565484,0,0,201,201,0,0,71,0,124,124,2.4817843295831814,0.020014389754703075
REF,P1_CLUSTER_FULL_TP2,272,272,197,75,0,0.7242647058823529,0.7242647058823529,0.21857923497267542,0.0002845580749383449,0.0773997963832298,1.00103199728511,4,9.914543954685357,0,0,201,197,4,0,71,0,124,124,3.078539951650122,0.024826935093952597
REF,P2_CLUSTER_HALF_TP1_HALF_TP2_STRUCTURAL,272,272,191,81,0,0.7022058823529411,0.7022058823529411,0.20840950639853395,-0.013608598397108835,-3.7015387640136033,0.9509937937902958,4,11.869991907855788,0,0,201,191,10,0,71,0,124,124,-0.7003986087467103,-0.0056483758769896
REF,P3_CLUSTER_HALF_TP1_HALF_TP2_BE,272,261,190,71,0,0.7279693486590039,0.7279693486590039,0.19924937447874264,-0.003440052006681412,-0.8978535737438484,0.9873541750176923,4,10.513498435080352,11,0,201,190,0,0,71,0,124,113,2.103286581523044,0.018613155588699505
