period,all_trades,cluster_trades,cluster_share,cluster_baseline_wins,cluster_baseline_losses,cluster_baseline_wr,median_gap_r
DEV,440,177,0.4022727272727273,144,33,0.8135593220338984,0.04324324324323477
REF,272,124,0.45588235294117646,101,23,0.8145161290322581,0.04470878776585201
