year,candidate,population,available,availability_rate,resolved,wins,losses,wr,median_win_r,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,median_sl_pct,median_compression,baseline_wins,baseline_wins_available,baseline_win_retained,baseline_win_false_stop,baseline_win_false_stop_rate_available,baseline_losses,baseline_loss_to_win
2022,TOUCH_LOW_BASELINE,45,45,1.0,45,34,11,0.7555555555555555,0.1704285933616729,-0.02211899079596314,-0.9953545858183414,0.90951321947106,5.3328618463013555,3,0.021126005361930284,0.0,34,34,34,0,0.0,11,0
2022,RECLAIM_LOW,45,45,1.0,45,33,12,0.7333333333333333,0.16446124763705303,0.0037017311080869276,0.16657789986391175,1.013881491655326,5.825815540072904,3,0.02050383017645488,0.0,34,34,33,1,0.029411764705882353,11,0
2022,HOLD_LOW,45,45,1.0,45,29,16,0.6444444444444445,0.3018867924528392,0.007849903700351796,0.3532456665158308,1.0220778541572393,6.24834752612342,3,0.012404506020976211,0.42300194931774227,34,34,29,5,0.14705882352941177,11,0
2022,PROTECTED_PIVOT_LOW,45,34,1.0,34,26,8,0.7647058823529411,0.15700305554804392,-0.043396801537498614,-1.4754912522749528,0.8155635934656309,3.931421438411716,2,0.019236399255560845,0.0,34,27,26,1,0.037037037037037035,11,0
2022,DEMAND_LOW_TOUCH,45,12,1.0,12,6,6,0.5,0.03635254290662952,-0.401076545217985,-4.8129185426158205,0.19784690956402987,4.927294914186741,3,0.016756746866049655,0.14332813034317748,34,7,6,1,0.14285714285714285,11,0
2022,DEMAND_LOW_CLOSE15,45,12,1.0,12,8,4,0.6666666666666666,0.10598628101528301,-0.17174543886632365,-2.060945266395884,0.5557861717753607,2.6562045368209746,1,0.016756746866049655,0.14332813034317748,34,7,6,1,0.14285714285714285,11,2
2023,TOUCH_LOW_BASELINE,31,31,1.0,31,28,3,0.9032258064516129,0.026842096604753354,-0.03728954413804282,-1.1559758682793275,0.6146747105735575,2.007313262409729,1,0.020986757943505144,0.0,28,28,28,0,0.0,3,0
2023,RECLAIM_LOW,31,31,1.0,31,28,3,0.9032258064516129,0.033846695857864845,-0.029938524773854808,-0.928094267989499,0.6906352440035004,1.946074918327008,1,0.02063606908049955,0.0,28,28,28,0,0.0,3,0
2023,HOLD_LOW,31,31,1.0,31,28,3,0.9032258064516129,0.043608218852686294,0.018377306411976914,0.5696964987712844,1.1898988329237616,1.4861286257062425,1,0.01369103471807561,0.3511326860841446,28,28,28,0,0.0,3,0
2023,PROTECTED_PIVOT_LOW,31,26,1.0,26,22,4,0.8461538461538461,0.03076708856443678,-0.07786097753684272,-2.024385415957911,0.4939036460105223,2.6566803665801393,1,0.01786583487384147,0.23271965001822503,28,23,22,1,0.043478260869565216,3,0
2023,DEMAND_LOW_TOUCH,31,17,1.0,17,15,2,0.8823529411764706,0.03448275862069078,-0.044888884402000784,-0.7631110348340133,0.6184444825829933,1.7421964924184405,1,0.019236722239419777,0.12469135802469034,28,15,15,0,0.0,3,0
2023,DEMAND_LOW_CLOSE15,31,17,1.0,17,15,2,0.8823529411764706,0.03448275862069078,-0.05002451867421138,-0.8504168174615935,0.5925767922747494,1.8295022750460208,1,0.019236722239419777,0.12469135802469034,28,15,15,0,0.0,3,0
2024,TOUCH_LOW_BASELINE,34,34,1.0,34,25,9,0.7352941176470589,0.058431952662719285,-0.1594343476167564,-5.4207678189697175,0.3976924645589204,5.939969260863446,2,0.02450641912842173,0.0,25,25,25,0,0.0,9,0
2024,RECLAIM_LOW,34,34,1.0,34,25,9,0.7352941176470589,0.058431952662719285,-0.1539188947106719,-5.233242420162845,0.4185286199819062,5.752443862056571,2,0.02450641912842173,0.0,25,25,25,0,0.0,9,0
2024,HOLD_LOW,34,34,1.0,34,21,13,0.6176470588235294,0.07298136645963159,-0.19334740600445102,-6.573811804151335,0.4943221689114357,6.9534752150592745,2,0.014670417083573771,0.4251774664331564,25,25,21,4,0.16,9,0
2024,PROTECTED_PIVOT_LOW,34,30,1.0,30,20,10,0.6666666666666666,0.049202906743688386,-0.22847832535612164,-6.854349760683649,0.31456502393163505,7.237216368034634,2,0.019546752221562116,0.23432894305432322,25,22,20,2,0.09090909090909091,9,0
2024,DEMAND_LOW_TOUCH,34,20,1.0,20,16,4,0.8,0.04838545765907914,-0.14238942489739992,-2.8477884979479984,0.2880528755130003,3.223691462196502,1,0.021748938734330904,0.1691730358040373,25,16,16,0,0.0,9,0
2024,DEMAND_LOW_CLOSE15,34,20,1.0,20,16,4,0.8,0.04838545765907914,-0.19402018118430828,-3.8804036236861656,0.22894886123106797,4.256306587934669,1,0.021748938734330904,0.1691730358040373,25,16,16,0,0.0,9,0
2025,TOUCH_LOW_BASELINE,39,39,1.0,39,35,4,0.8974358974358975,0.03769230769230839,-0.02226951904286848,-0.8685112426718707,0.7828721893320324,3.3322253749311606,2,0.0243192030750906,0.0,35,35,35,0,0.0,4,0
2025,RECLAIM_LOW,39,39,1.0,39,35,4,0.8974358974358975,0.038404726735596986,-0.017268153979060518,-0.6734580051833602,0.8316354987041601,3.2914333938964915,2,0.022437841115827646,0.0,35,35,35,0,0.0,4,0
2025,HOLD_LOW,39,39,1.0,39,34,5,0.8717948717948718,0.051340613561319574,0.003975838772132403,0.15505771211316371,1.0310115424226327,2.719108934097677,2,0.014979362797384491,0.5005289987496394,35,35,34,1,0.02857142857142857,4,0
2025,PROTECTED_PIVOT_LOW,39,32,1.0,32,29,3,0.90625,0.027960526315792166,0.01086918627143181,0.34781396068581794,1.1159379868952728,2.833602584814221,2,0.023378522095459126,0.0,35,29,29,0,0.0,4,0
2025,DEMAND_LOW_TOUCH,39,28,1.0,28,25,3,0.8928571428571429,0.041170097508125274,-0.034975462472030386,-0.9793129492168509,0.6735623502610498,2.318840127423399,1,0.03689848654545037,0.18455644256356002,35,25,25,0,0.0,4,0
2025,DEMAND_LOW_CLOSE15,39,28,1.0,28,25,3,0.8928571428571429,0.041170097508125274,-0.05987941376962248,-1.6766235855494296,0.5465288826225055,3.016150763755978,1,0.03689848654545037,0.18455644256356002,35,25,25,0,0.0,4,0
2026,TOUCH_LOW_BASELINE,11,11,1.0,11,9,2,0.8181818181818182,0.043080236941300615,-0.0643745673435267,-0.7081202407787938,0.6459398796106031,2.0,2,0.02250257875109093,0.0,9,9,9,0,0.0,2,0
2026,RECLAIM_LOW,11,11,1.0,11,9,2,0.8181818181818182,0.043080236941300615,-0.06376232244556747,-0.7013855469012421,0.6493072265493789,2.0,2,0.02250257875109093,0.0,9,9,9,0,0.0,2,0
2026,HOLD_LOW,11,11,1.0,11,8,3,0.7272727272727273,0.07021094992080586,-0.16311090744096837,-1.7942199818506521,0.40192667271644944,2.927258193445246,2,0.017068368740274998,0.45250000000000534,9,9,8,1,0.1111111111111111,2,0
