period,candidate,trades,wins,losses,wr,expectancy_r,total_r
DEV,TOUCH_LOW_BASELINE,440,325,115,0.7386363636363636,0.0347999323641206,15.311970240213064
DEV,RECLAIM_LOW,440,324,116,0.7363636363636363,0.038384794829527315,16.889309724992017
DEV,HOLD_LOW,440,316,124,0.7181818181818181,0.039166361078218706,17.23319887441623
DEV,PROTECTED_PIVOT_LOW,440,321,119,0.7295454545454545,0.029657124412276418,13.049134741401623
DEV,DEMAND_LOW_TOUCH,440,324,116,0.7363636363636363,0.03278311420694726,14.424570251056796
DEV,DEMAND_LOW_CLOSE15,440,326,114,0.740909090909091,0.0364923241338886,16.056622618910986
REF,TOUCH_LOW_BASELINE,272,201,71,0.7389705882352942,-0.001909396417954832,-0.5193558256837143
REF,RECLAIM_LOW,272,201,71,0.7389705882352942,-0.0011675290232266563,-0.31756789431765053
REF,HOLD_LOW,272,199,73,0.7316176470588235,-0.0021392890145975636,-0.5818866119705373
REF,PROTECTED_PIVOT_LOW,272,201,71,0.7389705882352942,0.001053798255842453,0.2866331255891472
REF,DEMAND_LOW_TOUCH,272,201,71,0.7389705882352942,-0.000481753467093576,-0.13103694304945268
REF,DEMAND_LOW_CLOSE15,272,201,71,0.7389705882352942,-0.004055967651737447,-1.1032232012725856
