period,candidate,population,available,availability_rate,resolved,wins,losses,wr,median_win_r,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,median_sl_pct,median_compression,baseline_wins,baseline_wins_available,baseline_win_retained,baseline_win_false_stop,baseline_win_false_stop_rate_available,baseline_losses,baseline_loss_to_win
DEV,TOUCH_LOW_BASELINE,110,110,1.0,110,87,23,0.7909090909090909,0.08810267082899834,-0.06883725702788532,-7.572098273067385,0.670778335953592,8.879203639696815,3,0.021528624653920622,0.0,87,87,87,0,0.0,23,0
DEV,RECLAIM_LOW,110,110,1.0,110,86,24,0.7818181818181819,0.08933735236365269,-0.054497807166258475,-5.994758788288432,0.7502183838213151,7.304339584547715,3,0.02088215450394887,0.0,87,87,86,1,0.011494252873563218,23,0
DEV,HOLD_LOW,110,110,1.0,110,78,32,0.7090909090909091,0.08244254318605393,-0.05137154217149293,-5.650869638864222,0.8234103237854934,7.172279329865355,3,0.013405397784820266,0.41692494118063156,87,87,78,9,0.10344827586206896,23,0
DEV,PROTECTED_PIVOT_LOW,110,90,1.0,90,68,22,0.7555555555555555,0.057607827219958316,-0.11504696032129459,-10.354226428916514,0.5293533441401584,12.029330708050168,2,0.019236399255560845,0.006503251625812667,87,72,68,4,0.05555555555555555,23,0
DEV,DEMAND_LOW_TOUCH,110,49,1.0,49,37,12,0.7551020408163265,0.04177545691905934,-0.17191465459995572,-8.423818075397831,0.298015160383514,8.88333277561391,3,0.01959754734238973,0.13754646840148876,87,38,37,1,0.02631578947368421,23,0
DEV,DEMAND_LOW_CLOSE15,110,49,1.0,49,39,10,0.7959183673469388,0.04536862003780921,-0.138607463419258,-6.791765707543642,0.42244214368372457,7.166742745866219,1,0.01959754734238973,0.13754646840148876,87,38,37,1,0.02631578947368421,23,2
REF,TOUCH_LOW_BASELINE,50,50,1.0,50,44,6,0.88,0.03804851721395269,-0.03153262966901329,-1.5766314834506643,0.737228086091556,3.3322253749311606,2,0.023806866558193453,0.0,44,44,44,0,0.0,6,0
REF,RECLAIM_LOW,50,50,1.0,50,44,6,0.88,0.038939205473061414,-0.027496871041692055,-1.3748435520846027,0.7708594079858996,3.2914333938964915,2,0.022470209933459287,0.0,44,44,44,0,0.0,6,0
REF,HOLD_LOW,50,50,1.0,50,42,8,0.84,0.058069232012466346,-0.03278324539474977,-1.6391622697374884,0.795104716282814,3.258736962375835,2,0.015660134741700082,0.5005289987496394,44,44,42,2,0.045454545454545456,6,0
REF,PROTECTED_PIVOT_LOW,50,43,1.0,43,38,5,0.8837209302325582,0.04892348561061362,-0.003537882964500358,-0.1521289674735154,0.9695742065052968,2.833602584814221,2,0.020205317360578404,0.0,44,38,38,0,0.0,6,0
REF,DEMAND_LOW_TOUCH,50,35,1.0,35,31,4,0.8857142857142857,0.04331797235023284,-0.03453958776250147,-1.2088855716875515,0.6977786070781123,2.318840127423399,1,0.02252578429262001,0.18688083100894481,44,31,31,0,0.0,6,0
REF,DEMAND_LOW_CLOSE15,50,35,1.0,35,31,4,0.8857142857142857,0.04331797235023284,-0.06231633799744809,-2.181071829910683,0.5613455094721022,3.016150763755978,1,0.02252578429262001,0.18688083100894481,44,31,31,0,0.0,6,0
