column,family,dtype,missing,unique
ret_15,numeric,float64,0,223316
ret_30,numeric,float64,0,224824
ret_60,numeric,float64,0,225945
ret_120,numeric,float64,0,226763
ret_360,numeric,float64,0,227702
disp_atr_15,numeric,float64,0,227658
disp_atr_30,numeric,float64,0,228110
disp_atr_60,numeric,float64,0,228396
disp_atr_120,numeric,float64,0,228635
disp_atr_360,numeric,float64,0,228895
eff_30,numeric,float64,0,152269
eff_60,numeric,float64,0,196641
eff_120,numeric,float64,0,217772
eff_360,numeric,float64,0,227406
up_frac_30,numeric,float64,0,7
up_frac_60,numeric,float64,0,13
up_frac_120,numeric,float64,0,19
true_range,numeric,float64,0,9930
atr_30,numeric,float64,0,37841
atr_60,numeric,float64,0,63284
atr_120,numeric,float64,0,102306
atr_360,numeric,float64,0,175426
atr30_atr360,numeric,float64,0,229087
atr60_atr360,numeric,float64,0,229111
rv_30,numeric,float64,0,229267
rv_60,numeric,float64,0,229267
rv_120,numeric,float64,0,229267
rv_360,numeric,float64,0,229267
rv60_rv360,numeric,float64,0,229267
body_range,numeric,float64,0,90696
close_location,numeric,float64,0,84471
range_pos_60,numeric,float64,0,179483
range_pos_120,numeric,float64,0,197177
range_pos_360,numeric,float64,0,214541
dist_prior_high_60_atr,numeric,float64,0,228332
dist_prior_low_60_atr,numeric,float64,0,228377
dist_prior_high_120_atr,numeric,float64,0,228623
dist_prior_low_120_atr,numeric,float64,0,228709
sweep_high_60,numeric,float64,0,2
sweep_low_60,numeric,float64,0,2
break_high_60,numeric,float64,0,2
break_low_60,numeric,float64,0,2
utc_hour,numeric,float64,0,24
utc_minute,numeric,float64,0,4
wib_hour,numeric,float64,0,24
wib_quarter,numeric,float64,0,4
day_of_week,numeric,float64,0,7
tod_sin,numeric,float64,0,85
tod_cos,numeric,float64,0,87
structure_state,categorical,object,0,5
trend_state,categorical,object,0,5
efficiency_state,categorical,object,0,3
vol_state,categorical,object,0,3
range_state,categorical,object,0,3
liquidity_state,categorical,object,0,6
path_state,categorical,object,0,7
wib_bucket,categorical,object,0,4
era,categorical,object,0,6
character_token,categorical,str,0,12556
