feature,state,count,share
efficiency_state,LOW,158640,0.6919443269201412
efficiency_state,MID,65986,0.28781289937060284
efficiency_state,HIGH,4641,0.02024277370925602
era,2020_2021,66270,0.2890516297591891
era,2024,35131,0.15323182141346117
era,2023,35039,0.15283054255518674
era,2025,35038,0.15282618082846638
era,2022,35036,0.1528174573750256
era,2026_PRE_B29,22753,0.09924236806867102
liquidity_state,NONE,167592,0.7309905045209297
liquidity_state,BREAK_HIGH,17651,0.07698883834132256
liquidity_state,SWEEP_HIGH,15269,0.06659920529339154
liquidity_state,BREAK_LOW,14653,0.06391238163364113
liquidity_state,SWEEP_LOW,14074,0.06138694186254454
liquidity_state,SWEEP_BOTH,28,0.00012212834817047373
path_state,CONT_UP,61770,0.2694238595175058
path_state,CONT_DOWN,55000,0.23989496962057338
path_state,PULLBACK_FROM_UP,33420,0.14576890699490114
path_state,PULLBACK_FROM_DOWN,32459,0.14157728761662167
path_state,MIXED_RANGE,26333,0.11485734972761016
path_state,UP_PAUSE,10749,0.046884200517300786
path_state,DOWN_PAUSE,9536,0.04159342600548705
range_state,HIGH,83975,0.3662760013434118
range_state,MID,76866,0.33526848608827264
range_state,LOW,68426,0.29845551256831554
structure_state,HH_HL,81523,0.35558104742505464
structure_state,LH_LL,74794,0.32623098832365754
structure_state,LH_HL,31939,0.13930918972202716
structure_state,OVERLAP,22989,0.1002717355746793
structure_state,HH_LL,18022,0.07860703895458133
trend_state,STRONG_UP,86238,0.37614658891161834
trend_state,STRONG_DOWN,79812,0.34811813300649463
trend_state,FLAT,22435,0.09785533897159207
trend_state,UP,20748,0.09049710599432104
trend_state,DOWN,20034,0.08738283311597395
vol_state,NORMAL,129919,0.5666711737842777
vol_state,COMPRESS,59283,0.2585762451639355
vol_state,EXPAND,40065,0.1747525810517868
wib_bucket,WIB_00_05,57327,0.2500447076988838
wib_bucket,WIB_18_23,57321,0.2500185373385616
wib_bucket,WIB_06_11,57310,0.24997055834463747
wib_bucket,WIB_12_17,57309,0.2499661966179171
