target,feature,period,band,n,expanders,expansion_rate
MAJOR_NEAREST,tp1_r,DEV,Q1,24,17,0.7083333333333334
MAJOR_NEAREST,tp1_r,DEV,Q2,24,17,0.7083333333333334
MAJOR_NEAREST,tp1_r,DEV,Q3,23,13,0.5652173913043478
MAJOR_NEAREST,tp1_r,DEV,Q4,24,20,0.8333333333333334
MAJOR_NEAREST,tp1_r,REF,Q1,14,11,0.7857142857142857
MAJOR_NEAREST,tp1_r,REF,Q2,19,10,0.5263157894736842
MAJOR_NEAREST,tp1_r,REF,Q3,22,17,0.7727272727272727
MAJOR_NEAREST,tp1_r,REF,Q4,16,16,1.0
MAJOR_NEAREST,tp2_r,DEV,Q1,24,17,0.7083333333333334
MAJOR_NEAREST,tp2_r,DEV,Q2,24,16,0.6666666666666666
MAJOR_NEAREST,tp2_r,DEV,Q3,23,14,0.6086956521739131
MAJOR_NEAREST,tp2_r,DEV,Q4,24,20,0.8333333333333334
MAJOR_NEAREST,tp2_r,REF,Q1,14,9,0.6428571428571429
MAJOR_NEAREST,tp2_r,REF,Q2,26,18,0.6923076923076923
MAJOR_NEAREST,tp2_r,REF,Q3,10,9,0.9
MAJOR_NEAREST,tp2_r,REF,Q4,21,18,0.8571428571428571
MAJOR_NEAREST,tp1_to_tp2_gap_r,DEV,Q1,24,15,0.625
MAJOR_NEAREST,tp1_to_tp2_gap_r,DEV,Q2,24,17,0.7083333333333334
MAJOR_NEAREST,tp1_to_tp2_gap_r,DEV,Q3,23,18,0.782608695652174
MAJOR_NEAREST,tp1_to_tp2_gap_r,DEV,Q4,24,17,0.7083333333333334
MAJOR_NEAREST,tp1_to_tp2_gap_r,REF,Q1,12,8,0.6666666666666666
MAJOR_NEAREST,tp1_to_tp2_gap_r,REF,Q2,20,14,0.7
MAJOR_NEAREST,tp1_to_tp2_gap_r,REF,Q3,22,18,0.8181818181818182
MAJOR_NEAREST,tp1_to_tp2_gap_r,REF,Q4,17,14,0.8235294117647058
MAJOR_NEAREST,known_target_count,DEV,Q1,24,16,0.6666666666666666
MAJOR_NEAREST,known_target_count,DEV,Q2,24,16,0.6666666666666666
MAJOR_NEAREST,known_target_count,DEV,Q3,24,17,0.7083333333333334
MAJOR_NEAREST,known_target_count,DEV,Q4,23,18,0.782608695652174
MAJOR_NEAREST,known_target_count,REF,Q1,21,14,0.6666666666666666
MAJOR_NEAREST,known_target_count,REF,Q2,19,14,0.7368421052631579
MAJOR_NEAREST,known_target_count,REF,Q3,11,9,0.8181818181818182
MAJOR_NEAREST,known_target_count,REF,Q4,20,17,0.85
MAJOR_NEAREST,objective_room_from_tp2_r,DEV,Q1,24,21,0.875
MAJOR_NEAREST,objective_room_from_tp2_r,DEV,Q2,24,20,0.8333333333333334
MAJOR_NEAREST,objective_room_from_tp2_r,DEV,Q3,23,15,0.6521739130434783
