target,feature,q25,q50,q75,dev_n
MAJOR_NEAREST,tp1_r,0.045427129297487684,0.15261044176706764,0.4962686567164025,95
MAJOR_NEAREST,tp2_r,0.14503573320647659,0.39090909090909914,0.6442512176716853,95
MAJOR_NEAREST,tp1_to_tp2_gap_r,0.034921669667433555,0.0902964959568676,0.21249029503105255,95
MAJOR_NEAREST,known_target_count,6.5,16.0,47.0,95
MAJOR_NEAREST,objective_room_from_tp2_r,0.18315780235211215,0.30105633802816506,0.5647345673941395,95
MAJOR_NEAREST,minutes_entry_to_tp1,5.0,25.0,72.5,95
MAJOR_NEAREST,minutes_tp1_to_tp2,0.0,5.0,30.0,95
MAJOR_NEAREST,minutes_entry_to_tp2,17.5,50.0,115.0,95
MAJOR_NEAREST,cluster_gap_r_per_minute,0.0030484824404439313,0.0063529411764701605,0.021094016872273247,55
MAJOR_NEAREST,cluster_path_efficiency,0.006875638023164319,0.06763461638899422,0.34206989247310565,40
MAJOR_NEAREST,cluster_green_rate,0.4875,0.5070850202429149,0.6522727272727272,40
MAJOR_NEAREST,cluster_close_above_tp1_rate,0.13839285714285715,0.3875,0.88125,40
MAJOR_NEAREST,cluster_max_pullback_r,0.2007992278829825,0.33035714285714557,0.49140211640211273,55
MAJOR_NEAREST,cluster_mae_from_tp1_r,-0.3291691416691471,-0.20273052528867,-0.0888365635888519,40
MAJOR_NEAREST,last1_progress_r,-0.017938011550129626,0.03945890789690949,0.11554031165311716,40
MAJOR_NEAREST,last3_progress_r,0.018270087538680722,0.10392604796521168,0.15213170113973618,32
MAJOR_NEAREST,last3_green_rate,0.6666666666666666,0.6666666666666666,0.6666666666666666,32
MAJOR_NEAREST,distance_remaining_tp2_r,0.09059606142304216,0.13840830449828234,0.21012388695314932,55
MAJOR_NEAREST,tp2_close_above_r,-0.08782735863556657,-0.021141649048624638,0.02434121604957068,95
MAJOR_NEAREST,tp2_bar_body_r,0.02867776167582549,0.10679611650487045,0.233677008934289,95
MAJOR_NEAREST,tp2_bar_range_r,0.17041970880833318,0.22649572649572666,0.3825099020220972,95
MAJOR_NEAREST,tp2_close_location,0.41603247082698375,0.7019230769230806,0.8844794161249827,95
H1_NEAREST,tp1_r,0.05726488005109674,0.24362801746276896,0.5978426395939045,134
H1_NEAREST,tp2_r,0.20893485915492563,0.44586194648357347,0.7546078251897235,134
H1_NEAREST,tp1_to_tp2_gap_r,0.030738238433700254,0.0843651211801925,0.22130632353974808,134
H1_NEAREST,known_target_count,6.0,12.0,37.75,134
H1_NEAREST,objective_room_from_tp2_r,0.20579884081728905,0.3780406110324147,0.7077918561836811,134
H1_NEAREST,minutes_entry_to_tp1,5.0,35.0,123.75,134
H1_NEAREST,minutes_tp1_to_tp2,0.0,5.0,30.0,134
H1_NEAREST,minutes_entry_to_tp2,25.0,67.5,180.0,134
H1_NEAREST,cluster_gap_r_per_minute,0.0030484824404439313,0.006471910112359525,0.020026663333749587,75
H1_NEAREST,cluster_path_efficiency,0.002762265057328633,0.05940594059405114,0.36065573770491666,55
H1_NEAREST,cluster_green_rate,0.4814814814814815,0.5141700404858299,0.6666666666666666,55
H1_NEAREST,cluster_close_above_tp1_rate,0.11805555555555555,0.36363636363636365,0.95,55
H1_NEAREST,cluster_max_pullback_r,0.23386677919887483,0.3475513428120113,0.5609154364569886,75
H1_NEAREST,cluster_mae_from_tp1_r,-0.38097972859399964,-0.2260869565217301,-0.08824223286875728,55
H1_NEAREST,last1_progress_r,-0.015178348195687589,0.04777594728171677,0.13550135501354824,55
H1_NEAREST,last3_progress_r,0.03542340711791589,0.11065441988563521,0.18253167772397916,44
H1_NEAREST,last3_green_rate,0.6666666666666666,0.6666666666666666,0.6666666666666666,44
H1_NEAREST,distance_remaining_tp2_r,0.09059606142304216,0.13840830449828234,0.20459068775798545,75
H1_NEAREST,tp2_close_above_r,-0.08831522371933113,-0.013713200379870342,0.02960966194772048,134
H1_NEAREST,tp2_bar_body_r,0.03401552378824585,0.1249012638230576,0.24984121485074473,134
H1_NEAREST,tp2_bar_range_r,0.1752438212369319,0.24843233558829497,0.4121028428093696,134
H1_NEAREST,tp2_close_location,0.43959059233449643,0.7051282051281962,0.8828325532235939,134
EXPANSION,tp1_r,0.03840279149384536,0.12923076923077412,0.3954852442225225,127
EXPANSION,tp2_r,0.11964143149710302,0.2926829268292818,0.6172076090857839,127
EXPANSION,tp1_to_tp2_gap_r,0.025877459315039614,0.0902964959568676,0.19908876050419244,127
EXPANSION,known_target_count,7.0,16.0,50.5,127
EXPANSION,objective_room_from_tp2_r,0.2856513943585289,0.520833333333336,0.9184719849881018,127
EXPANSION,minutes_entry_to_tp1,5.0,20.0,70.0,127
EXPANSION,minutes_tp1_to_tp2,0.0,5.0,30.0,127
