period,target,available,far_before_decision,far_before_decision_rate,post_decision_resolved,expanders,stoppers,post_decision_expansion_rate,median_room_from_tp2_r,median_minutes_tp2_to_far,ambiguous,unresolved
DEV,MAJOR_NEAREST,127,32,0.25196850393700787,95,67,28,0.7052631578947368,0.21492537313433505,40.0,0,0
DEV,H1_NEAREST,163,29,0.17791411042944785,134,90,44,0.6716417910447762,0.3000000000000071,45.0,0,0
DEV,EXPANSION,149,22,0.1476510067114094,127,76,51,0.5984251968503937,0.44473684210528286,92.5,0,0
DEV,R_0_50,139,28,0.2014388489208633,111,78,33,0.7027027027027027,0.28651685393259496,70.0,0,0
DEV,R_1_00,192,14,0.07291666666666667,178,102,76,0.5730337078651685,0.6868156934306509,122.5,0,0
REF,MAJOR_NEAREST,98,27,0.2755102040816326,71,54,17,0.7605633802816901,0.2849177695352236,60.0,0,0
REF,H1_NEAREST,120,29,0.24166666666666667,91,66,25,0.7252747252747253,0.30880750218248587,65.0,0,0
REF,EXPANSION,117,11,0.09401709401709402,106,74,32,0.6981132075471698,0.4553571428571483,147.5,0,0
REF,R_0_50,100,14,0.14,86,64,22,0.7441860465116279,0.34955915406176985,67.5,0,0
REF,R_1_00,136,6,0.04411764705882353,130,73,57,0.5615384615384615,0.75861463500285,100.0,0,0
