decision,label,period,n,eligible,eligible_success,eligible_rate,too_fast_target,too_fast_consumed,censored
PLUS5_CLOSE,GE1R,DEV,500,476,337,0.707983193277311,24,0,0
PLUS5_CLOSE,GE1R,REF,309,297,219,0.7373737373737373,12,0,0
PLUS5_CLOSE,GE1_5R,DEV,500,484,250,0.5165289256198347,16,0,0
PLUS5_CLOSE,GE1_5R,REF,309,302,161,0.5331125827814569,7,0,0
PLUS5_CLOSE,GE2R,DEV,500,490,195,0.3979591836734694,10,0,0
PLUS5_CLOSE,GE2R,REF,309,303,128,0.42244224422442245,6,0,0
PLUS15_CLOSE,GE1R,DEV,500,465,326,0.7010752688172043,35,0,0
PLUS15_CLOSE,GE1R,REF,309,282,204,0.723404255319149,27,0,0
PLUS15_CLOSE,GE1_5R,DEV,500,477,243,0.5094339622641509,23,0,0
PLUS15_CLOSE,GE1_5R,REF,309,295,154,0.5220338983050847,14,0,0
PLUS15_CLOSE,GE2R,DEV,500,481,186,0.3866943866943867,19,0,0
PLUS15_CLOSE,GE2R,REF,309,298,123,0.412751677852349,11,0,0
