family,decision,label,feature,feature_type,dev_pos,dev_neg,dev_effect,dev_n,ref_pos,ref_neg,ref_effect,ref_n,direction_consistent,robust_score
FORMATION,BOS_CLOSE,GE1R,base_mean_added_overlap,NUMERIC,1.0,0.940688018979834,0.38772881854345764,500,0.977099236641242,0.9075191749719461,0.45485236947395935,309,True,0.38772881854345764
FORMATION,BOS_CLOSE,GE1R,base_width_pct,NUMERIC,0.008990975096695315,0.01058098648343486,-0.1891681684698816,500,0.0073009081252524595,0.008892596555316944,-0.18936769107510895,309,True,0.1891681684698816
FORMATION,BOS_CLOSE,GE1R,departure_efficiency,NUMERIC,0.8512396694214951,0.7318435754189874,0.22800150404562414,500,0.9371428571429122,0.8498386274842824,0.1667181480098847,309,True,0.1667181480098847
FORMATION,BOS_CLOSE,GE1R,max_bull_fvg_zone_r,NUMERIC,0.075187969924807,0.0538461538461711,0.07538158413306524,500,0.0529061102831627,0.03921349829015015,0.04836377462674987,309,True,0.04836377462674987
FORMATION,BOS_CLOSE,GE1R,bos_overshoot_zone_r,NUMERIC,0.2459770114942532,0.1750563486100714,0.19282431779551024,500,0.1985294117646905,0.18675616835994951,0.032009960643867734,309,True,0.032009960643867734
FORMATION,BOS_CLOSE,GE1R,base_mean_body_frac,NUMERIC,0.391840482749542,0.4133485670618537,-0.09146672861523214,500,0.3989300444398524,0.4048138751652338,-0.025021975010036647,309,True,0.025021975010036647
FORMATION,BOS_CLOSE,GE1R,base_candles,NUMERIC,2.0,3.0,-0.3333333333333333,500,2.0,2.0,0.0,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,departure_bars,NUMERIC,4.0,4.0,0.0,500,4.0,4.0,0.0,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,departure_net_progress_zone_r,NUMERIC,0.7675111773472418,0.5248868778280312,0.29022973410581304,500,0.6400000000000026,0.6450080753000125,-0.00599071224763569,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,bos_body_frac,NUMERIC,0.6442451420029901,0.6348684210526228,0.030532863671736667,500,0.6286353467561615,0.6711786394793484,-0.13853121616176106,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,source_age_at_activation_h,NUMERIC,5.0,6.0,-0.5,500,5.0,5.0,0.0,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,protected_depth_to_broken_level_zone_r,NUMERIC,1.6322869955157173,1.4229074889868036,0.2104338094347751,500,1.5662337662337962,1.5979967388772454,-0.0319229109053734,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,has_bull_fvg,BINARY,0.7193548387096774,0.7263157894736842,-0.0069609507640068236,500,0.7528089887640449,0.7404580152671756,0.01235097349686931,309,False,0.0
FORMATION,BOS_CLOSE,GE1R,predeparture_swept_prior_low,BINARY,0.7025641025641025,0.7344262295081967,-0.03186212694409418,500,0.7583333333333333,0.7407407407407407,0.017592592592592604,309,False,0.0
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,NUMERIC,0.4356000183468423,0.3398058252427178,0.2447087849469753,465,0.36969061560373684,0.3225649313435549,0.12038379949157267,282,True,0.12038379949157267
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,NUMERIC,0.20888888888888835,0.176470588235291,0.10958957027867518,465,0.22911442483262456,0.1767972485529761,0.17685741544395708,282,True,0.10958957027867518
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,NUMERIC,0.6725751559841302,0.63076923076922,0.08954757542973271,465,0.6557093425605602,0.5640797912474873,0.19626892876116875,282,True,0.08954757542973271
PLUS15_REACTION,PLUS15_CLOSE,GE1R,ALL3_CLOSES_ABOVE_ZONE,BINARY,0.7105263157894737,0.6919831223628692,0.018543193426604487,465,0.7532467532467533,0.6875,0.06574675324675328,282,True,0.018543193426604487
