family,decision,label,feature,period,band,n,success,success_rate
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,DEV,Q2,122,41,0.3360655737704918
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,DEV,Q3,122,48,0.39344262295081966
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,DEV,Q4,123,72,0.5853658536585366
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,REF,Q1,93,30,0.3225806451612903
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,REF,Q2,68,24,0.35294117647058826
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,REF,Q3,65,27,0.4153846153846154
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_recovery_from_low_r,REF,Q4,77,47,0.6103896103896104
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,DEV,Q1,123,39,0.3170731707317073
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,DEV,Q2,122,49,0.4016393442622951
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,DEV,Q3,122,55,0.45081967213114754
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,DEV,Q4,123,52,0.42276422764227645
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,REF,Q1,67,25,0.373134328358209
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,REF,Q2,67,24,0.3582089552238806
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,REF,Q3,105,51,0.4857142857142857
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_location,REF,Q4,64,28,0.4375
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,DEV,Q1,123,52,0.42276422764227645
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,DEV,Q2,122,42,0.3442622950819672
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,DEV,Q3,122,50,0.4098360655737705
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,DEV,Q4,123,51,0.4146341463414634
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,REF,Q1,63,30,0.47619047619047616
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,REF,Q2,61,24,0.39344262295081966
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,REF,Q3,100,41,0.41
PLUS5_REACTION,PLUS5_CLOSE,GE2R,p5_close_vs_zone_high_zone_r,REF,Q4,79,33,0.4177215189873418
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,DEV,Q1,117,82,0.7008547008547008
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,DEV,Q2,116,84,0.7241379310344828
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,DEV,Q3,116,74,0.6379310344827587
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,DEV,Q4,116,86,0.7413793103448276
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,REF,Q1,68,43,0.6323529411764706
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,REF,Q2,63,48,0.7619047619047619
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,REF,Q3,80,56,0.7
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_r,REF,Q4,71,57,0.8028169014084507
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,DEV,Q1,117,78,0.6666666666666666
