year,candidate,plans,resolved,wins,losses,ambiguous,unresolved,wr,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,baseline_wins,baseline_win_retained_as_win,baseline_win_to_loss,baseline_losses,baseline_loss_to_win
2022,A_TOUCH_LOW__TOUCH__TP1,151,151,116,35,0,0,0.7682119205298014,0.28207423320207736,0.14097014016133655,21.28649116436182,1.608185461838909,5,7.5568300880379855,116,116,0,35,0
2022,B_TOUCH_LOW__TOUCH__CAP1ZW,151,151,124,27,0,0,0.8211920529801324,0.18114668749187246,0.05931234409347119,8.95616395811415,1.3317097762264498,3,5.553681641388472,116,116,0,35,8
2022,C_TOUCH_LOW__CLOSE15__TP1,151,151,121,30,0,0,0.8013245033112583,0.29737206085753415,0.12164582526926486,18.368519615658993,1.4362502413376979,4,9.756716762615273,116,116,0,35,5
2022,D_TOUCH_LOW__CLOSE15__CAP1ZW,151,151,128,23,0,0,0.847682119205298,0.19064873452155523,0.038471349732063495,5.809173809541588,1.1774780298736969,3,9.475825014008596,116,116,0,35,12
2022,E_RECLAIM_LOW__TOUCH__TP1,151,151,111,40,0,0,0.7350993377483444,0.28070175438601214,0.1307478546484639,19.742926051918047,1.493573151297951,5,10.295539273930956,116,111,5,35,0
2022,F_RECLAIM_LOW__TOUCH__CAP1ZW,151,151,120,31,0,0,0.7947019867549668,0.18212069247102886,0.051698621794191595,7.80649189092293,1.25182231906203,3,10.355064275586267,116,112,4,35,8
2022,G_RECLAIM_LOW__CLOSE15__TP1,151,151,117,34,0,0,0.7748344370860927,0.29737206085753415,0.13787418105468302,20.819001339257138,1.4549812923633798,4,11.307509876434402,116,113,3,35,4
2022,H_RECLAIM_LOW__CLOSE15__CAP1ZW,151,151,124,27,0,0,0.8211920529801324,0.19206689536878313,0.029553487652121704,4.462576635470377,1.118981472247488,3,12.903162373920772,116,113,3,35,11
2023,A_TOUCH_LOW__TOUCH__TP1,144,144,101,43,0,0,0.7013888888888888,0.15210355987054963,-0.05336533205134683,-7.684607815393943,0.8212881903396757,3,10.026648050786187,101,101,0,43,0
2023,B_TOUCH_LOW__TOUCH__CAP1ZW,144,144,110,34,0,0,0.7638888888888888,0.12374787374788057,-0.038500681158376925,-5.544098086806277,0.836938291564521,3,8.163222231764365,101,101,0,43,9
