time,year,signal_close,entry_next_open,range7_pct,loc7_pct,range24_share7_pct,dist_prior24h_high_pct,dcomp3_pp,outcome,hours_to_outcome,nohit_return_pct
2023-06-04T16:00:00.000Z,2023,22.057,22.057,8.541506097837424,95.11677282377907,63.641188959660376,-0.41536863966771254,0,L,11,
2023-08-08T18:00:00.000Z,2023,24.259,24.259,9.324374458963671,92.3519009725907,73.82847038019453,0.024739207520729778,-4.5191079673838175,N,96,2.168267447133032
2023-09-28T19:00:00.000Z,2023,19.7,19.701,5.522842639593896,90.44117647058827,78.49264705882364,-0.08622001318658867,-11.580882352941323,W,41,
2023-10-16T11:00:00.000Z,2023,23.131,23.132,10.094678137564312,98.97216274089932,64.88222698072805,0.220970537261711,1.1654128214360626,W,2,
2023-11-29T06:00:00.000Z,2023,59.473,59.473,10.857027558724127,93.8671209540034,79.75840173455163,1.0139955159997216,3.050952454700362,W,51,
2024-02-08T03:00:00.000Z,2024,101.767,101.767,9.354702408442826,91.03991596638647,84.6638655462184,-0.8312219840187152,2.641275025791978,W,29,
2024-05-15T18:00:00.000Z,2024,153.912,153.913,11.643016788814379,90.02232142857152,76.08816964285731,-0.18418117201483009,3.8783482142858428,W,6,
2024-06-05T05:00:00.000Z,2024,173.511,173.512,7.875005042907936,88.94906323185018,76.52224824355972,-0.8627536124236501,-1.1102230246251565e-14,L,38,
2024-07-26T18:00:00.000Z,2024,182.39,182.389,10.974285870935903,85.36171063149476,93.40527577937652,-0.8750000000000036,0,W,56,
2024-08-24T01:00:00.000Z,2024,153.255,153.256,10.569312583602498,94.11655759970365,71.73107791085316,-0.6179964722971554,2.4956410176492527,W,14,
2024-09-19T06:00:00.000Z,2024,138.401,138.401,9.297620681931495,88.91047559838366,94.20267329810376,-0.4896392056484511,3.566987876903971,W,10,
2025-01-02T07:00:00.000Z,2025,205.84,205.84,11.746987951807233,95.86435070306038,78.66004962779158,-0.03399543489873702,1.9662826901221675,W,28,
2025-03-19T21:00:00.000Z,2025,133.65,133.65,11.986531986531993,81.08614232209739,64.669163545568,-0.5506362080511806,2.2471910112359605,L,13,
2025-05-08T12:00:00.000Z,2025,154.49,154.48,9.392193669493166,90.90282563749142,77.32598208132325,-0.47671197577786595,1.6064248857512564,W,3,
2025-05-22T07:00:00.000Z,2025,178.46,178.46,10.910007844895214,98.51052901900363,68.87519260400616,0.3881419812116871,2.1718959007094973,W,25,
2025-07-16T12:00:00.000Z,2025,166.62,166.61,10.178850078021833,81.48584905660383,61.792452830188694,-0.5787934840980946,1.1091870513815105,W,4,
2025-08-22T18:00:00.000Z,2025,196.81,196.81,11.452670087902048,94.23247559893518,93.03460514640643,-0.6562011003987789,2.5985298243053734,W,10,
2025-09-08T14:00:00.000Z,2025,215.22,215.22,10.328965709506546,95.1866846603689,67.16149347728289,-0.49470618151555845,0.7710699045389346,W,46,
2026-01-02T19:00:00.000Z,2026,131.59,131.6,8.02492590622389,93.27651515151508,66.76136363636364,-0.5366591080876892,-4.330915083033804,W,54,
2026-03-16T11:00:00.000Z,2026,93.71,93.71,11.727670472735028,94.35850773430387,63.87625113739763,-0.6572670412382076,1.6973317397005472,W,11,
2026-04-17T13:00:00.000Z,2026,90.09,90.09,10.378510378510372,94.7593582887701,70.48128342245997,-0.5409582689335335,-3.1016042780747877,L,19,
2026-08-18T17:00:00.000Z,2026,76.86,76.87,4.332552693208429,85.88588588588591,64.86486486486478,-0.5949301603724755,0,W,21,
2026-08-19T18:00:00.000Z,2026,82.25,82.26,10.990881458966573,91.26106194690259,71.34955752212387,-0.9513487475915294,-1.1102230246251565e-14,W,3,
