snapshot_age_min,feature,direction,dev_block,n,case_median,control_median,median_gap,effect,adequate,direction_ok
30,running_mfe_R,lower,0,3,0.0,0.020338983050848306,-0.020338983050848306,0.3957924321643441,False,False
30,running_mfe_R,lower,1,5,0.07526881720430169,0.03409090909091042,0.04117790811339127,0.9550597216134197,True,False
30,running_mfe_R,lower,2,7,0.003816793893127649,0.003634475597091327,0.00018231829603632165,0.005244943610109374,True,False
30,running_mfe_R,lower,3,7,0.04705882352940611,0.06323185011709848,-0.016173026587692367,0.16364090961155842,True,True
30,running_mfe_R,lower,4,7,0.0,0.08830515579153334,-0.08830515579153334,1.4955373325702337,True,True
30,running_mfe_R,lower,5,5,0.0,0.09428571428570974,-0.09428571428570974,2.0,True,True
30,running_mae_R,higher,0,3,0.3308550185873611,0.23050847457626958,0.10034654401109153,1.1967162251146712,False,False
30,running_mae_R,higher,1,5,0.2429906542056122,0.19402985074626344,0.04896080345934875,0.734081872998367,True,True
30,running_mae_R,higher,2,7,0.2938931297709917,0.3232104121475072,-0.029317282376515486,0.1822925755280288,True,False
30,running_mae_R,higher,3,7,0.514317180616738,0.35831381733020806,0.15600336328652997,0.5043040523170513,True,True
30,running_mae_R,higher,4,7,0.417467495760314,0.1950537934888938,0.2224137022714202,2.1618153234205293,True,True
30,running_mae_R,higher,5,5,0.2709136250283366,0.2942857142857146,-0.023372089257377993,0.2530714772350301,True,False
30,close_H_R,lower,0,3,-0.2555555555555544,-0.07796610169491208,-0.17758945386064234,1.7530749547808808,False,False
30,close_H_R,lower,1,5,-0.21495327102804104,-0.15340909090908883,-0.06154418011895221,2.046340094158362,True,True
30,close_H_R,lower,2,7,-0.2404580152671775,-0.19739696312364646,-0.04306105214353104,0.27497335328569494,True,True
30,close_H_R,lower,3,7,-0.46475770925109744,-0.29122807017543284,-0.1735296390756646,0.49796165291678857,True,True
30,close_H_R,lower,4,7,-0.3145973154362397,-0.013996138996137221,-0.3006011764401025,2.979260347955976,True,True
30,close_H_R,lower,5,5,-0.21896203924445035,-0.16857142857142954,-0.05039061067302081,0.4869895386276946,True,True
30,recovery_from_worst_R,lower,0,3,0.11904761904761811,0.1525423728813575,-0.033494753833739385,0.7602509312729684,False,False
30,recovery_from_worst_R,lower,1,5,0.053763440860219856,0.04477611940298713,0.008987321457232723,0.07226023220426361,True,False
30,recovery_from_worst_R,lower,2,7,0.10666666666666651,0.058685446009386556,0.04798122065727995,0.5362180003164189,True,False
30,recovery_from_worst_R,lower,3,7,0.20803046036690895,0.10498687664041972,0.10304358372648922,0.4876710232510113,True,False
30,recovery_from_worst_R,lower,4,7,0.08920521945433084,0.1735363979320968,-0.08433117847776596,0.6219155681056786,True,True
30,recovery_from_worst_R,lower,5,5,0.062084257206208804,0.12571428571428506,-0.06363002850807625,1.2790165223722063,True,True
30,drawdown_from_best_R,higher,0,3,0.2555555555555544,0.0983050847457604,0.15725047080979404,1.011401459552664,False,False
30,drawdown_from_best_R,higher,1,5,0.30107526881719915,0.18749999999999925,0.1135752688171999,0.8654999811529254,True,True
30,drawdown_from_best_R,higher,2,7,0.22875816993464163,0.17136659436008803,0.0573915755745536,0.4446658088475309,True,True
30,drawdown_from_best_R,higher,3,7,0.38095238095238027,0.11525423728814331,0.26569814366423694,1.0434862948740111,True,True
30,drawdown_from_best_R,higher,4,7,0.24673784104389215,0.11721721721721792,0.12952062382667423,1.6405523657410515,True,True
30,drawdown_from_best_R,higher,5,5,0.17274894553456416,0.2628571428571393,-0.09010819732257513,1.1892401367572396,True,False
30,upper_half_close_fraction,lower,0,3,1.0,1.0,0.0,0.0,False,False
30,upper_half_close_fraction,lower,1,5,1.0,1.0,0.0,0.0,True,False
30,upper_half_close_fraction,lower,2,7,1.0,1.0,0.0,0.0,True,False
30,upper_half_close_fraction,lower,3,7,1.0,1.0,0.0,0.0,True,False
30,upper_half_close_fraction,lower,4,7,1.0,1.0,0.0,0.0,True,False
30,upper_half_close_fraction,lower,5,5,1.0,1.0,0.0,0.0,True,False
60,running_mfe_R,lower,0,3,0.0966542750929335,0.08135593220339322,0.015298342889540281,0.30318439804468245,False,False
60,running_mfe_R,lower,1,4,0.13599894198554027,0.06182157394844234,0.07417736803709793,0.8528105327103404,False,False
60,running_mfe_R,lower,2,7,0.02841677943166546,0.003634475597091327,0.024782303834574134,0.23619377128511482,True,False
60,running_mfe_R,lower,3,7,0.04705882352940611,0.3067915690866519,-0.2597327455572458,1.262603204808364,True,True
60,running_mfe_R,lower,4,7,0.0,0.3043174514461358,-0.3043174514461358,3.2079351471180795,True,True
60,running_mfe_R,lower,5,5,0.0,0.3333333333333333,-0.3333333333333333,2.0,True,True
60,running_mae_R,higher,0,3,0.46666666666666806,0.23050847457626958,0.23615819209039848,2.1617145263262176,False,False
60,running_mae_R,higher,1,4,0.37467031852302335,0.249999999999999,0.12467031852302435,0.8381802533695433,False,False
60,running_mae_R,higher,2,7,0.5891089108910933,0.3232104121475072,0.2658984987435861,0.8948135806057532,True,True
60,running_mae_R,higher,3,7,0.664723032069965,0.35831381733020806,0.3064092147397569,1.0993516480121457,True,True
60,running_mae_R,higher,4,7,0.7387238723872337,0.2369798842656423,0.5017439881215914,2.2024106253622318,True,True
