partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_break_ts,control_exit_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mfe_R,control__running_mfe_R,case__running_mae_R,control__running_mae_R,case__close_H_R,control__close_H_R,case__recovery_from_worst_R,control__recovery_from_worst_R,case__drawdown_from_best_R,control__drawdown_from_best_R,case__upper_half_close_fraction,control__upper_half_close_fraction
development,30,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:40:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 16:45:00+00:00,-17.630385487528322,2022-03-27 16:05:00+00:00,2022-03-27 15:00:00+00:00,0.0,,2022-03-27 18:15:00+00:00,2022-03-27 16:10:00+00:00,2022-03-27 16:30:00+00:00,5.8053724294007125,0.0,0.020338983050848306,0.31111111111111206,0.23050847457626958,-0.2555555555555544,-0.07796610169491208,0.0555555555555576,0.1525423728813575,0.2555555555555544,0.0983050847457604,1.0,1.0
development,30,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:10:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 16:15:00+00:00,-16.31165919282507,2022-03-27 16:05:00+00:00,2022-03-27 15:00:00+00:00,0.0,,2022-03-27 18:15:00+00:00,2022-03-27 16:10:00+00:00,2022-03-27 16:30:00+00:00,5.8053724294007125,0.0,0.020338983050848306,0.3308550185873611,0.23050847457626958,-0.1412639405204498,-0.07796610169491208,0.18959107806691128,0.1525423728813575,0.13011152416357205,0.0983050847457604,1.0,1.0
development,30,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:25:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 16:30:00+00:00,-17.508754377188573,2022-05-30 20:25:00+00:00,2022-05-30 15:00:00+00:00,0.0,,2022-05-30 21:15:00+00:00,2022-05-30 20:30:00+00:00,2022-05-30 20:50:00+00:00,8.116189662537355,0.19047619047619235,0.0052631578947357986,0.6349206349206337,0.24210526315789538,-0.5158730158730156,-0.04736842105263341,0.11904761904761811,0.19473684210526196,0.706349206349208,0.05263157894736921,0.8,1.0
development,30,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:45:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 18:55:00+00:00,-15.717598557072886,2022-07-07 15:00:00+00:00,2022-07-07 15:00:00+00:00,1.0,,2022-07-07 19:45:00+00:00,2022-07-07 15:05:00+00:00,2022-07-07 15:25:00+00:00,9.147609147609149,0.16822429906542025,0.03409090909091042,0.2429906542056122,0.18749999999999925,-0.21495327102804104,-0.15340909090908883,0.028037383177571148,0.03409090909091042,0.3831775700934613,0.18749999999999925,1.0,1.0
development,30,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:15:00+00:00,2022-07-10 20:30:00+00:00,2022-07-10 20:50:00+00:00,-16.353887399463808,2022-07-07 15:00:00+00:00,2022-07-07 15:00:00+00:00,1.0,,2022-07-07 19:45:00+00:00,2022-07-07 15:05:00+00:00,2022-07-07 15:25:00+00:00,9.147609147609149,0.0,0.03409090909091042,0.19811320754716483,0.18749999999999925,-0.1698113207547175,-0.15340909090908883,0.02830188679244733,0.03409090909091042,0.12264150943396523,0.18749999999999925,1.0,1.0
development,30,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 17:55:00+00:00,2022-09-20 15:55:00+00:00,2022-09-20 16:15:00+00:00,-14.77832512315269,2022-09-10 18:30:00+00:00,2022-09-10 15:00:00+00:00,1.0,,2022-09-10 22:40:00+00:00,2022-09-10 18:35:00+00:00,2022-09-10 18:55:00+00:00,3.8351459645106223,0.07526881720430169,0.05970149253731264,0.2795698924731173,0.19402985074626344,-0.22580645161289745,-0.1492537313432763,0.053763440860219856,0.04477611940298713,0.30107526881719915,0.20895522388058893,1.0,1.0
development,30,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:20:00+00:00,2022-11-27 15:20:00+00:00,2022-11-27 15:40:00+00:00,-8.668105548979954,2022-12-04 15:00:00+00:00,2022-12-04 15:00:00+00:00,1.0,,2022-12-04 16:00:00+00:00,2022-12-04 15:05:00+00:00,2022-12-04 15:25:00+00:00,2.107606679035201,0.11872146118721402,0.021126760563381163,0.17808219178082102,0.23943661971830316,0.07305936073059387,-0.13380281690140985,0.2511415525114149,0.1056338028168933,0.045662100456620155,0.15492957746479102,1.0,1.0
development,30,2022-12-27 00:00:00+00:00,2022-12-26 15:00:00+00:00,1.0,2022-12-27 00:45:00+00:00,2022-12-27 00:05:00+00:00,2022-12-27 00:25:00+00:00,-5.055389484789896,2022-12-11 15:20:00+00:00,2022-12-11 15:00:00+00:00,1.0,,2022-12-11 17:10:00+00:00,2022-12-11 15:25:00+00:00,2022-12-11 15:45:00+00:00,1.4598540145984717,0.045454545454535915,0.0,0.781818181818176,0.5499999999999992,-0.31818181818181596,-0.4899999999999966,0.46363636363635996,0.06000000000000249,0.3636363636363519,0.35999999999999716,0.6,1.0
development,30,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:30:00+00:00,2023-01-07 16:00:00+00:00,2023-01-07 16:20:00+00:00,-6.367746797287078,2023-01-06 15:05:00+00:00,2023-01-06 15:00:00+00:00,2.0,,2023-01-06 18:10:00+00:00,2023-01-06 15:10:00+00:00,2023-01-06 15:30:00+00:00,7.9295154185021755,0.0,0.0019157088122594738,0.27333333333333515,0.26245210727969426,-0.16666666666666863,-0.10727969348659179,0.10666666666666651,0.15517241379310245,0.14666666666666792,0.10919540229885126,1.0,1.0
development,30,2023-02-21 18:00:00+00:00,2023-02-21 15:00:00+00:00,2.0,2023-02-21 21:20:00+00:00,2023-02-21 18:05:00+00:00,2023-02-21 18:25:00+00:00,-14.591668627912446,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,,2023-02-26 18:40:00+00:00,2023-02-26 16:20:00+00:00,2023-02-26 16:40:00+00:00,3.710639780497349,0.02841677943166546,0.03051643192488668,0.2286874154262521,0.35680751173708464,-0.12719891745602313,-0.29812206572769806,0.10148849797022898,0.058685446009386556,0.1556156968876886,0.32863849765258474,1.0,1.0
