partition,snapshot_age_min,l0_total,eligible_l0_n,matched_n,match_rate,unique_control_n,reused_match_n,max_control_reuse
development,30,37,34,34,1.0,25,9,3
development,60,37,33,33,1.0,22,11,3
development,120,37,29,29,1.0,21,8,2
external,30,13,13,13,1.0,9,4,3
external,60,13,12,12,1.0,9,3,2
external,120,13,11,11,1.0,9,2,2
reference_validation,30,26,24,24,1.0,17,7,2
reference_validation,60,26,22,22,1.0,16,6,2
reference_validation,120,26,19,19,1.0,12,7,3
