period,policy,xp1_n,t1_hit,t15_hit,t2_hit,t1_to_t15,t1_to_t2,stop_after_partial,unresolved,incremental_vs_fixed_t1_total_r,incremental_vs_fixed_t1_mean_r
DEV,XP1_EXTEND_T15,93,71,59,8,0.8309859154929577,0.11267605633802817,0,4,3.4653899346896795,0.037262257362254615
DEV,XP1_EXTEND_T2,93,71,59,45,0.8309859154929577,0.6338028169014085,0,12,-4.01363239468061,-0.043157337577210866
DEV,XP1_SCALE50_T15,93,71,59,8,0.8309859154929577,0.11267605633802817,10,4,1.7326949673448393,0.018631128681127304
DEV,XP1_SCALE50_T2,93,71,59,45,0.8309859154929577,0.6338028169014085,16,12,-2.0068161973403065,-0.021578668788605447
REF,XP1_EXTEND_T15,57,46,35,2,0.7608695652173914,0.043478260869565216,0,4,-4.8893617733556916,-0.08577827672553845
REF,XP1_EXTEND_T2,57,46,35,30,0.7608695652173914,0.6521739130434783,0,6,-2.3225898403817293,-0.0407471901821356
REF,XP1_SCALE50_T15,57,46,35,2,0.7608695652173914,0.043478260869565216,10,4,-2.4446808866778458,-0.042889138362769225
REF,XP1_SCALE50_T2,57,46,35,30,0.7608695652173914,0.6521739130434783,13,6,-1.1612949201908647,-0.0203735950910678
