period,policy,n,xp1_active,xp1_rate,full_target_hit,full_target_hit_rate,any_t1_hit,any_t1_hit_rate,stop_before_any_target,stop_after_partial,unresolved,positive_n,negative_n,zero_n,positive_rate,negative_rate,zero_rate,median_positive_r,mean_positive_r,median_negative_r,mean_negative_r,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,median_realized_r,q10_realized_r,q90_realized_r,xp_t1,xp_t15,xp_t2,xp_t1_to_t15,xp_t1_to_t2,xp_stop_after_partial,xp_unresolved,incremental_vs_fixed_t1_total_r,incremental_vs_fixed_t1_mean_r
DEV,FIXED_T1,286,93,0.32517482517482516,163,0.5699300699300699,163,0.5699300699300699,94,0,29,163,94,29,0.5699300699300699,0.32867132867132864,0.10139860139860139,0.7628458498023151,0.7414982686185666,-1.1838603606072173,-1.3306223232927823,-0.014735246869563585,-4.214280604695185,0.9663069139863592,25.38834890887889,5,0.5067325805624541,-1.29594234047283,0.919852823548235,71,11,5,0.15492957746478872,0.07042253521126761,0,2,0.0,0.0
DEV,FIXED_T15,286,93,0.32517482517482516,117,0.4090909090909091,163,0.5699300699300699,94,0,48,117,121,48,0.4090909090909091,0.4230769230769231,0.16783216783216784,1.1477900552486202,1.165759468764506,-1.1789883268482415,-1.3216850631039656,-0.08227284891654776,-23.53003479013266,0.8528672957970653,35.39207176599059,5,0.0,-1.3765554019356276,1.3555555555555414,71,59,8,0.8309859154929577,0.11267605633802817,0,4,-19.315754185437484,-0.06753760204698421
DEV,FIXED_T2,286,93,0.32517482517482516,84,0.2937062937062937,163,0.5699300699300699,94,0,66,84,136,66,0.2937062937062937,0.4755244755244755,0.23076923076923078,1.557006876886955,1.5678953902792871,-1.1838603606072173,-1.3416935774368475,-0.17750739072710184,-50.76711374795113,0.7217787970625906,61.11372180549175,9,0.0,-1.4168130938435515,1.689649034325206,71,59,45,0.8309859154929577,0.6338028169014085,0,12,-46.552833143255945,-0.16277214385753827
DEV,XP1_EXTEND_T15,286,93,0.32517482517482516,151,0.527972027972028,163,0.5699300699300699,94,0,31,151,104,31,0.527972027972028,0.36363636363636365,0.10839160839160839,0.8888888888888785,0.9083903008591256,-1.1950606416275416,-1.3261137124974371,-0.0026184988461730807,-0.7488906700055011,0.994569943920258,22.435295338425412,5,0.5441210446442806,-1.337470127658095,1.0633049439135982,71,59,8,0.8309859154929577,0.11267605633802817,0,4,3.4653899346896786,0.012116748023390484
DEV,XP1_EXTEND_T2,286,93,0.32517482517482516,137,0.479020979020979,163,0.5699300699300699,94,0,39,137,110,39,0.479020979020979,0.38461538461538464,0.13636363636363635,0.9029126213592289,1.0212026217490664,-1.1950606416275416,-1.3466606561727081,-0.028768926571244035,-8.227912999375794,0.9444557849504429,27.086030849706532,7,0.0,-1.3442128912054838,1.3381542699724691,71,59,45,0.8309859154929577,0.6338028169014085,0,12,-4.013632394680613,-0.014033679701680464
DEV,XP1_SCALE50_T15,286,93,0.32517482517482516,151,0.527972027972028,163,0.5699300699300699,94,10,31,153,104,29,0.534965034965035,0.36363636363636365,0.10139860139860139,0.8384798099762333,0.8199629173132743,-1.166780765081746,-1.2301529998680898,-0.00867687285786834,-2.481585637350345,0.9806029003207757,23.91182212365215,5,0.5441210446442806,-1.29594234047283,0.9592845640126832,71,59,8,0.8309859154929577,0.11267605633802817,10,4,1.7326949673448389,0.006058374011695241
DEV,XP1_SCALE50_T2,286,93,0.32517482517482516,137,0.479020979020979,163,0.5699300699300699,94,16,39,147,110,29,0.513986013986014,0.38461538461538464,0.10139860139860139,0.8740399385560772,0.8490627184638845,-1.1588834269662913,-1.191211967420241,-0.021752086720403806,-6.221096802035489,0.9525227860197462,26.014722918940286,7,0.3061674347158191,-1.3133500758385661,0.990652587848373,71,59,45,0.8309859154929577,0.6338028169014085,16,12,-2.006816197340305,-0.007016839850840228
REF,FIXED_T1,160,57,0.35625,99,0.61875,99,0.61875,44,0,17,99,44,17,0.61875,0.275,0.10625,0.7870090634441137,0.7697093673557804,-1.1536528962532102,-1.2420279987653753,0.13469997139091092,21.551995422545748,1.3943695941412184,8.233218295573959,3,0.6338332680344363,-1.2452030889579824,0.9158441558441734,46,1,1,0.021739130434782608,0.021739130434782608,0,3,0.0,0.0
REF,FIXED_T15,160,57,0.35625,67,0.41875,99,0.61875,44,0,35,67,58,35,0.41875,0.3625,0.21875,1.2189349112425958,1.1845107371278092,-1.1448152406019085,-1.2210773516930908,0.05337333118352452,8.539732989363923,1.1205794010301942,11.887148371404937,4,0.0,-1.2593762632387446,1.3332159459079003,46,35,2,0.7608695652173914,0.043478260869565216,0,4,-13.012262433181826,-0.08132664020738642
REF,FIXED_T2,160,57,0.35625,53,0.33125,99,0.61875,44,0,45,53,62,45,0.33125,0.3875,0.28125,1.6475195822454383,1.605345426951468,-1.1623670851091583,-1.2413839123101704,0.05073440665748261,8.117505065197218,1.105468984858936,16.004855656185374,4,0.0,-1.3437065637065453,1.738476941367901,46,35,30,0.7608695652173914,0.6521739130434783,0,6,-13.43449035734853,-0.08396556473342831
REF,XP1_EXTEND_T15,160,57,0.35625,88,0.55,99,0.61875,44,0,18,88,54,18,0.55,0.3375,0.1125,0.8957572206520901,0.9396029443760843,-1.1448152406019085,-1.2226375084426917,0.10414146030743787,16.66263364919006,1.252378393161557,9.194964447553449,4,0.7262641955053533,-1.2513266216388426,1.127897973516969,46,35,2,0.7608695652173914,0.043478260869565216,0,4,-4.889361773355691,-0.030558511083473065
REF,XP1_EXTEND_T2,160,57,0.35625,83,0.51875,99,0.61875,44,0,20,83,57,20,0.51875,0.35625,0.125,0.9181818181817909,1.083462117976599,-1.1592505854800783,-1.240314915963047,0.12018378488852513,19.22940558216402,1.27199382054323,14.274712911437172,4,0.6428106346414508,-1.3051850137525223,1.488702136975478,46,35,30,0.7608695652173914,0.6521739130434783,0,6,-2.322589840381729,-0.014516186502385805
REF,XP1_SCALE50_T15,160,57,0.35625,88,0.55,99,0.61875,44,10,18,89,54,17,0.55625,0.3375,0.10625,0.8577405857740037,0.8492059208967733,-1.0936769941039053,-1.0457780078508316,0.1194207158491744,19.107314535867904,1.3383501617124265,8.31366784130389,4,0.678505958537342,-1.2452030889579824,0.9744739034527077,46,35,2,0.7608695652173914,0.043478260869565216,10,4,-2.4446808866778453,-0.015279255541736533
REF,XP1_SCALE50_T2,160,57,0.35625,83,0.51875,99,0.61875,44,13,20,86,57,17,0.5375,0.35625,0.10625,0.8828460828237557,0.908234364060674,-1.0719063545150607,-1.012586926436194,0.12744187813971802,20.390700502354886,1.3532848177485866,10.805729548275508,4,0.6428106346414508,-1.2452030889579824,1.0739184474795649,46,35,30,0.7608695652173914,0.6521739130434783,13,6,-1.1612949201908656,-0.0072580932511929095
