scope,feature,band,n,hits,hit_rate
DEV,major_room_from_tp2_r,Q1,22,13,0.5909090909090909
DEV,major_room_from_tp2_r,Q2,22,15,0.6818181818181818
DEV,major_room_from_tp2_r,Q3,21,12,0.5714285714285714
DEV,major_room_from_tp2_r,Q4,22,4,0.18181818181818182
REF,major_room_from_tp2_r,Q1,28,7,0.25
REF,major_room_from_tp2_r,Q2,14,7,0.5
REF,major_room_from_tp2_r,Q3,5,3,0.6
REF,major_room_from_tp2_r,Q4,8,4,0.5
2025,major_room_from_tp2_r,Q1,19,5,0.2631578947368421
2025,major_room_from_tp2_r,Q2,12,6,0.5
2025,major_room_from_tp2_r,Q3,2,1,0.5
2025,major_room_from_tp2_r,Q4,6,4,0.6666666666666666
2026,major_room_from_tp2_r,Q1,9,2,0.2222222222222222
2026,major_room_from_tp2_r,Q2,2,1,0.5
2026,major_room_from_tp2_r,Q3,3,2,0.6666666666666666
2026,major_room_from_tp2_r,Q4,2,0,0.0
DEV,tp1_r,Q1,22,6,0.2727272727272727
DEV,tp1_r,Q2,22,11,0.5
DEV,tp1_r,Q3,21,9,0.42857142857142855
DEV,tp1_r,Q4,22,18,0.8181818181818182
REF,tp1_r,Q1,24,4,0.16666666666666666
REF,tp1_r,Q2,12,6,0.5
REF,tp1_r,Q3,12,6,0.5
REF,tp1_r,Q4,7,5,0.7142857142857143
2025,tp1_r,Q1,18,4,0.2222222222222222
2025,tp1_r,Q2,7,4,0.5714285714285714
2025,tp1_r,Q3,10,5,0.5
2025,tp1_r,Q4,4,3,0.75
2026,tp1_r,Q1,6,0,0.0
2026,tp1_r,Q2,5,2,0.4
2026,tp1_r,Q3,2,1,0.5
2026,tp1_r,Q4,3,2,0.6666666666666666
DEV,tp2_r,Q1,22,11,0.5
DEV,tp2_r,Q2,22,9,0.4090909090909091
DEV,tp2_r,Q3,21,10,0.47619047619047616
DEV,tp2_r,Q4,22,14,0.6363636363636364
REF,tp2_r,Q1,22,5,0.22727272727272727
REF,tp2_r,Q2,12,6,0.5
REF,tp2_r,Q3,10,4,0.4
REF,tp2_r,Q4,11,6,0.5454545454545454
2025,tp2_r,Q1,15,3,0.2
2025,tp2_r,Q2,10,6,0.6
2025,tp2_r,Q3,6,3,0.5
2025,tp2_r,Q4,8,4,0.5
2026,tp2_r,Q1,7,2,0.2857142857142857
2026,tp2_r,Q2,2,0,0.0
2026,tp2_r,Q3,4,1,0.25
2026,tp2_r,Q4,3,2,0.6666666666666666
DEV,tp1_to_tp2_gap_r,Q1,22,17,0.7727272727272727
DEV,tp1_to_tp2_gap_r,Q2,22,11,0.5
DEV,tp1_to_tp2_gap_r,Q3,21,9,0.42857142857142855
