feature,dev_hit,dev_be,dev_effect,dev_n,ref_hit,ref_be,ref_effect,ref_n,direction_consistent,robust_score
major_room_from_tp2_r,0.12709518449791898,0.17993079584774543,-0.34161381222134346,87,0.08527131782946283,0.04051108282591613,0.4290714236452245,55,False,0.0
tp1_r,0.2489589663943152,0.045871559633039,0.6598814121356772,87,0.16502463054185942,0.028806706114397507,0.787435482348677,55,True,0.6598814121356772
tp2_r,0.3335521604201538,0.2460317460317496,0.15716932593479643,87,0.22638146167557552,0.11367743839146185,0.2563529324888522,55,True,0.15716932593479643
tp1_to_tp2_gap_r,0.04554340971199876,0.13712374581940595,-0.49133965493865256,87,0.10297166551485876,0.04469267358537123,0.37859061877093203,55,False,0.0
room_tp1_to_major_r,0.19856283590336282,0.3302752293578183,-0.6319418888027954,87,0.22758620689655856,0.09352931109631282,0.42462285182284865,55,False,0.0
known_target_count,16.0,10.0,0.17391304347826086,87,11.0,86.0,-0.8620689655172413,55,False,0.0
minutes_entry_to_tp1,35.0,10.0,0.22727272727272727,87,10.0,37.5,-0.14864864864864866,55,False,0.0
pre_tp1_path_efficiency,0.18003913894324888,0.18877551020408592,-0.020496833139951695,87,0.12030075187970696,0.10056986917088033,0.1735880140741762,55,False,0.0
pre_tp1_green_rate,0.5250621468926554,0.5930735930735931,-0.36672838626976206,87,0.5384615384615384,0.5945945945945946,-0.29937629937629967,55,True,0.29937629937629967
pre_tp1_max_pullback_r,0.3302689982398398,0.2787082898853037,0.17042152558277235,87,0.2505233775296596,0.20935526273604552,0.21594152235428915,55,True,0.17042152558277235
pre_tp1_mae_r,-0.15410400254634946,-0.19081183484705627,0.1252791812596243,87,-0.13053613053613045,-0.19396620820108368,0.5852079687415799,55,True,0.1252791812596243
last1_progress_r,0.07570422535211378,0.07878787878787621,-0.026886101396002438,87,0.02372644801116754,0.010163188099131394,0.15381246809154683,55,False,0.0
last3_progress_r,0.16949152542372092,0.14960003106554443,0.09920929588619763,87,0.15351386764859393,0.05735628867301425,1.453391840398289,55,True,0.09920929588619763
last3_green_rate,0.6666666666666666,0.8333333333333333,-0.49999999999999983,87,0.6666666666666666,1.0,-1.0,55,True,0.49999999999999983
tp1_close_above_r,0.018271584596551406,-0.027164685908323494,0.4211483388311396,87,0.0010090817356196676,-0.01548523612580529,0.23126329428981232,55,True,0.23126329428981232
tp1_bar_body_r,0.1514749638310854,0.051094890510943757,0.5724324282427173,87,0.1388638412984751,-0.007886890449167417,1.0031055419421988,55,True,0.5724324282427173
tp1_bar_range_r,0.24792817679557808,0.16991643454037914,0.4377687058570372,87,0.2459770114942695,0.12763193874760934,0.5041687939589877,55,True,0.4377687058570372
tp1_close_location,0.7180288461538445,0.5384615384615048,0.40179516844623314,87,0.790419161676628,0.4443368828654577,0.918716552287306,55,True,0.40179516844623314
baseline_sl_pct,0.013212143422978887,0.013144058885383806,0.006500456187975954,87,0.0075743065591752,0.02145829639109137,-0.4477298007377966,55,False,0.0
tp1_accept,0.6136363636363636,0.37209302325581395,0.2415433403805497,87,0.5238095238095238,0.11764705882352941,0.4061624649859944,55,True,0.2415433403805497
is_wide_q4,0.3181818181818182,0.37209302325581395,-0.05391120507399577,87,0.14285714285714285,0.5588235294117647,-0.41596638655462187,55,True,0.05391120507399577
