feature,q25,q50,q75,dev_n
major_room_from_tp2_r,0.05946461352010972,0.14477676636324338,0.21412935323383192,87
tp1_r,0.03642292599347852,0.12923076923077412,0.34418641656368976,87
tp2_r,0.10588835220360159,0.26779252110977525,0.6627426484720291,87
tp1_to_tp2_gap_r,0.029392965206467073,0.07654320987654356,0.21578202456061524,87
room_tp1_to_major_r,0.15725837969969986,0.2444444444444495,0.3656832298136599,87
known_target_count,6.0,11.0,40.5,87
minutes_entry_to_tp1,5.0,20.0,115.0,87
pre_tp1_path_efficiency,0.07799642218241898,0.18100058212985243,0.5042267184035663,50
pre_tp1_green_rate,0.4812121212121212,0.5416666666666667,0.6666666666666666,54
pre_tp1_max_pullback_r,0.22664242118718772,0.31761238025054805,0.5291905187835413,54
pre_tp1_mae_r,-0.3731431417188411,-0.1658625097942233,-0.08013490258743458,54
last1_progress_r,0.014659175239480605,0.07724605206999499,0.12935239127491982,50
last3_progress_r,0.058030202821868306,0.16053511705686177,0.2585305105853052,39
last3_green_rate,0.6666666666666666,0.6666666666666666,1.0,39
tp1_close_above_r,-0.0644611018264834,-0.0011261261261251024,0.04342551748437342,87
tp1_bar_body_r,0.016161308565709815,0.07878787878787621,0.19151837844432168,87
tp1_bar_range_r,0.1351370851370862,0.2016871165644174,0.3133401892225467,87
tp1_close_location,0.3965881642512689,0.6153846153846237,0.8435007251631825,87
baseline_sl_pct,0.008394763220739523,0.013144058885383806,0.018868572385243757,87
