year,runner_n,hits,be,ambiguous,hit_rate_ex_amb,runner_total_r
2022,31,14,16,1,0.4666666666666667,10.868285049209257
2023,30,12,16,2,0.42857142857142855,6.390589820941626
2024,29,18,11,0,0.6206896551724138,9.081913874312246
2025,39,16,23,0,0.41025641025641024,8.148798806341293
2026,17,5,11,1,0.3125,3.0727834058923245
