feature,orientation,dev_n,ref_n,dev_auc,ref_auc,years_auc_ge53,dev_win_median,dev_nonwin_median,ref_win_median,ref_nonwin_median,nominated
directional_premium_z_7d,-1,210056,115398,0.5006199231679606,0.5158141035113498,0,-0.001622031392563878,0.0012806113911496427,-0.03296269122676002,0.02130589359576968,False
directional_global_account_log_ratio,-1,206768,115574,0.5181373780102306,0.5125321387130244,0,-0.06257106508959555,0.05788339986294981,-0.016739149404195693,0.01483781501177967,False
premium_close,-1,210056,115398,0.511732132961642,0.5101842357875607,1,-0.00023362,-0.00020123,0.0002571,0.00028734,False
latest_funding,-1,210432,115586,0.5066592378871098,0.5090059215489636,0,0.0,0.0,0.0,0.0,False
premium_z_7d,-1,210056,115398,0.5025682990197513,0.5059951356878465,0,0.034956501328139856,0.05209499634555687,0.039566167255502764,0.0685360713860914,False
directional_funding,1,210432,115586,0.5014120319130171,0.5030795255855814,0,0.0,0.0,0.0,0.0,False
oi_change_15m,1,210274,115582,0.5008623058011751,0.5027613213465996,0,-6.757268345425338e-06,-6.623192913779441e-06,-8.44941471200844e-06,-1.8061559588278264e-05,False
oi_value_change_60m,1,210282,115586,0.5006920078831645,0.5015500382655916,0,9.774435016063343e-05,9.131984865473619e-05,9.816995280553797e-05,5.7879385370052105e-05,False
directional_premium,1,210056,115398,0.5011929047893584,0.5013303962387785,0,0.0,0.0,0.0,0.0,False
premium_change_60m,-1,210056,115398,0.5007701068197485,0.5006998517370854,0,0.0,0.0,-1.2899999999999284e-06,-7.199999999999524e-07,False
oi_value_change_240m,-1,210306,115586,0.5005035543272296,0.49782940510583196,0,-0.0002608023553475336,-0.00017520277646110305,-8.194505825054321e-05,-0.00018247758537814907,False
oi_change_60m,-1,210282,115586,0.5001453213686374,0.49725041622278465,0,-0.00010041067517885249,-8.064725521583771e-05,-4.932217880582179e-05,-8.382258082173522e-05,False
directional_premium_change_60m,-1,210056,115398,0.5040104818953924,0.49622862965001757,0,0.0,0.0,2.0999999999999968e-07,-3.0000000000038676e-08,False
oi_change_240m,-1,210306,115586,0.5004933612470267,0.4954441677020766,0,-0.0005616334176229421,-0.00047311643655378877,-0.0002512067597617573,-0.0003792207472329556,False
oi_level_log,-1,210242,115574,0.5257879544924617,0.4862772265475446,1,13.170423332178618,13.185679357793402,13.186325519967678,13.189209546373332,False
