feature,year,n,auc
oi_level_log,2022,70002,0.5138113784506163
oi_level_log,2023,70070,0.4979590435532507
oi_level_log,2024,70170,0.4910684784330232
oi_level_log,2025,70068,0.44798864359115287
oi_level_log,2026,45506,0.5411275381692335
oi_change_15m,2022,70004,0.5003365193785367
oi_change_15m,2023,70078,0.5037612432658177
oi_change_15m,2024,70192,0.4989920422143524
oi_change_15m,2025,70076,0.5021194708909433
oi_change_15m,2026,45506,0.5048065238519022
oi_change_60m,2022,70010,0.5005006330671425
oi_change_60m,2023,70080,0.49789102704611576
oi_change_60m,2024,70192,0.5021870453769683
oi_change_60m,2025,70080,0.4980189425500651
oi_change_60m,2026,45506,0.49496551702536856
oi_change_240m,2022,70034,0.49971382995545455
oi_change_240m,2023,70080,0.5001923821720308
oi_change_240m,2024,70192,0.5022156020313028
oi_change_240m,2025,70080,0.49529054541087636
oi_change_240m,2026,45506,0.49502139303617915
oi_value_change_60m,2022,70010,0.49941226399631733
oi_value_change_60m,2023,70080,0.5051999319142213
oi_value_change_60m,2024,70192,0.49743317157650313
oi_value_change_60m,2025,70080,0.500451724147691
oi_value_change_60m,2026,45506,0.5038185594902301
oi_value_change_240m,2022,70034,0.5001488982846306
oi_value_change_240m,2023,70080,0.4960964804288254
oi_value_change_240m,2024,70192,0.5040001084442648
oi_value_change_240m,2025,70080,0.498993939429881
oi_value_change_240m,2026,45506,0.4949312570107744
directional_global_account_log_ratio,2022,66512,0.5250644594511142
directional_global_account_log_ratio,2023,70072,0.5224593414439219
directional_global_account_log_ratio,2024,70184,0.5059462272860391
directional_global_account_log_ratio,2025,70068,0.5108469695936375
directional_global_account_log_ratio,2026,45506,0.503850475539553
premium_close,2022,69892,0.5083989806763636
premium_close,2023,69892,0.5027292328504394
premium_close,2024,70272,0.49118260488186427
premium_close,2025,70080,0.4865905882283771
premium_close,2026,45318,0.5366702420409801
premium_z_7d,2022,69892,0.5025772247239638
premium_z_7d,2023,69892,0.504072424224076
premium_z_7d,2024,70272,0.5003702391634604
premium_z_7d,2025,70080,0.5045379789369298
premium_z_7d,2026,45318,0.5090409706679326
premium_change_60m,2022,69892,0.5000914111621678
premium_change_60m,2023,69892,0.5017745312499224
premium_change_60m,2024,70272,0.5005504253287341
premium_change_60m,2025,70080,0.5001308452636961
premium_change_60m,2026,45318,0.5014894410883911
directional_premium,2022,69892,0.49704699180164275
directional_premium,2023,69892,0.5081721438468665
directional_premium,2024,70272,0.49876744039230686
directional_premium,2025,70080,0.49941226871889555
directional_premium,2026,45318,0.5049361582513054
directional_premium_z_7d,2022,69892,0.5215384930450775
directional_premium_z_7d,2023,69892,0.5040830384415665
directional_premium_z_7d,2024,70272,0.47838976550337337
directional_premium_z_7d,2025,70080,0.5225551109516527
directional_premium_z_7d,2026,45318,0.504810685306345
directional_premium_change_60m,2022,69892,0.5098940206329421
directional_premium_change_60m,2023,69892,0.5041091119142859
directional_premium_change_60m,2024,70272,0.49755759323324594
directional_premium_change_60m,2025,70080,0.49190631001147334
directional_premium_change_60m,2026,45318,0.503740882666608
latest_funding,2022,70080,0.5120706889078147
latest_funding,2023,70080,0.49798592167675937
latest_funding,2024,70272,0.48670831453360963
latest_funding,2025,70080,0.4928008680086552
latest_funding,2026,45506,0.5220989746393467
directional_funding,2022,70080,0.49768837360684687
directional_funding,2023,70080,0.5101583686248711
directional_funding,2024,70272,0.49635391397448286
directional_funding,2025,70080,0.49996140561134833
directional_funding,2026,45506,0.5088033112491622
