feature,dev_n,ref_n,dev_coverage,ref_coverage,eligible
oi_level_log,210242,115574,0.9990970954987834,0.9998961811984151,True
oi_change_15m,210274,115582,0.9992491636253041,0.999965393732805,True
oi_change_60m,210282,115586,0.9992871806569343,1.0,True
oi_change_240m,210306,115586,0.9994012317518248,1.0,True
oi_value_change_60m,210282,115586,0.9992871806569343,1.0,True
oi_value_change_240m,210306,115586,0.9994012317518248,1.0,True
directional_global_account_log_ratio,206768,115574,0.9825881995133819,0.9998961811984151,True
directional_top_account_log_ratio,149174,115552,0.7088940845498783,0.9997058467288426,False
directional_top_position_log_ratio,149174,115576,0.7088940845498783,0.9999134843320125,False
directional_taker_log_ratio,185780,115586,0.8828505170316302,1.0,False
taker_change_60m,185746,115586,0.8826889446472019,1.0,False
premium_close,210056,115398,0.9982131995133819,0.9983735054418356,True
premium_z_7d,210056,115398,0.9982131995133819,0.9983735054418356,True
premium_change_60m,210056,115398,0.9982131995133819,0.9983735054418356,True
directional_premium,210056,115398,0.9982131995133819,0.9983735054418356,True
directional_premium_z_7d,210056,115398,0.9982131995133819,0.9983735054418356,True
directional_premium_change_60m,210056,115398,0.9982131995133819,0.9983735054418356,True
latest_funding,0,0,0.0,0.0,False
directional_funding,0,0,0.0,0.0,False
