period,scope,feature,n,mean,q25,median,q75
DEV,FORMATION,base_candles,683,2.554904831625183,1.0,2.0,4.0
DEV,FORMATION,base_width,683,4.791346998535873,2.114999999999995,3.740000000000009,5.884999999999991
DEV,FORMATION,base_mean_added_overlap,683,0.9086722487752694,0.8368219092057506,0.9841269841269816,1.0
DEV,FORMATION,base_mean_body_frac,683,0.39746794698783455,0.2789078670949755,0.3982009551629745,0.5174341260189881
DEV,FORMATION,departure_bars,683,3.951683748169839,3.0,4.0,5.0
DEV,FORMATION,departure_net_progress_zone_r,683,0.908360880044942,0.3623737373737499,0.6752577319587648,1.1699532056328135
DEV,FORMATION,departure_efficiency,683,0.7368170812195227,0.49868440502587424,0.8481751824817466,1.0
DEV,FORMATION,bos_overshoot_zone_r,683,0.39871102919422796,0.09900538151067231,0.22752808988764095,0.481297185998614
DEV,FORMATION,bos_body_frac,683,0.6278189862480338,0.49248273059728676,0.645454545454556,0.7913715769593985
DEV,FORMATION,has_bull_fvg,683,0.5915080527086384,,,
DEV,FORMATION,max_bull_fvg_zone_r,683,0.20784421127359423,0.0,0.05263157894737105,0.2743454434747416
DEV,FORMATION,predeparture_swept_prior_low,683,0.3967789165446559,,,
DEV,FORMATION,source_age_at_activation_h,683,5.506588579795022,5.0,5.0,7.0
DEV,RETEST,zone_age_at_retest_h,683,52.20900439238653,1.25,5.25,22.75
DEV,RETEST,approach_bars,683,8.0,8.0,8.0,8.0
DEV,RETEST,approach_slope_per_zone_r,683,-0.0708586061685784,-0.11634062796195374,-0.03975664968874357,0.022583678501824737
DEV,RETEST,approach_efficiency,683,0.4492422825744686,0.23570612555761972,0.43548387096773994,0.6280940639605466
DEV,RETEST,approach_overlap_mean,683,0.6182427035825627,0.5572607626382505,0.6187525274553943,0.6814293760204538
DEV,RETEST,approach_net_progress_zone_r,683,-0.5582214911209314,-0.8715295966474719,-0.3407181054239897,0.12453058752270277
DEV,RETEST,last1_bear_progress_zone_r,683,-0.5513278183454222,-0.7376328424232779,-0.33333333333330994,-0.10476078009658604
DEV,RETEST,last2_bear_progress_zone_r,683,-0.7987495821063191,-1.0342413236481007,-0.5014005602240884,-0.21452540747842985
DEV,RETEST,last3_bear_progress_zone_r,683,-0.8969629294272788,-1.2111547102296425,-0.5812182741116735,-0.2192177547770688
DEV,RETEST,touch_local_liquidity_sweep,683,0.1903367496339678,,,
REF,FORMATION,base_candles,414,2.471014492753623,1.0,2.0,4.0
REF,FORMATION,base_width,414,7.763502415458943,3.507499999999993,5.759999999999991,9.960000000000008
REF,FORMATION,base_mean_added_overlap,414,0.897775339967288,0.818851920458506,0.9772883570593445,1.0
REF,FORMATION,base_mean_body_frac,414,0.4003756539006795,0.2823614594936916,0.40462462014599243,0.5199528023538922
REF,FORMATION,departure_bars,414,3.968599033816425,3.0,4.0,5.0
REF,FORMATION,departure_net_progress_zone_r,414,0.876407674975407,0.3608383577375818,0.6465526343575081,1.1637746305418792
REF,FORMATION,departure_efficiency,414,0.7294887275329647,0.49534280042754086,0.8495038554110617,1.0
REF,FORMATION,bos_overshoot_zone_r,414,0.37088575118190853,0.08348270771825972,0.1947405741112016,0.4456504214841727
REF,FORMATION,bos_body_frac,414,0.6284800040347396,0.4983431516936584,0.6435704537700474,0.7882182022682608
REF,FORMATION,has_bull_fvg,414,0.5893719806763285,,,
REF,FORMATION,max_bull_fvg_zone_r,414,0.18302602774679289,0.0,0.053351789318789894,0.26449579831932163
REF,FORMATION,predeparture_swept_prior_low,414,0.4178743961352657,,,
REF,FORMATION,source_age_at_activation_h,414,5.4396135265700485,4.0,5.0,7.0
REF,RETEST,zone_age_at_retest_h,414,172.82125603864733,1.3125,6.0,29.25
REF,RETEST,approach_bars,414,8.0,8.0,8.0,8.0
REF,RETEST,approach_slope_per_zone_r,414,-0.11230157568497108,-0.1325729503954632,-0.05098186990650519,0.016640953305918953
REF,RETEST,approach_efficiency,414,0.45132040069278173,0.24384288964033787,0.44019416573764947,0.6509082612023878
REF,RETEST,approach_overlap_mean,414,0.5950866902123609,0.5342544756739935,0.5990678968737129,0.6578634367223501
REF,RETEST,approach_net_progress_zone_r,414,-0.9497804092440341,-1.0186875623842728,-0.3824218187058708,0.059471983930868354
REF,RETEST,last1_bear_progress_zone_r,414,-0.9363275508413378,-0.6527777777777759,-0.3154962715707794,-0.10450953584753774
REF,RETEST,last2_bear_progress_zone_r,414,-1.4805411114987355,-1.0531970046083035,-0.5017448651629164,-0.20948242776467904
REF,RETEST,last3_bear_progress_zone_r,414,-1.7336298454705539,-1.2640037593984825,-0.604391976300115,-0.2567213552917731
REF,RETEST,touch_local_liquidity_sweep,414,0.19082125603864733,,,
