partition,snapshot_age_min,l0_total,winner_total,eligible_l0_n,matched_n,match_rate,unique_control_n,reused_match_n,max_control_reuse,median_abs_mae_gap,p75_abs_mae_gap,max_abs_mae_gap
development,60,37,244,33,33,1.0,20,13,5,0.048538845068968065,0.16558800710764243,0.7154042605251495
development,120,37,244,29,29,1.0,13,16,5,0.05597013816449181,0.09478302024173424,0.6473291431542574
external,60,13,115,12,12,1.0,9,3,2,0.008890825709729544,0.025610778216838354,0.1629343648230348
external,120,13,115,11,11,1.0,8,3,3,0.029420692430140616,0.04534914591428446,0.056707098936243316
reference_validation,60,26,150,22,22,1.0,17,5,3,0.006712894580561901,0.023741105529484052,0.3849363762814918
reference_validation,120,26,150,19,19,1.0,11,8,4,0.006430062630478406,0.012754358966480417,0.07108317214700721
