partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_exit_ts,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_formation_anchor_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_exit_ts,control_break_ts,control_invalidation_close_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_formation_anchor_ts,control_pnl,case__running_mae_R,control__running_mae_R,abs_running_mae_R_match_gap,case__largest_mae_extension_share,control__largest_mae_extension_share,case__mae_extension_bar_fraction,control__mae_extension_bar_fraction,case__down_close_step_fraction,control__down_close_step_fraction,case__close_path_efficiency_to_worst,control__close_path_efficiency_to_worst,case__worst_bar_close_location,control__worst_bar_close_location
development,60,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:45:00+00:00,2022-03-06 19:40:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 17:15:00+00:00,2022-03-06 17:10:00+00:00,-17.630385487528322,2022-06-30 15:25:00+00:00,2022-06-30 15:00:00+00:00,0.0,2022-06-30 23:40:00+00:00,,,2022-06-30 15:30:00+00:00,2022-06-30 16:20:00+00:00,2022-06-30 15:55:00+00:00,9.349845201238383,0.46666666666666806,0.3708609271523175,0.09580573951435056,0.2777777777777834,0.7678571428571378,0.7,0.6666666666666666,0.7,0.5,0.816901408450709,0.18965517241379268,0.32258064516131546,1.0
development,60,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:15:00+00:00,2022-03-09 19:10:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 16:45:00+00:00,2022-03-09 16:45:00+00:00,-16.31165919282507,2022-02-03 15:20:00+00:00,2022-02-03 15:00:00+00:00,0.0,2022-02-03 21:50:00+00:00,,,2022-02-03 15:25:00+00:00,2022-02-03 16:15:00+00:00,2022-02-03 15:45:00+00:00,10.16880622662486,0.33828996282527785,0.3578528827037795,0.019562919878501672,0.6923076923077055,0.5666666666666688,0.36363636363636365,0.6,0.7272727272727273,0.8,0.2890625000000033,0.758454106280194,0.4857142857142579,0.3285714285714329
development,60,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:30:00+00:00,2022-06-05 23:25:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 17:00:00+00:00,2022-06-05 16:30:00+00:00,-17.508754377188573,2022-01-11 15:05:00+00:00,2022-01-11 15:00:00+00:00,0.0,2022-01-11 16:15:00+00:00,,,2022-01-11 15:10:00+00:00,2022-01-11 16:00:00+00:00,2022-01-11 15:40:00+00:00,5.082407609090289,0.6349206349206337,0.5685714285714231,0.0663492063492106,0.3625000000000091,0.41206030150753825,1.0,0.5714285714285714,0.8,0.8571428571428571,0.8666666666666566,0.8522167487684674,0.5,0.2888888888888861
development,60,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:50:00+00:00,2022-07-10 00:45:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 19:25:00+00:00,2022-07-09 19:10:00+00:00,-15.717598557072886,2022-10-30 23:00:00+00:00,2022-10-30 15:00:00+00:00,1.0,2022-10-31 00:10:00+00:00,,,2022-10-30 23:05:00+00:00,2022-10-30 23:55:00+00:00,2022-10-30 23:20:00+00:00,4.733009708737801,0.5887850467289742,0.5384615384615399,0.05032350826743437,0.523809523809519,0.6904761904761857,0.875,1.0,0.875,0.75,0.90322580645161,0.7297297297297433,0.184210526315789,0.9374999999999695
development,60,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:20:00+00:00,2022-07-11 00:15:00+00:00,2022-07-10 20:30:00+00:00,2022-07-10 21:20:00+00:00,2022-07-10 20:55:00+00:00,-16.353887399463808,2022-12-04 15:00:00+00:00,2022-12-04 15:00:00+00:00,1.0,2022-12-04 16:00:00+00:00,,,2022-12-04 15:05:00+00:00,2022-12-04 15:55:00+00:00,2022-12-04 15:40:00+00:00,2.107606679035201,0.25471698113207286,0.25352112676056143,0.001195854371511429,0.5555555555555585,0.6944444444444623,0.8333333333333334,0.5,0.6666666666666666,0.5,0.42857142857142855,0.38888888888890943,0.9375000000000111,0.8888888888887573
development,60,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 18:00:00+00:00,2022-09-20 17:55:00+00:00,2022-09-20 15:55:00+00:00,2022-09-20 16:45:00+00:00,2022-09-20 16:30:00+00:00,-14.77832512315269,2022-09-04 00:25:00+00:00,2022-09-03 15:00:00+00:00,1.0,2022-09-04 02:00:00+00:00,,,2022-09-04 00:30:00+00:00,2022-09-04 01:20:00+00:00,2022-09-04 00:55:00+00:00,2.5591810620601008,0.49462365591397384,0.5249999999999994,0.03037634408602552,0.32608695652174047,0.6190476190476287,0.625,0.6666666666666666,0.75,0.8333333333333334,1.0,0.7499999999999963,0.5294117647058775,0.4285714285713923
development,60,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:25:00+00:00,2022-11-27 23:20:00+00:00,2022-11-27 15:20:00+00:00,2022-11-27 16:10:00+00:00,2022-11-27 15:25:00+00:00,-8.668105548979954,2022-09-10 18:30:00+00:00,2022-09-10 15:00:00+00:00,1.0,2022-09-10 22:40:00+00:00,,,2022-09-10 18:35:00+00:00,2022-09-10 19:25:00+00:00,2022-09-10 18:55:00+00:00,3.8351459645106223,0.17808219178082102,0.19402985074626344,0.015947658965442424,0.7948717948717704,0.5384615384615595,1.0,0.6,0.5,0.8,0.5862068965517072,0.6249999999999778,0.6875000000000069,0.3333333333333596
development,60,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:35:00+00:00,2023-01-07 22:30:00+00:00,2023-01-07 16:00:00+00:00,2023-01-07 16:50:00+00:00,2023-01-07 16:45:00+00:00,-6.367746797287078,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,0.7066666666666641,0.6103286384976502,0.09633802816901393,0.2547169811320687,0.3346153846153862,0.7,0.6363636363636364,0.6,0.5454545454545454,0.5862068965517411,0.6156156156156134,0.7241379310345123,0.9821428571428357
development,60,2023-02-21 18:00:00+00:00,2023-02-21 15:00:00+00:00,2.0,2023-02-21 21:25:00+00:00,2023-02-21 21:20:00+00:00,2023-02-21 18:05:00+00:00,2023-02-21 18:55:00+00:00,2023-02-21 18:40:00+00:00,-14.591668627912446,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,2023-04-22 15:15:00+00:00,4.157043879907563,0.2895805142083876,0.306666666666663,0.017086152458275383,0.5093457943925183,0.942028985507252,0.5,1.0,0.5,0.3333333333333333,0.46202531645570544,0.6557377049180194,0.9855072463767937,0.9830508474576067
development,60,2023-02-28 15:25:00+00:00,2023-02-28 15:00:00+00:00,2.0,2023-02-28 20:05:00+00:00,2023-02-28 20:00:00+00:00,2023-02-28 15:30:00+00:00,2023-02-28 16:20:00+00:00,2023-02-28 15:55:00+00:00,-11.032343819229073,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,2023-04-22 15:15:00+00:00,4.157043879907563,0.29193899782135174,0.306666666666663,0.014727668845311237,0.6343283582089599,0.942028985507252,0.5,1.0,0.5,0.3333333333333333,0.32283464566929704,0.6557377049180194,0.9117647058823498,0.9830508474576067
