partition,snapshot_age_min,feature,direction,n,case_median,control_median,median_gap,effect,direction_ok,adequate_dev_blocks,same_direction_dev_blocks,dev_block_rule_pass,development_eligible,oos_replication_pass,full_snapshot_replication
development,60,largest_mae_extension_share,lower,33,0.48170731707317543,0.7055214723926273,-0.22381415531945187,0.5916494776900107,True,4,2,False,False,False,False
development,60,mae_extension_bar_fraction,higher,33,0.7142857142857143,0.6666666666666666,0.04761904761904767,0.12987012987013,True,4,2,False,False,False,False
development,60,down_close_step_fraction,higher,33,0.7272727272727273,0.6666666666666666,0.06060606060606066,0.27777777777777796,True,4,3,False,False,False,False
development,60,close_path_efficiency_to_worst,higher,33,0.7426573426573596,0.6557377049180194,0.0869196377393402,0.22808912556515173,True,4,2,False,False,False,False
development,60,worst_bar_close_location,lower,33,0.4857142857142579,0.4989517819706449,-0.013237496256386982,0.025451240045879373,True,4,4,True,False,False,False
development,120,largest_mae_extension_share,lower,29,0.32894736842105243,0.3517241379310373,-0.022776769509984862,0.09681573194340075,True,3,1,False,False,False,False
development,120,mae_extension_bar_fraction,higher,29,0.5,0.43478260869565216,0.06521739130434784,0.2420115243583028,True,3,2,False,False,False,False
development,120,down_close_step_fraction,higher,29,0.6,0.6363636363636364,-0.036363636363636376,0.21460506706408358,False,3,1,False,False,False,False
development,120,close_path_efficiency_to_worst,higher,29,0.46405228758168937,0.5324675324675299,-0.0684152448858405,0.2426321148977219,False,3,2,False,False,False,False
development,120,worst_bar_close_location,lower,29,0.5524296675191587,0.3768115942029008,0.1756180733162579,0.33856319318965267,False,3,1,False,False,False,False
external,60,largest_mae_extension_share,lower,12,0.4809205235975364,0.7116564417177859,-0.23073591812024946,0.803688967058029,True,0,0,False,False,False,False
external,60,mae_extension_bar_fraction,higher,12,0.6,0.6499999999999999,-0.04999999999999993,0.11635081533715277,False,0,0,False,False,False,False
external,60,down_close_step_fraction,higher,12,0.6666666666666666,0.7,-0.033333333333333326,0.10476190476190472,False,0,0,False,False,False,False
external,60,close_path_efficiency_to_worst,higher,12,0.6032289309511212,0.6719327108210451,-0.06870377986992393,0.18179087422883297,False,0,0,False,False,False,False
external,60,worst_bar_close_location,lower,12,0.5098651348651375,0.36695652173913956,0.14290861312599795,0.3011564385972148,False,0,0,False,False,False,False
external,120,largest_mae_extension_share,lower,11,0.4180561814631216,0.5148205928237131,-0.09676441136059144,0.7606725926842217,True,0,0,False,False,False,False
external,120,mae_extension_bar_fraction,higher,11,0.43478260869565216,0.4166666666666667,0.018115942028985477,0.06257372622048694,True,0,0,False,False,False,False
external,120,down_close_step_fraction,higher,11,0.6666666666666666,0.6363636363636364,0.030303030303030276,0.23372499206097158,True,0,0,False,False,False,False
external,120,close_path_efficiency_to_worst,higher,11,0.47926267281106205,0.35582822085889604,0.12343445195216601,0.4447301129897834,True,0,0,False,False,False,False
external,120,worst_bar_close_location,lower,11,0.4318181818181789,0.46730769230769353,-0.03548951048951465,0.13257154542773958,True,0,0,False,False,False,False
reference_validation,60,largest_mae_extension_share,lower,22,0.4406589513462326,0.383357245337154,0.057301706009078635,0.17899930018378374,False,0,0,False,False,False,False
reference_validation,60,mae_extension_bar_fraction,higher,22,0.6515151515151515,0.8590909090909091,-0.20757575757575764,0.6765432098765433,False,0,0,False,False,False,False
reference_validation,60,down_close_step_fraction,higher,22,0.7386363636363636,0.7386363636363636,0.0,0.0,False,0,0,False,False,False,False
reference_validation,60,close_path_efficiency_to_worst,higher,22,0.5873176206509547,0.7384480619023432,-0.15113044125138853,0.43841183748884344,False,0,0,False,False,False,False
reference_validation,60,worst_bar_close_location,lower,22,0.4625668449197774,0.7608695652174275,-0.29830272029765015,1.058546602494999,True,0,0,False,False,False,False
reference_validation,120,largest_mae_extension_share,lower,19,0.3798882681564142,0.3764705882352886,0.0034176799211255715,0.022304095791888887,False,0,0,False,False,False,False
reference_validation,120,mae_extension_bar_fraction,higher,19,0.47619047619047616,0.5454545454545454,-0.06926406926406925,0.25387791180243396,False,0,0,False,False,False,False
reference_validation,120,down_close_step_fraction,higher,19,0.6363636363636364,0.6666666666666666,-0.030303030303030276,0.2834507042253519,False,0,0,False,False,False,False
reference_validation,120,close_path_efficiency_to_worst,higher,19,0.40331491712707035,0.5935828877005376,-0.19026797057346723,1.1843960148261012,False,0,0,False,False,False,False
reference_validation,120,worst_bar_close_location,lower,19,0.5490196078431493,0.5624999999999833,-0.013480392156834053,0.05296453070592114,True,0,0,False,False,False,False
