period,execution_mode,entry_plans,resolved,wins,losses,wr,zone1_valid_all_entries,zone2_valid_all_entries,wins_needed_for_70,zone_valid_losses,zone_valid_loss_headroom_ge_need,zone_fail_losses,late_entry_losses,false_stop_losses,tp_path_losses
DEV,DELAYED_CLEAN_RECLAIM,137,137,81,56,0.5912408759124088,0.6788321167883211,0.5036496350364964,15,16,True,40,1,9,6
DEV,DELAYED_SWEEP_RECLAIM,73,64,33,31,0.515625,0.7534246575342466,0.5753424657534246,12,17,True,14,5,3,9
DEV,IMMEDIATE_CLEAN_RECLAIM,415,411,205,206,0.49878345498783455,0.7228915662650602,0.563855421686747,83,100,True,106,24,29,47
DEV,IMMEDIATE_SWEEP_RECLAIM,65,65,34,31,0.5230769230769231,0.7076923076923077,0.6307692307692307,12,15,True,16,9,1,5
REF,DELAYED_CLEAN_RECLAIM,91,91,54,37,0.5934065934065934,0.7032967032967034,0.42857142857142855,10,15,True,22,2,4,9
REF,DELAYED_SWEEP_RECLAIM,38,35,19,16,0.5428571428571428,0.7894736842105263,0.6578947368421053,6,9,True,7,4,0,5
REF,IMMEDIATE_CLEAN_RECLAIM,235,235,113,122,0.4808510638297872,0.6595744680851063,0.5446808510638298,52,47,False,75,11,15,21
REF,IMMEDIATE_SWEEP_RECLAIM,38,38,26,12,0.6842105263157895,0.9210526315789473,0.9210526315789473,1,9,True,3,3,1,5
