family_id,period,n,events_per365,event_days,event_day_share,wins,losses,timeouts,ambiguous,win_rate,resolved_wr,mean_R,median_win_touch_min,median_loss_touch_min
E1,DEV,217,72.26733576642336,217,0.197992700729927,101,109,5,2,0.46543778801843316,0.47641509433962265,-0.045506048066092215,80.0,55.0
E1,REF,105,63.55721393034826,105,0.17412935323383086,51,51,3,0,0.4857142857142857,0.5,-6.365417709704314e-05,120.0,55.0
E2,DEV,201,66.9388686131387,200,0.18248175182481752,87,101,13,0,0.43283582089552236,0.4627659574468085,-0.06858423813473255,110.0,70.0
E2,REF,114,69.0049751243781,114,0.1890547263681592,51,49,14,0,0.4473684210526316,0.51,0.036272287046786054,100.0,85.0
E3,DEV,5371,1788.6998175182482,1094,0.9981751824817519,2149,2394,827,1,0.40011171104077453,0.472931338028169,-0.041494662181865594,170.0,140.0
E3,REF,2903,1757.2056384742953,600,0.9950248756218906,1125,1169,609,0,0.387530141233207,0.490409764603313,-0.004205981743868174,210.0,190.0
E4,DEV,5539,1844.6487226277372,1093,0.9972627737226277,2384,2276,876,3,0.4304025997472468,0.5112588462363286,0.015233166983236,165.0,165.0
E4,REF,3014,1824.3946932006631,601,0.9966832504145937,1171,1182,661,0,0.3885202388852024,0.4976625584360391,-0.013364384603707135,200.0,207.5
E5,DEV,1122,373.65875912408757,553,0.5045620437956204,485,527,109,1,0.4322638146167558,0.47877591312931883,-0.022797342209388668,130.0,85.0
E5,REF,689,417.05638474295193,307,0.5091210613598673,281,292,116,0,0.40783744557329465,0.49040139616055844,0.0002184672006709648,135.0,115.0
E6,DEV,1436,478.2299270072993,625,0.5702554744525548,651,608,177,0,0.4533426183844011,0.517077045274027,0.03340976132191419,145.0,100.0
E6,REF,865,523.5903814262024,337,0.5588723051409619,311,380,174,0,0.35953757225433525,0.45007235890014474,-0.06773559429862958,180.0,182.5
C2PLUS,DEV,846,281.742700729927,539,0.49178832116788324,348,395,103,0,0.41134751773049644,0.46837146702557203,-0.044230957277709974,130.0,105.0
C2PLUS,REF,527,318.9966832504146,331,0.548922056384743,209,228,90,0,0.396584440227704,0.4782608695652174,-0.012132750248001903,150.0,140.0
