family_id,year,n,win_rate,mean_R
C2PLUS,2022,278,0.460431654676259,-0.006689858063241427
C2PLUS,2023,268,0.3917910447761194,-0.001120564528233745
C2PLUS,2024,300,0.38333333333333336,-0.1175309934059829
C2PLUS,2025,325,0.4123076923076923,0.003835336247964819
C2PLUS,2026,202,0.3712871287128713,-0.037823978521215725
E1,2022,67,0.47761194029850745,-0.03011446407794224
E1,2023,71,0.4507042253521127,-0.05734469485159028
E1,2024,79,0.46835443037974683,-0.047919873451354046
E1,2025,66,0.5,0.01156306737290546
E1,2026,39,0.46153846153846156,-0.019739644492485893
E2,2022,57,0.43859649122807015,-0.1033899114196128
E2,2023,79,0.43037974683544306,-0.06840428082606875
E2,2024,65,0.4307692307692308,-0.038281057367751996
E2,2025,70,0.4857142857142857,0.12376300040831716
E2,2026,44,0.38636363636363635,-0.1029174842101952
E3,2022,1758,0.44368600682593856,-0.034914441212979784
E3,2023,1813,0.33204633204633205,-0.061738470395534234
E3,2024,1800,0.4261111111111111,-0.027531331166265594
E3,2025,1730,0.40635838150289016,0.0015707751324590532
E3,2026,1173,0.3597612958226769,-0.012725836301452232
E4,2022,1815,0.4738292011019284,0.025332986691929283
E4,2023,1863,0.3875469672571122,0.03617365462094509
E4,2024,1861,0.43095110155830196,-0.015579998648322478
E4,2025,1816,0.3970264317180617,-0.01656793191582163
E4,2026,1198,0.3756260434056761,-0.008508256123907525
E5,2022,425,0.47294117647058825,-0.016424041611273293
E5,2023,332,0.3855421686746988,0.016889527222735245
E5,2024,365,0.4273972602739726,-0.0663170501701124
E5,2025,407,0.4398034398034398,0.025948307382036264
E5,2026,282,0.3617021276595745,-0.03691644398307256
E6,2022,454,0.5088105726872246,0.08222191013211885
E6,2023,436,0.42660550458715596,0.04772286052801317
E6,2024,546,0.42857142857142855,-0.018607137604261758
E6,2025,529,0.3648393194706994,-0.061401985454494504
E6,2026,336,0.35119047619047616,-0.07770725822287798
