feature,dev_nominated,ref_validated,dev_auc,ref_auc,dev_winner_median,dev_loser_median,ref_winner_median,ref_loser_median
penetration_depth,False,False,0.5578231292517006,0.49074074074074076,0.20933769281131218,0.22902370627083343,0.16466905717216473,0.15550851617836617
outside_close_fraction,False,False,0.5710506424792139,0.41087962962962965,0.16666666666666666,0.3333333333333333,0.20833333333333331,0.20833333333333331
failed_reclaim_count,False,False,0.4988662131519274,0.43287037037037035,1.0,1.0,1.0,0.5
wall_cross_count,False,False,0.5151171579743008,0.4270833333333333,2.0,2.0,2.0,1.5
low_recency,False,False,0.47581254724111866,0.4166666666666667,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
detector_range,False,False,0.5593348450491308,0.5532407407407407,0.4916066197771531,0.5832171022333464,0.4952740355871512,0.5223401227266985
weak_final_margin,False,False,0.4928193499622071,0.5208333333333334,-0.15033325558913452,-0.1878098198738375,-0.11793472086811241,-0.11281640744492152
weak_recovery_from_low,False,False,0.4527588813303099,0.5,-0.379783885983281,-0.4748390868508669,-0.3090693517705242,-0.3376349397235656
short_final_inside_streak,False,False,0.48677248677248675,0.4224537037037037,-6.0,-7.0,-8.5,-8.5
down_slope_3_preentry,False,False,0.5260770975056689,0.5324074074074074,-0.05656172212259522,-0.0474785178243754,-0.04140300198026481,0.004555707711321818
down_slope_6_preentry,False,False,0.42630385487528344,0.4537037037037037,-0.13517732947231836,-0.18845586327135697,-0.08279361961563753,-0.07451514430926612
weak_reclaim_strength,False,False,0.5185185185185185,0.4583333333333333,-0.8371635770967453,-0.8404062624426761,-0.8327690265318728,-0.9351492252649884
weak_final_clv,False,False,0.3673469387755102,0.7858796296296297,-0.5333333333333186,-0.7906976744185862,-0.7320264124061455,-0.23331410995772478
recent_last_outside,False,False,0.48677248677248675,0.4224537037037037,-6.0,-7.0,-8.5,-8.5
RECLAIM_RISK_COMPOSITE,False,False,0.54421768707483,0.41203703703703703,-0.097090696625951,0.030325474751174416,0.0018494315442626856,-0.19490727755545084
