feature,period,winner_n,loser_n,winner_median,loser_median,failure_auc
penetration_depth,DEV,49,27,0.20933769281131218,0.22902370627083343,0.5578231292517006
penetration_depth,REF,24,18,0.16466905717216473,0.15550851617836617,0.49074074074074076
penetration_depth,ALL,73,45,0.1918777487920003,0.19446983701968862,0.5263318112633181
outside_close_fraction,DEV,49,27,0.16666666666666666,0.3333333333333333,0.5710506424792139
outside_close_fraction,REF,24,18,0.20833333333333331,0.20833333333333331,0.41087962962962965
outside_close_fraction,ALL,73,45,0.16666666666666666,0.25,0.5111111111111111
failed_reclaim_count,DEV,49,27,1.0,1.0,0.4988662131519274
failed_reclaim_count,REF,24,18,1.0,0.5,0.43287037037037035
failed_reclaim_count,ALL,73,45,1.0,1.0,0.47077625570776255
wall_cross_count,DEV,49,27,2.0,2.0,0.5151171579743008
wall_cross_count,REF,24,18,2.0,1.5,0.4270833333333333
wall_cross_count,ALL,73,45,2.0,2.0,0.4770167427701674
low_recency,DEV,49,27,0.09090909090909091,0.18181818181818182,0.47581254724111866
low_recency,REF,24,18,0.09090909090909091,0.09090909090909091,0.4166666666666667
low_recency,ALL,73,45,0.09090909090909091,0.09090909090909091,0.4517503805175038
detector_range,DEV,49,27,0.4916066197771531,0.5832171022333464,0.5593348450491308
detector_range,REF,24,18,0.4952740355871512,0.5223401227266985,0.5532407407407407
detector_range,ALL,73,45,0.4916066197771531,0.5721525532027384,0.5506849315068493
weak_final_margin,DEV,49,27,-0.15033325558913452,-0.1878098198738375,0.4928193499622071
weak_final_margin,REF,24,18,-0.11793472086811241,-0.11281640744492152,0.5208333333333334
weak_final_margin,ALL,73,45,-0.139609461589935,-0.143943182933463,0.4946727549467275
weak_recovery_from_low,DEV,49,27,-0.379783885983281,-0.4748390868508669,0.4527588813303099
weak_recovery_from_low,REF,24,18,-0.3090693517705242,-0.3376349397235656,0.5
weak_recovery_from_low,ALL,73,45,-0.3487413466655851,-0.39862571939348007,0.4700152207001522
short_final_inside_streak,DEV,49,27,-6.0,-7.0,0.48677248677248675
short_final_inside_streak,REF,24,18,-8.5,-8.5,0.4224537037037037
short_final_inside_streak,ALL,73,45,-6.0,-7.0,0.4552511415525114
down_slope_3_preentry,DEV,49,27,-0.05656172212259522,-0.0474785178243754,0.5260770975056689
down_slope_3_preentry,REF,24,18,-0.04140300198026481,0.004555707711321818,0.5324074074074074
down_slope_3_preentry,ALL,73,45,-0.047769778938888854,-0.036045942711115476,0.5357686453576864
down_slope_6_preentry,DEV,49,27,-0.13517732947231836,-0.18845586327135697,0.42630385487528344
down_slope_6_preentry,REF,24,18,-0.08279361961563753,-0.07451514430926612,0.4537037037037037
down_slope_6_preentry,ALL,73,45,-0.10772399273962717,-0.12058544812042137,0.4322678843226788
weak_reclaim_strength,DEV,49,27,-0.8371635770967453,-0.8404062624426761,0.5185185185185185
weak_reclaim_strength,REF,24,18,-0.8327690265318728,-0.9351492252649884,0.4583333333333333
weak_reclaim_strength,ALL,73,45,-0.8371635770967453,-0.8926713446271084,0.4922374429223744
weak_final_clv,DEV,49,27,-0.5333333333333186,-0.7906976744185862,0.3673469387755102
weak_final_clv,REF,24,18,-0.7320264124061455,-0.23331410995772478,0.7858796296296297
weak_final_clv,ALL,73,45,-0.6086956521739381,-0.6129032258064397,0.5403348554033486
recent_last_outside,DEV,49,27,-6.0,-7.0,0.48677248677248675
recent_last_outside,REF,24,18,-8.5,-8.5,0.4224537037037037
recent_last_outside,ALL,73,45,-6.0,-7.0,0.4552511415525114
RECLAIM_RISK_COMPOSITE,DEV,49,27,-0.097090696625951,0.030325474751174416,0.54421768707483
RECLAIM_RISK_COMPOSITE,REF,24,18,0.0018494315442626856,-0.19490727755545084,0.41203703703703703
RECLAIM_RISK_COMPOSITE,ALL,73,45,-0.07579942683854328,-0.09812228892747882,0.491324200913242
