horizon_min,feature,kind,dev_nominated,ref_validated,dev_strength,ref_strength
15,entry_drawdown,CONT,False,False,0.5736961451247166,0.5462962962962963
15,below_wall_depth,CONT,False,False,0.4969765684051398,0.5949074074074074
15,mae_so_far,CONT,True,True,0.6054421768707483,0.5601851851851852
15,lack_mfe,CONT,False,False,0.5869236583522298,0.4976851851851852
15,below_wall_fraction,CONT,False,False,0.5616024187452758,0.5891203703703703
15,max_consecutive_below_wall,CONT,False,False,0.5642479213907785,0.59375
15,final_consecutive_below_wall,CONT,False,False,0.4965986394557823,0.59375
15,failed_reclaim_count,CONT,False,False,0.5,0.5
15,lower_low_pressure,CONT,False,False,0.5616024187452758,0.4652777777777778
15,down_slope_3,CONT,False,False,0.5313681027966742,0.5439814814814815
15,final_below_wall,BINARY,False,False,-0.007558578987150413,0.18055555555555555
15,detector_extreme_touched,BINARY,False,False,0.016628873771730914,0.1111111111111111
15,detector_extreme_close_breached,BINARY,False,False,0.016628873771730914,0.1111111111111111
30,entry_drawdown,CONT,True,True,0.6923658352229781,0.6226851851851852
30,below_wall_depth,CONT,False,False,0.5260770975056689,0.5787037037037037
30,mae_so_far,CONT,True,True,0.6636432350718064,0.5856481481481481
30,lack_mfe,CONT,True,False,0.6349206349206349,0.5
30,below_wall_fraction,CONT,False,False,0.5861678004535147,0.5439814814814815
30,max_consecutive_below_wall,CONT,False,False,0.5861678004535147,0.5416666666666666
30,final_consecutive_below_wall,CONT,False,False,0.5234315948601663,0.5763888888888888
30,failed_reclaim_count,CONT,False,False,0.5,0.5
30,lower_low_pressure,CONT,False,False,0.5993953136810279,0.5590277777777778
30,down_slope_3,CONT,True,True,0.63718820861678,0.6921296296296297
30,final_below_wall,BINARY,False,False,0.04988662131519274,0.1388888888888889
30,detector_extreme_touched,BINARY,False,False,-0.0037792894935752067,0.2222222222222222
30,detector_extreme_close_breached,BINARY,False,False,0.016628873771730914,0.2222222222222222
45,entry_drawdown,CONT,True,True,0.6931216931216931,0.6064814814814815
45,below_wall_depth,CONT,False,False,0.5147392290249433,0.5902777777777778
45,mae_so_far,CONT,True,True,0.6953892668178382,0.6018518518518519
45,lack_mfe,CONT,True,False,0.6787603930461074,0.5416666666666666
45,below_wall_fraction,CONT,False,False,0.5997732426303855,0.5601851851851852
45,max_consecutive_below_wall,CONT,False,False,0.5990173847316704,0.5601851851851852
45,final_consecutive_below_wall,CONT,False,False,0.5158730158730159,0.5925925925925926
45,failed_reclaim_count,CONT,False,False,0.5,0.5
45,lower_low_pressure,CONT,True,False,0.6496598639455783,0.4583333333333333
45,down_slope_3,CONT,False,False,0.5034013605442177,0.49074074074074076
45,final_below_wall,BINARY,False,False,0.02947845804988662,0.16666666666666666
45,detector_extreme_touched,BINARY,False,False,-0.02418745275888133,0.18055555555555555
45,detector_extreme_close_breached,BINARY,False,False,-0.02418745275888133,0.18055555555555555
60,entry_drawdown,CONT,True,True,0.7656840513983371,0.7175925925925926
60,below_wall_depth,CONT,False,False,0.5566893424036281,0.6527777777777778
60,mae_so_far,CONT,True,True,0.7006802721088435,0.6203703703703703
60,lack_mfe,CONT,True,True,0.690854119425548,0.5740740740740741
60,below_wall_fraction,CONT,True,True,0.6175359032501889,0.5555555555555556
60,max_consecutive_below_wall,CONT,True,True,0.6152683295540439,0.5567129629629629
60,final_consecutive_below_wall,CONT,False,False,0.5487528344671202,0.6481481481481481
60,failed_reclaim_count,CONT,False,False,0.5,0.5
60,lower_low_pressure,CONT,True,True,0.6485260770975056,0.6087962962962963
60,down_slope_3,CONT,True,True,0.6568405139833712,0.7037037037037037
60,final_below_wall,BINARY,False,False,0.09977324263038548,0.29166666666666663
60,detector_extreme_touched,BINARY,False,False,0.012849584278155704,0.29166666666666663
60,detector_extreme_close_breached,BINARY,False,False,0.012849584278155704,0.23611111111111113
