horizon_min,feature,kind,period,winner_n,loser_n,winner_median,loser_median,failure_auc,rate_delta
15,entry_drawdown,CONT,DEV,49,27,-0.014430454054457335,0.006659112441588157,0.5736961451247166,
15,entry_drawdown,CONT,REF,24,18,0.0033661653492215956,-0.05403057370879741,0.5462962962962963,
15,below_wall_depth,CONT,DEV,49,27,0.0,0.0,0.4969765684051398,
15,below_wall_depth,CONT,REF,24,18,0.0,0.0,0.5949074074074074,
15,mae_so_far,CONT,DEV,49,27,0.05856576110423838,0.09105704350533526,0.6054421768707483,
15,mae_so_far,CONT,REF,24,18,0.059996959063599614,0.06169954221121937,0.5601851851851852,
15,lack_mfe,CONT,DEV,49,27,-0.08547292533623081,-0.04928858612902624,0.5869236583522298,
15,lack_mfe,CONT,REF,24,18,-0.10651166719324073,-0.0953151957056241,0.4976851851851852,
15,below_wall_fraction,CONT,DEV,49,27,0.0,0.0,0.5616024187452758,
15,below_wall_fraction,CONT,REF,24,18,0.0,0.0,0.5891203703703703,
15,max_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.5642479213907785,
15,max_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.59375,
15,final_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.4965986394557823,
15,final_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.59375,
15,failed_reclaim_count,CONT,DEV,49,27,0.0,0.0,0.5,
15,failed_reclaim_count,CONT,REF,24,18,0.0,0.0,0.5,
15,lower_low_pressure,CONT,DEV,49,27,0.005614149316762843,0.03414639131450123,0.5616024187452758,
15,lower_low_pressure,CONT,REF,24,18,0.013196978975780274,0.0,0.4652777777777778,
15,down_slope_3,CONT,DEV,49,27,-0.025893187773958493,0.003309891021713152,0.5313681027966742,
15,down_slope_3,CONT,REF,24,18,-0.01313617001348529,0.007260442956067409,0.5439814814814815,
15,final_below_wall,BINARY,DEV,49,27,0.08163265306122448,0.07407407407407407,,-0.007558578987150413
15,final_below_wall,BINARY,REF,24,18,0.041666666666666664,0.2222222222222222,,0.18055555555555555
15,detector_extreme_touched,BINARY,DEV,49,27,0.02040816326530612,0.037037037037037035,,0.016628873771730914
15,detector_extreme_touched,BINARY,REF,24,18,0.0,0.1111111111111111,,0.1111111111111111
15,detector_extreme_close_breached,BINARY,DEV,49,27,0.02040816326530612,0.037037037037037035,,0.016628873771730914
15,detector_extreme_close_breached,BINARY,REF,24,18,0.0,0.1111111111111111,,0.1111111111111111
30,entry_drawdown,CONT,DEV,49,27,-0.057710512309227614,0.008183445996323454,0.6923658352229781,
30,entry_drawdown,CONT,REF,24,18,-0.012603958268122984,0.05100370469641722,0.6226851851851852,
30,below_wall_depth,CONT,DEV,49,27,0.0,0.0,0.5260770975056689,
30,below_wall_depth,CONT,REF,24,18,0.0,0.0,0.5787037037037037,
30,mae_so_far,CONT,DEV,49,27,0.06707901498614204,0.13496240889385855,0.6636432350718064,
30,mae_so_far,CONT,REF,24,18,0.0827611743464524,0.1331469098470669,0.5856481481481481,
