period,threshold_r,eligible,reached,reach_rate,median_touch_hours,median_mae_before_touch_r,clean,clean_rate_of_eligible,clean_ambiguous
DEV,0.5,785,479,0.6101910828025477,0.3333333333333333,-0.32188841201716956,,,
DEV,0.75,785,422,0.5375796178343949,0.5833333333333334,-0.35272958104105256,277.0,0.35286624203821654,29.0
DEV,1.0,785,375,0.47770700636942676,0.8333333333333334,-0.37396121883656996,237.0,0.3019108280254777,23.0
DEV,1.5,785,284,0.36178343949044584,1.4583333333333335,-0.39770029021193987,170.0,0.21656050955414013,13.0
DEV,2.0,785,237,0.3019108280254777,2.3333333333333335,-0.3857493857493847,,,
REF,0.5,463,299,0.6457883369330454,0.25,-0.24715909090909347,,,
REF,0.75,463,264,0.5701943844492441,0.4166666666666667,-0.27002400077082883,199.0,0.4298056155507559,7.0
REF,1.0,463,241,0.5205183585313174,0.75,-0.2984126984127071,170.0,0.367170626349892,6.0
REF,1.5,463,193,0.4168466522678186,1.3333333333333333,-0.31399317406142485,135.0,0.2915766738660907,4.0
REF,2.0,463,162,0.34989200863930886,1.8333333333333333,-0.31475740128007945,,,
