year,n,valid_24h,failure,local_only,ge1r,ge1r_rate,ge1_5r,ge1_5r_rate
2022,275,232,58,34,140,0.603448275862069,101,0.4353448275862069
2023,240,202,50,37,115,0.5693069306930693,89,0.4405940594059406
2024,270,228,75,33,120,0.5263157894736842,94,0.41228070175438597
2025,299,259,57,37,165,0.637065637065637,132,0.5096525096525096
2026,164,144,47,21,76,0.5277777777777778,61,0.4236111111111111
