period,class_24h,n,median_mfe_24h_r,median_mae_24h_r,median_peak_24h_hours,median_giveback_24h_r,median_risk_pct
DEV,FAILURE,183,0.2502923976608251,-0.8298755186721906,0.16666666666666666,1.0569852941176585,0.006848843612334833
DEV,LOCAL_ONLY,104,0.7279188028844078,-0.8316779288447477,0.8333333333333334,1.4894006659267311,0.006602342972794382
DEV,EXPANDER_1R,91,1.2312500000000433,-0.7575757575757288,1.5833333333333333,1.932330827067687,0.006458520998691222
DEV,STRONG_EXPANDER,47,1.6851851851851567,-0.741189427312774,3.0833333333333335,2.3468750000000056,0.007268746186151612
DEV,EXTREME_EXPANDER,237,3.9512195121951543,-0.5925925925925146,9.833333333333334,3.431818181818179,0.0054494033248257715
REF,FAILURE,104,0.203736007851882,-0.8328842950915933,0.08333333333333333,1.0,0.005578646133077682
REF,LOCAL_ONLY,58,0.6873477812177887,-0.8727579382367283,0.75,1.529946846402551,0.006771635771341079
REF,EXPANDER_1R,48,1.2740300255244472,-0.7803526033330119,1.7916666666666667,1.9505055446835602,0.005999424770302118
REF,STRONG_EXPANDER,31,1.7156862745098345,-0.6086956521739229,4.833333333333333,2.135359116022102,0.00569773664494602
REF,EXTREME_EXPANDER,162,3.931293936068945,-0.5821085935905123,10.5,3.4468447148973915,0.004238279516354881
