period,execution_mode,condition,baseline_resolved,baseline_wins,baseline_losses,accepted_resolved,accepted_wins,accepted_losses,accepted_wr,trade_retention,baseline_win_retained,baseline_win_retention,baseline_win_rejected,baseline_loss_rejected,zone_failure_loss_rejected,valid_zone_loss_rejected,loss_rejected_per_win_sacrificed
DEV,DELAYED_CLEAN_RECLAIM,BASELINE_ALL,137,81,56,137,81,56,0.5912408759124088,1.0,81,1.0,0,0,0,0,
DEV,DELAYED_CLEAN_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,137,81,56,16,13,3,0.8125,0.11678832116788321,13,0.16049382716049382,68,53,39,14,0.7794117647058824
DEV,DELAYED_CLEAN_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,137,81,56,55,41,14,0.7454545454545455,0.40145985401459855,41,0.5061728395061729,40,42,30,12,1.05
DEV,DELAYED_CLEAN_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,137,81,56,0,0,0,,0.0,0,0.0,81,56,40,16,0.691358024691358
DEV,DELAYED_CLEAN_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,137,81,56,8,5,3,0.625,0.058394160583941604,5,0.06172839506172839,76,53,38,15,0.6973684210526315
DEV,DELAYED_CLEAN_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,137,81,56,0,0,0,,0.0,0,0.0,81,56,40,16,0.691358024691358
DEV,DELAYED_SWEEP_RECLAIM,BASELINE_ALL,64,33,31,64,33,31,0.515625,1.0,33,1.0,0,0,0,0,
DEV,DELAYED_SWEEP_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,64,33,31,9,8,1,0.8888888888888888,0.140625,8,0.24242424242424243,25,30,14,16,1.2
DEV,DELAYED_SWEEP_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,64,33,31,33,17,16,0.5151515151515151,0.515625,17,0.5151515151515151,16,15,5,10,0.9375
DEV,DELAYED_SWEEP_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,64,33,31,0,0,0,,0.0,0,0.0,33,31,14,17,0.9393939393939394
DEV,DELAYED_SWEEP_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,64,33,31,2,1,1,0.5,0.03125,1,0.030303030303030304,32,30,14,16,0.9375
DEV,DELAYED_SWEEP_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,64,33,31,0,0,0,,0.0,0,0.0,33,31,14,17,0.9393939393939394
DEV,IMMEDIATE_CLEAN_RECLAIM,BASELINE_ALL,411,205,206,411,205,206,0.49878345498783455,1.0,205,1.0,0,0,0,0,
DEV,IMMEDIATE_CLEAN_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,411,205,206,0,0,0,,0.0,0,0.0,205,206,106,100,1.0048780487804878
DEV,IMMEDIATE_CLEAN_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,411,205,206,8,8,0,1.0,0.019464720194647202,8,0.03902439024390244,197,206,106,100,1.0456852791878173
DEV,IMMEDIATE_CLEAN_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,411,205,206,411,205,206,0.49878345498783455,1.0,205,1.0,0,0,0,0,
DEV,IMMEDIATE_CLEAN_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,411,205,206,0,0,0,,0.0,0,0.0,205,206,106,100,1.0048780487804878
DEV,IMMEDIATE_CLEAN_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,411,205,206,0,0,0,,0.0,0,0.0,205,206,106,100,1.0048780487804878
DEV,IMMEDIATE_SWEEP_RECLAIM,BASELINE_ALL,65,34,31,65,34,31,0.5230769230769231,1.0,34,1.0,0,0,0,0,
DEV,IMMEDIATE_SWEEP_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,65,34,31,0,0,0,,0.0,0,0.0,34,31,16,15,0.9117647058823529
DEV,IMMEDIATE_SWEEP_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,65,34,31,0,0,0,,0.0,0,0.0,34,31,16,15,0.9117647058823529
DEV,IMMEDIATE_SWEEP_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,65,34,31,65,34,31,0.5230769230769231,1.0,34,1.0,0,0,0,0,
DEV,IMMEDIATE_SWEEP_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,65,34,31,0,0,0,,0.0,0,0.0,34,31,16,15,0.9117647058823529
DEV,IMMEDIATE_SWEEP_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,65,34,31,0,0,0,,0.0,0,0.0,34,31,16,15,0.9117647058823529
REF,DELAYED_CLEAN_RECLAIM,BASELINE_ALL,91,54,37,91,54,37,0.5934065934065934,1.0,54,1.0,0,0,0,0,
REF,DELAYED_CLEAN_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,91,54,37,11,9,2,0.8181818181818182,0.12087912087912088,9,0.16666666666666666,45,35,22,13,0.7777777777777778
REF,DELAYED_CLEAN_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,91,54,37,32,21,11,0.65625,0.3516483516483517,21,0.3888888888888889,33,26,14,12,0.7878787878787878
REF,DELAYED_CLEAN_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,91,54,37,0,0,0,,0.0,0,0.0,54,37,22,15,0.6851851851851852
REF,DELAYED_CLEAN_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,91,54,37,2,1,1,0.5,0.02197802197802198,1,0.018518518518518517,53,36,21,15,0.6792452830188679
REF,DELAYED_CLEAN_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,91,54,37,0,0,0,,0.0,0,0.0,54,37,22,15,0.6851851851851852
REF,DELAYED_SWEEP_RECLAIM,BASELINE_ALL,35,19,16,35,19,16,0.5428571428571428,1.0,19,1.0,0,0,0,0,
REF,DELAYED_SWEEP_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,35,19,16,6,1,5,0.16666666666666666,0.17142857142857143,1,0.05263157894736842,18,11,5,6,0.6111111111111112
REF,DELAYED_SWEEP_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,35,19,16,22,13,9,0.5909090909090909,0.6285714285714286,13,0.6842105263157895,6,7,1,6,1.1666666666666667
REF,DELAYED_SWEEP_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,35,19,16,0,0,0,,0.0,0,0.0,19,16,7,9,0.8421052631578947
REF,DELAYED_SWEEP_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,35,19,16,2,1,1,0.5,0.05714285714285714,1,0.05263157894736842,18,15,6,9,0.8333333333333334
REF,DELAYED_SWEEP_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,35,19,16,0,0,0,,0.0,0,0.0,19,16,7,9,0.8421052631578947
REF,IMMEDIATE_CLEAN_RECLAIM,BASELINE_ALL,235,113,122,235,113,122,0.4808510638297872,1.0,113,1.0,0,0,0,0,
REF,IMMEDIATE_CLEAN_RECLAIM,K1_BREAK_FIRST_TOUCH_HIGH,235,113,122,0,0,0,,0.0,0,0.0,113,122,75,47,1.079646017699115
REF,IMMEDIATE_CLEAN_RECLAIM,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,235,113,122,9,7,2,0.7777777777777778,0.03829787234042553,7,0.061946902654867256,106,120,73,47,1.1320754716981132
REF,IMMEDIATE_CLEAN_RECLAIM,K3_TWO_CLOSE_PROXIMAL_HOLD,235,113,122,235,113,122,0.4808510638297872,1.0,113,1.0,0,0,0,0,
REF,IMMEDIATE_CLEAN_RECLAIM,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,235,113,122,0,0,0,,0.0,0,0.0,113,122,75,47,1.079646017699115
REF,IMMEDIATE_CLEAN_RECLAIM,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,235,113,122,0,0,0,,0.0,0,0.0,113,122,75,47,1.079646017699115
REF,IMMEDIATE_SWEEP_RECLAIM,BASELINE_ALL,38,26,12,38,26,12,0.6842105263157895,1.0,26,1.0,0,0,0,0,
