period,condition,baseline_resolved,baseline_wins,baseline_losses,accepted_resolved,accepted_wins,accepted_losses,accepted_wr,trade_retention,baseline_win_retained,baseline_win_retention,baseline_win_rejected,baseline_loss_rejected,zone_failure_loss_rejected,valid_zone_loss_rejected,loss_rejected_per_win_sacrificed
DEV,BASELINE_ALL,677,353,324,677,353,324,0.5214180206794683,1.0,353,1.0,0,0,0,0,
DEV,K1_BREAK_FIRST_TOUCH_HIGH,677,353,324,25,21,4,0.84,0.03692762186115214,21,0.059490084985835696,332,320,175,145,0.963855421686747
DEV,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,677,353,324,96,66,30,0.6875,0.14180206794682423,66,0.18696883852691218,287,294,157,137,1.024390243902439
DEV,K3_TWO_CLOSE_PROXIMAL_HOLD,677,353,324,476,239,237,0.5021008403361344,0.7031019202363368,239,0.6770538243626062,114,87,54,33,0.7631578947368421
DEV,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,677,353,324,10,6,4,0.6,0.014771048744460856,6,0.0169971671388102,347,320,174,146,0.9221902017291066
DEV,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,677,353,324,0,0,0,,0.0,0,0.0,353,324,176,148,0.9178470254957507
REF,BASELINE_ALL,399,212,187,399,212,187,0.531328320802005,1.0,212,1.0,0,0,0,0,
REF,K1_BREAK_FIRST_TOUCH_HIGH,399,212,187,17,10,7,0.5882352941176471,0.042606516290726815,10,0.04716981132075472,202,180,105,75,0.8910891089108911
REF,K2_BULLISH_DISPLACEMENT_BREAK_PREV_HIGH,399,212,187,63,41,22,0.6507936507936508,0.15789473684210525,41,0.19339622641509435,171,165,91,74,0.9649122807017544
REF,K3_TWO_CLOSE_PROXIMAL_HOLD,399,212,187,273,139,134,0.5091575091575091,0.6842105263157895,139,0.6556603773584906,73,53,29,24,0.726027397260274
REF,K4_POST_TOUCH_CONFIRMED_MICRO_BOS,399,212,187,4,2,2,0.5,0.010025062656641603,2,0.009433962264150943,210,185,105,80,0.8809523809523809
REF,K5_BREAK_TOUCH_HIGH_AND_TWO_CLOSE_HOLD,399,212,187,0,0,0,,0.0,0,0.0,212,187,107,80,0.8820754716981132
