family,direction,n,primary_hit,primary_wilson_lcb,primary_median_signed_return,evaluable_folds,per_fold_min_ok,positive_folds,worst_fold_hit,hit_2025,hit_2026,aux_horizons_ge_52,max_fold_share,verdict
SWEEP_LOW_RECLAIM,LONG,8084,0.541316180108857,0.530436934499899,0.0003487534935239234,5,True,5,0.5266203703703703,0.5266203703703703,0.5300448430493273,4,0.22216724393864423,REJECT
SWEEP_HIGH_REJECT,SHORT,8534,0.5149988282165456,0.504391035419818,0.00012344663074309592,5,True,4,0.48111658456486045,0.48111658456486045,0.5290598290598291,0,0.2201781110850715,REJECT
BREAK_HIGH_HOLD,LONG,1576,0.4733502538071066,0.4487946548115428,-0.00017949317453325175,5,True,0,0.4530386740331492,0.46524064171123,0.48026315789473684,1,0.27093908629441626,REJECT
BREAK_LOW_HOLD,SHORT,1204,0.45182724252491696,0.42391354766023276,-0.0005555205720365608,5,True,0,0.42543859649122806,0.47619047619047616,0.47878787878787876,0,0.2441860465116279,REJECT
BREAK_HIGH_FAIL,SHORT,5547,0.49882819542094825,0.485675622588332,0.0,5,True,2,0.48943985307621674,0.4967585089141005,0.5071428571428571,0,0.23309897241752298,REJECT
BREAK_LOW_FAIL,LONG,5102,0.5250882007056057,0.5113719469155978,0.00022096605584009943,5,True,4,0.4858420268256334,0.55,0.4858420268256334,3,0.22363778910231283,REJECT
COMPRESSION_EXPAND_UP,LONG,37,0.6216216216216216,0.46100430439217654,0.0016713091922009315,5,False,3,0.42857142857142855,0.5714285714285714,0.42857142857142855,3,0.2702702702702703,REJECT
COMPRESSION_EXPAND_DOWN,SHORT,44,0.45454545454545453,0.31705234142220895,-0.001043870936607405,5,False,2,0.375,0.42857142857142855,0.6666666666666666,0,0.36363636363636365,REJECT
PULLBACK_UP_RESUME,LONG,4387,0.4818782767266925,0.4671146550191493,-0.00014878246350680246,5,True,2,0.4455026455026455,0.483640081799591,0.5033444816053512,0,0.2229313881923866,REJECT
PULLBACK_DOWN_RESUME,SHORT,4001,0.464383904023994,0.448971859138489,-0.00032721442361172137,5,True,0,0.45610034207525657,0.4608187134502924,0.46059544658493873,0,0.21919520119970007,REJECT
