family,direction,horizon_min,n,directional_hit,median_signed_return,mean_signed_return
BREAK_LOW_HOLD,SHORT,360,1204,0.4634551495016611,-0.0009847236104217894,-0.0006321100909168465
BREAK_HIGH_FAIL,SHORT,15,5547,0.49990986118622677,0.0,4.513139192038523e-06
BREAK_HIGH_FAIL,SHORT,30,5547,0.4898143140436272,-4.734250725935141e-05,-6.182931412635529e-06
BREAK_HIGH_FAIL,SHORT,60,5547,0.49882819542094825,0.0,1.028661287764174e-06
BREAK_HIGH_FAIL,SHORT,120,5547,0.4923382008292771,-8.203781943505462e-05,-0.00011072138994156356
BREAK_HIGH_FAIL,SHORT,360,5547,0.4943212547322877,-0.00010325600605853857,-5.1496799324484744e-05
BREAK_LOW_FAIL,LONG,15,5102,0.5158761270090161,9.290982152443394e-05,-3.8189089430466655e-06
BREAK_LOW_FAIL,LONG,30,5102,0.5233241865934928,0.00016918998985682165,-8.939186791007856e-06
BREAK_LOW_FAIL,LONG,60,5102,0.5250882007056057,0.00022096605584009943,4.5351341701949345e-07
BREAK_LOW_FAIL,LONG,120,5102,0.5284202273618189,0.0003744852288929401,8.886534117857848e-05
BREAK_LOW_FAIL,LONG,360,5102,0.5397883183065465,0.0008055170327101457,0.0006333917739595349
COMPRESSION_EXPAND_UP,LONG,15,37,0.5135135135135135,0.00044622936189209206,0.0010594837161616532
COMPRESSION_EXPAND_UP,LONG,30,37,0.5405405405405406,0.0006187353050364219,0.0014171310091749035
COMPRESSION_EXPAND_UP,LONG,60,37,0.6216216216216216,0.0016713091922009315,0.0031409850695820626
COMPRESSION_EXPAND_UP,LONG,120,37,0.6756756756756757,0.0028396413938587273,0.004291598379192952
COMPRESSION_EXPAND_UP,LONG,360,37,0.6216216216216216,0.001677852348993758,0.007073828802823713
COMPRESSION_EXPAND_DOWN,SHORT,15,44,0.4772727272727273,-0.00025412956005321785,0.0007340839678198662
COMPRESSION_EXPAND_DOWN,SHORT,30,44,0.4090909090909091,-0.0005204470567244934,8.164478956781458e-05
COMPRESSION_EXPAND_DOWN,SHORT,60,44,0.45454545454545453,-0.001043870936607405,0.00028615580672843916
COMPRESSION_EXPAND_DOWN,SHORT,120,44,0.3409090909090909,-0.0014371720778946218,-0.0012280312230247004
COMPRESSION_EXPAND_DOWN,SHORT,360,44,0.4090909090909091,-0.0016766073163653195,-0.0033452887073037174
PULLBACK_UP_RESUME,LONG,15,4387,0.4821062229313882,-6.613975329861077e-05,-6.0503366491925275e-05
PULLBACK_UP_RESUME,LONG,30,4387,0.46637793480738543,-0.00018191079094820317,-0.00018934034519877384
PULLBACK_UP_RESUME,LONG,60,4387,0.4818782767266925,-0.00014878246350680246,-0.0002492177256187814
PULLBACK_UP_RESUME,LONG,120,4387,0.4707089126966036,-0.0003105082529823999,-0.00028839905304107457
PULLBACK_UP_RESUME,LONG,360,4387,0.4875769318440848,-0.00027076161373817964,-0.00023595570086012676
PULLBACK_DOWN_RESUME,SHORT,15,4001,0.4656335916020995,-0.00016200803559862642,-1.8742585217818135e-06
PULLBACK_DOWN_RESUME,SHORT,30,4001,0.4558860284928768,-0.0002856326763780448,3.054733498923517e-05
PULLBACK_DOWN_RESUME,SHORT,60,4001,0.464383904023994,-0.00032721442361172137,0.00010062504452731007
PULLBACK_DOWN_RESUME,SHORT,120,4001,0.45838540364908775,-0.0005138235099118038,4.3417980943156755e-05
PULLBACK_DOWN_RESUME,SHORT,360,4001,0.4648837790552362,-0.0007931393446689583,0.00013096762682282987
