family,direction,horizon_min,n,directional_hit,median_signed_return,mean_signed_return
SWEEP_LOW_RECLAIM,LONG,15,8084,0.5325333993072736,0.00017249852804324117,5.518698155224446e-05
SWEEP_LOW_RECLAIM,LONG,30,8084,0.5372340425531915,0.00025412062526108947,9.508531099110178e-05
SWEEP_LOW_RECLAIM,LONG,60,8084,0.541316180108857,0.0003487534935239234,0.0001465274452197229
SWEEP_LOW_RECLAIM,LONG,120,8084,0.5404502721425037,0.000506498912722031,0.00015350762734314674
SWEEP_LOW_RECLAIM,LONG,360,8084,0.526595744680851,0.0005661739592107695,0.00025411370046601113
SWEEP_HIGH_REJECT,SHORT,15,8534,0.5106632294352004,6.317695770857723e-05,9.032296016726047e-06
SWEEP_HIGH_REJECT,SHORT,30,8534,0.5153503632528709,0.00010615618479675737,5.352837376102847e-05
SWEEP_HIGH_REJECT,SHORT,60,8534,0.5149988282165456,0.00012344663074309592,0.00012220090856245163
SWEEP_HIGH_REJECT,SHORT,120,8534,0.5059760956175299,7.235058888849233e-05,7.505231119561931e-05
SWEEP_HIGH_REJECT,SHORT,360,8534,0.5,7.390655254790879e-06,1.8935481043827124e-05
BREAK_HIGH_HOLD,LONG,15,1576,0.46256345177664976,-0.0002067296211509806,-1.5150746420450982e-06
BREAK_HIGH_HOLD,LONG,30,1576,0.46446700507614214,-0.0002299614899458624,-1.3426076228019635e-07
BREAK_HIGH_HOLD,LONG,60,1576,0.4733502538071066,-0.00017949317453325175,0.00021034324664778923
BREAK_HIGH_HOLD,LONG,120,1576,0.5057106598984772,5.1126191797812304e-05,0.0006724259461650202
BREAK_HIGH_HOLD,LONG,360,1576,0.5241116751269036,0.00048723350714285907,0.0007490953452923229
BREAK_LOW_HOLD,SHORT,15,1204,0.43853820598006643,-0.00030629902218271,0.00010068734947471763
BREAK_LOW_HOLD,SHORT,30,1204,0.4418604651162791,-0.00036737975293010816,-1.7878438057235614e-05
BREAK_LOW_HOLD,SHORT,60,1204,0.45182724252491696,-0.0005555205720365608,4.880132106241469e-05
BREAK_LOW_HOLD,SHORT,120,1204,0.4584717607973422,-0.0005323274147470691,-0.00021859397817622012
