a,structure_a,b,structure_b,same_ts,jaccard
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S02,IMPULSE_HL_READY_LONG,0,0.0
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S03,COMPRESSION_BREAK_RETEST_LONG,1,0.0003819709702062643
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S04,FAILED_BREAK_DISPLACEMENT_LONG,333,0.07656932628190388
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,0,0.0
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S06,IMPULSE_LH_READY_SHORT,0,0.0
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S07,COMPRESSION_BREAK_RETEST_SHORT,0,0.0
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,S08,FAILED_BREAK_DISPLACEMENT_SHORT,0,0.0
S02,IMPULSE_HL_READY_LONG,S03,COMPRESSION_BREAK_RETEST_LONG,8,0.0030165912518853697
S02,IMPULSE_HL_READY_LONG,S04,FAILED_BREAK_DISPLACEMENT_LONG,0,0.0
S02,IMPULSE_HL_READY_LONG,S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,0,0.0
S02,IMPULSE_HL_READY_LONG,S06,IMPULSE_LH_READY_SHORT,0,0.0
S02,IMPULSE_HL_READY_LONG,S07,COMPRESSION_BREAK_RETEST_SHORT,0,0.0
S02,IMPULSE_HL_READY_LONG,S08,FAILED_BREAK_DISPLACEMENT_SHORT,0,0.0
S03,COMPRESSION_BREAK_RETEST_LONG,S04,FAILED_BREAK_DISPLACEMENT_LONG,1,0.0002994011976047904
S03,COMPRESSION_BREAK_RETEST_LONG,S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,0,0.0
S03,COMPRESSION_BREAK_RETEST_LONG,S06,IMPULSE_LH_READY_SHORT,0,0.0
S03,COMPRESSION_BREAK_RETEST_LONG,S07,COMPRESSION_BREAK_RETEST_SHORT,0,0.0
S03,COMPRESSION_BREAK_RETEST_LONG,S08,FAILED_BREAK_DISPLACEMENT_SHORT,0,0.0
S04,FAILED_BREAK_DISPLACEMENT_LONG,S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,0,0.0
S04,FAILED_BREAK_DISPLACEMENT_LONG,S06,IMPULSE_LH_READY_SHORT,0,0.0
S04,FAILED_BREAK_DISPLACEMENT_LONG,S07,COMPRESSION_BREAK_RETEST_SHORT,0,0.0
S04,FAILED_BREAK_DISPLACEMENT_LONG,S08,FAILED_BREAK_DISPLACEMENT_SHORT,0,0.0
S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,S06,IMPULSE_LH_READY_SHORT,0,0.0
S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,S07,COMPRESSION_BREAK_RETEST_SHORT,3,0.0012458471760797341
S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,S08,FAILED_BREAK_DISPLACEMENT_SHORT,305,0.07270560190703218
S06,IMPULSE_LH_READY_SHORT,S07,COMPRESSION_BREAK_RETEST_SHORT,6,0.002574002574002574
S06,IMPULSE_LH_READY_SHORT,S08,FAILED_BREAK_DISPLACEMENT_SHORT,0,0.0
S07,COMPRESSION_BREAK_RETEST_SHORT,S08,FAILED_BREAK_DISPLACEMENT_SHORT,0,0.0
