structure_id,structure,direction,n,n_2022,n_2023,n_2024,n_2025,n_2026,per365,median_gap_min,eras_ge12,max_era_share,status
S01,LIQUIDITY_SWEEP_DISPLACEMENT_LONG,LONG,1980,401,449,446,411,273,425.6183745583039,885.0,5,0.22676767676767676,STRUCTURALLY_VIABLE
S02,IMPULSE_HL_READY_LONG,LONG,2021,436,417,446,445,277,434.4316843345112,885.0,5,0.22068283028203858,STRUCTURALLY_VIABLE
S03,COMPRESSION_BREAK_RETEST_LONG,LONG,639,138,125,150,144,82,137.35865724381625,2850.0,5,0.2347417840375587,STRUCTURALLY_VIABLE
S04,FAILED_BREAK_DISPLACEMENT_LONG,LONG,2702,560,584,599,590,369,580.8186101295641,690.0,5,0.22168763878608438,STRUCTURALLY_VIABLE
S05,LIQUIDITY_SWEEP_DISPLACEMENT_SHORT,SHORT,1863,387,431,413,379,253,400.4681978798587,915.0,5,0.2313472893183038,STRUCTURALLY_VIABLE
S06,IMPULSE_LH_READY_SHORT,SHORT,1789,382,376,361,393,277,384.5612485276796,990.0,5,0.21967579653437674,STRUCTURALLY_VIABLE
S07,COMPRESSION_BREAK_RETEST_SHORT,SHORT,548,120,103,117,113,95,117.79740871613664,2985.0,5,0.21897810218978103,STRUCTURALLY_VIABLE
S08,FAILED_BREAK_DISPLACEMENT_SHORT,SHORT,2637,521,583,580,561,392,566.8462897526501,675.0,5,0.2210845657944634,STRUCTURALLY_VIABLE
