target_slot,source,n
tp1_source,15M_PIVOT_HIGH,482
tp1_source,15M_PIVOT_HIGH+EXPANSION_HIGH,177
tp1_source,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,17
tp1_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,12
tp2_source,15M_PIVOT_HIGH,418
tp2_source,15M_PIVOT_HIGH+EXPANSION_HIGH,101
tp2_source,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,16
tp2_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,46
tp2_source,H1_PIVOT_HIGH,15
tp3_source,15M_PIVOT_HIGH,322
tp3_source,15M_PIVOT_HIGH+EXPANSION_HIGH,71
tp3_source,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,22
tp3_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,74
tp3_source,H1_PIVOT_HIGH,12
