execution_mode,n,y2022,y2023,y2024,wait_bars_med,risk_zw_med,risk_pct_med,targets_med,no_target_n,tp1_room_zw_med,tp1_rr_med,tp2_room_zw_med,tp2_rr_med
DELAYED_CLEAN_RECLAIM,137,58,38,41,1.0,1.2318840579710104,0.008518269446312385,4.0,0,1.2999999999999738,0.9732201175702139,1.6352459016393495,1.2352941176470655
DELAYED_SWEEP_RECLAIM,73,21,32,20,2.0,2.140625000000053,0.007668521954236296,8.0,1,2.583213773314166,1.1008011557656934,2.978448275861993,1.3749738766980215
IMMEDIATE_CLEAN_RECLAIM,415,140,124,151,0.0,1.3829787234042406,0.0070958182416857845,5.0,1,1.7999459232109531,1.1938900853473609,2.1898101898101334,1.5174739493873644
IMMEDIATE_SWEEP_RECLAIM,65,16,28,21,0.0,3.021739130435261,0.007502506225139841,16.0,0,3.757377049180326,0.9795918367346931,4.747311827957091,1.3682539682539114
