candidate_rank,rule,axes,values,clauses,n_dev,n_2022,n_2023,n_2024,hit_dev,hit_2022,hit_2023,hit_2024,worst_dev_hit,wilson_dev,median_signed_60_dev,aux_ge54_dev,max_dev_share,pval_one_sided,qval_bh,fdr_sig,dev_gate
1,pre_trend_state==STRONG_DOWN AND pre_vol_state==EXPAND AND low_journey==CLEAN_APPROACH,pre_trend_state|pre_vol_state|low_journey,STRONG_DOWN|EXPAND|CLEAN_APPROACH,3,263,80,78,105,0.6121673003802282,0.5875,0.6410256410256411,0.6095238095238096,0.5875,0.5520675609862978,0.0011551155115514522,4,0.39923954372623577,0.00016531721544025705,0.0014363148659132922,True,True
2,pre_path_state==CONT_DOWN AND reclaim_strength==HIGH AND reclaim_body==LOW,pre_path_state|reclaim_strength|reclaim_body,CONT_DOWN|HIGH|LOW,3,293,97,82,114,0.6109215017064846,0.6082474226804123,0.5853658536585366,0.631578947368421,0.5853658536585366,0.5540052761551176,0.0013653468313963302,4,0.3890784982935154,8.737749567591492e-05,0.0008839490487214133,True,True
3,low_journey==CLEAN_APPROACH AND reclaim_strength==HIGH AND reclaim_body==LOW,low_journey|reclaim_strength|reclaim_body,CLEAN_APPROACH|HIGH|LOW,3,690,214,203,273,0.5898550724637681,0.5841121495327103,0.5763546798029556,0.6043956043956044,0.5763546798029556,0.5527560440716918,0.0006524451516292107,3,0.39565217391304347,1.33628343251714e-06,4.74769579508714e-05,True,True
